delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
17319-7912-229257-61015-713032-149165-133580-64133,45851-19898-32753-170932-325374-156382-87991-12767,33811-577-6762-36864-18900-9511-20726-1453,13356-3114-10225-9636-26783-10242-21793-3877,7490-13933-18203-1897-16287-26373-26211-2065,5753-5980-12527-3190-30418-22346-9204-1816,2954-3090-4594-6697-26846-28193-11437-1809,1388-2244-10012-4573-20757-15475-16262-3145,easy
7912-229257-61015-713032-149165-133580-64133-1152460,19898-32753-170932-325374-156382-87991-12767-515809,577-6762-36864-18900-9511-20726-1453-40464,3114-10225-9636-26783-10242-21793-3877-18351,13933-18203-1897-16287-26373-26211-2065-12272,5980-12527-3190-30418-22346-9204-1816-17039,3090-4594-6697-26846-28193-11437-1809-14332,2244-10012-4573-20757-15475-16262-3145-20195,easy
229257-61015-713032-149165-133580-64133-1152460-4452,32753-170932-325374-156382-87991-12767-515809-11442,6762-36864-18900-9511-20726-1453-40464-2136,10225-9636-26783-10242-21793-3877-18351-2055,18203-1897-16287-26373-26211-2065-12272-4151,12527-3190-30418-22346-9204-1816-17039-2687,4594-6697-26846-28193-11437-1809-14332-2597,10012-4573-20757-15475-16262-3145-20195-1265,easy
61015-713032-149165-133580-64133-1152460-4452-129897,170932-325374-156382-87991-12767-515809-11442-47168,36864-18900-9511-20726-1453-40464-2136-10877,9636-26783-10242-21793-3877-18351-2055-7102,1897-16287-26373-26211-2065-12272-4151-26860,3190-30418-22346-9204-1816-17039-2687-8507,6697-26846-28193-11437-1809-14332-2597-13511,4573-20757-15475-16262-3145-20195-1265-4925,easy
713032-149165-133580-64133-1152460-4452-129897-110225,325374-156382-87991-12767-515809-11442-47168-34623,18900-9511-20726-1453-40464-2136-10877-3899,26783-10242-21793-3877-18351-2055-7102-1253,16287-26373-26211-2065-12272-4151-26860-4933,30418-22346-9204-1816-17039-2687-8507-4371,26846-28193-11437-1809-14332-2597-13511-2079,20757-15475-16262-3145-20195-1265-4925-1226,easy
149165-133580-64133-1152460-4452-129897-110225-418095,156382-87991-12767-515809-11442-47168-34623-159990,9511-20726-1453-40464-2136-10877-3899-41769,10242-21793-3877-18351-2055-7102-1253-3700,26373-26211-2065-12272-4151-26860-4933-11904,22346-9204-1816-17039-2687-8507-4371-5922,28193-11437-1809-14332-2597-13511-2079-3905,15475-16262-3145-20195-1265-4925-1226-1650,easy
133580-64133-1152460-4452-129897-110225-418095-418095,87991-12767-515809-11442-47168-34623-159990-159990,20726-1453-40464-2136-10877-3899-41769-41769,21793-3877-18351-2055-7102-1253-3700-3700,26211-2065-12272-4151-26860-4933-11904-11904,9204-1816-17039-2687-8507-4371-5922-5922,11437-1809-14332-2597-13511-2079-3905-3905,16262-3145-20195-1265-4925-1226-1650-1650,easy
64133-1152460-4452-129897-110225-418095-418095-190707,12767-515809-11442-47168-34623-159990-159990-5228,1453-40464-2136-10877-3899-41769-41769-1800,3877-18351-2055-7102-1253-3700-3700-2843,2065-12272-4151-26860-4933-11904-11904-1892,1816-17039-2687-8507-4371-5922-5922-1171,1809-14332-2597-13511-2079-3905-3905-966,3145-20195-1265-4925-1226-1650-1650-813,easy
1152460-4452-129897-110225-418095-418095-190707-189791,515809-11442-47168-34623-159990-159990-5228-53041,40464-2136-10877-3899-41769-41769-1800-24478,18351-2055-7102-1253-3700-3700-2843-21418,12272-4151-26860-4933-11904-11904-1892-4156,17039-2687-8507-4371-5922-5922-1171-9348,14332-2597-13511-2079-3905-3905-966-7782,20195-1265-4925-1226-1650-1650-813-5068,easy
4452-129897-110225-418095-418095-190707-189791-7264,11442-47168-34623-159990-159990-5228-53041-18053,2136-10877-3899-41769-41769-1800-24478-2569,2055-7102-1253-3700-3700-2843-21418-5769,4151-26860-4933-11904-11904-1892-4156-4001,2687-8507-4371-5922-5922-1171-9348-8842,2597-13511-2079-3905-3905-966-7782-3595,1265-4925-1226-1650-1650-813-5068-3582,easy
