delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
26393-226387-527516-134219-236757-193154-338670-77093,24652-60672-143028-35613-16586-13631-34022-23976,5735-31768-8300-7936-1734-5057-4323-1235,3242-9567-8547-4737-2518-8172-2201-1265,5037-12159-13383-7430-1358-6746-2546-1206,3698-14144-10669-3951-1533-10625-1995-1427,2423-12585-16032-2279-1498-3992-816-880,2319-10083-9351-1404-774-1334-545-746,easy
226387-527516-134219-236757-193154-338670-77093-288194,60672-143028-35613-16586-13631-34022-23976-114834,31768-8300-7936-1734-5057-4323-1235-14962,9567-8547-4737-2518-8172-2201-1265-11957,12159-13383-7430-1358-6746-2546-1206-4343,14144-10669-3951-1533-10625-1995-1427-2827,12585-16032-2279-1498-3992-816-880-2941,10083-9351-1404-774-1334-545-746-1900,easy
527516-134219-236757-193154-338670-77093-288194-92448,143028-35613-16586-13631-34022-23976-114834-14985,8300-7936-1734-5057-4323-1235-14962-3520,8547-4737-2518-8172-2201-1265-11957-2521,13383-7430-1358-6746-2546-1206-4343-977,10669-3951-1533-10625-1995-1427-2827-770,16032-2279-1498-3992-816-880-2941-703,9351-1404-774-1334-545-746-1900-273,easy
134219-236757-193154-338670-77093-288194-92448-109519,35613-16586-13631-34022-23976-114834-14985-21246,7936-1734-5057-4323-1235-14962-3520-10044,4737-2518-8172-2201-1265-11957-2521-6734,7430-1358-6746-2546-1206-4343-977-7700,3951-1533-10625-1995-1427-2827-770-1618,2279-1498-3992-816-880-2941-703-681,1404-774-1334-545-746-1900-273-744,easy
236757-193154-338670-77093-288194-92448-109519-709451,16586-13631-34022-23976-114834-14985-21246-151417,1734-5057-4323-1235-14962-3520-10044-6565,2518-8172-2201-1265-11957-2521-6734-6140,1358-6746-2546-1206-4343-977-7700-30771,1533-10625-1995-1427-2827-770-1618-31746,1498-3992-816-880-2941-703-681-12699,774-1334-545-746-1900-273-744-11168,easy
193154-338670-77093-288194-92448-109519-709451-801952,13631-34022-23976-114834-14985-21246-151417-87181,5057-4323-1235-14962-3520-10044-6565-11521,8172-2201-1265-11957-2521-6734-6140-11341,6746-2546-1206-4343-977-7700-30771-26351,10625-1995-1427-2827-770-1618-31746-10951,3992-816-880-2941-703-681-12699-6506,1334-545-746-1900-273-744-11168-4467,easy
338670-77093-288194-92448-109519-709451-801952-1064549,34022-23976-114834-14985-21246-151417-87181-277668,4323-1235-14962-3520-10044-6565-11521-11596,2201-1265-11957-2521-6734-6140-11341-23522,2546-1206-4343-977-7700-30771-26351-20301,1995-1427-2827-770-1618-31746-10951-15253,816-880-2941-703-681-12699-6506-4110,545-746-1900-273-744-11168-4467-3385,easy
322218-142214-827653-1630877-3280777-797076-455125-69833,60863-13401-181459-154440-219984-13572-28474-22426,19038-2856-8215-44645-4241-5065-10390-2087,3069-2273-25107-27322-34080-4998-5054-3830,3324-1733-5188-26902-35479-1105-2820-2009,2192-1155-8904-11571-13613-4440-3955-3201,725-972-5298-13748-10467-3371-7485-4954,830-1902-4738-8519-8848-1311-1535-1765,easy
142214-827653-1630877-3280777-797076-455125-69833-1635986,13401-181459-154440-219984-13572-28474-22426-212808,2856-8215-44645-4241-5065-10390-2087-47579,2273-25107-27322-34080-4998-5054-3830-78534,1733-5188-26902-35479-1105-2820-2009-25794,1155-8904-11571-13613-4440-3955-3201-48686,972-5298-13748-10467-3371-7485-4954-14272,1902-4738-8519-8848-1311-1535-1765-6292,easy
827653-1630877-3280777-797076-455125-69833-1635986-367779,181459-154440-219984-13572-28474-22426-212808-13414,8215-44645-4241-5065-10390-2087-47579-6023,25107-27322-34080-4998-5054-3830-78534-8492,5188-26902-35479-1105-2820-2009-25794-893,8904-11571-13613-4440-3955-3201-48686-12184,5298-13748-10467-3371-7485-4954-14272-3363,4738-8519-8848-1311-1535-1765-6292-3845,easy
1630877-3280777-797076-455125-69833-1635986-367779-398050,154440-219984-13572-28474-22426-212808-13414-21399,44645-4241-5065-10390-2087-47579-6023-4721,27322-34080-4998-5054-3830-78534-8492-2106,26902-35479-1105-2820-2009-25794-893-1510,11571-13613-4440-3955-3201-48686-12184-11556,13748-10467-3371-7485-4954-14272-3363-2978,8519-8848-1311-1535-1765-6292-3845-4881,easy
3280777-797076-455125-69833-1635986-367779-398050-64667,219984-13572-28474-22426-212808-13414-21399-23798,4241-5065-10390-2087-47579-6023-4721-7794,34080-4998-5054-3830-78534-8492-2106-4380,35479-1105-2820-2009-25794-893-1510-2719,13613-4440-3955-3201-48686-12184-11556-2163,10467-3371-7485-4954-14272-3363-2978-1543,8848-1311-1535-1765-6292-3845-4881-1981,easy
797076-455125-69833-1635986-367779-398050-64667-1537457,13572-28474-22426-212808-13414-21399-23798-221093,5065-10390-2087-47579-6023-4721-7794-48965,4998-5054-3830-78534-8492-2106-4380-3978,1105-2820-2009-25794-893-1510-2719-15947,4440-3955-3201-48686-12184-11556-2163-13160,3371-7485-4954-14272-3363-2978-1543-12083,1311-1535-1765-6292-3845-4881-1981-11791,easy
455125-69833-1635986-367779-398050-64667-1537457-130650,28474-22426-212808-13414-21399-23798-221093-18765,10390-2087-47579-6023-4721-7794-48965-1086,5054-3830-78534-8492-2106-4380-3978-334,2820-2009-25794-893-1510-2719-15947-708,3955-3201-48686-12184-11556-2163-13160-534,7485-4954-14272-3363-2978-1543-12083-150,1535-1765-6292-3845-4881-1981-11791-59,easy
69833-1635986-367779-398050-64667-1537457-130650-1598263,22426-212808-13414-21399-23798-221093-18765-150075,2087-47579-6023-4721-7794-48965-1086-30181,3830-78534-8492-2106-4380-3978-334-46117,2009-25794-893-1510-2719-15947-708-21100,3201-48686-12184-11556-2163-13160-534-5829,4954-14272-3363-2978-1543-12083-150-11155,1765-6292-3845-4881-1981-11791-59-4382,easy
1311307-1039484-567580-867140-1035668-238087-1818173-231250,76167-141515-14697-19350-51838-37569-36454-33117,20710-19881-9124-3106-14187-29163-8868-535,13416-28829-4994-9372-13982-30448-4950-3217,15598-11782-4026-5777-24727-6146-4216-3792,5154-9488-2144-3242-9917-1984-4625-2893,3388-8220-554-884-3945-3912-1304-707,971-3566-520-1240-1633-2403-1185-308,easy
1039484-567580-867140-1035668-238087-1818173-231250-34166,141515-14697-19350-51838-37569-36454-33117-70153,19881-9124-3106-14187-29163-8868-535-10705,28829-4994-9372-13982-30448-4950-3217-8812,11782-4026-5777-24727-6146-4216-3792-9399,9488-2144-3242-9917-1984-4625-2893-2922,8220-554-884-3945-3912-1304-707-2223,3566-520-1240-1633-2403-1185-308-1242,easy
567580-867140-1035668-238087-1818173-231250-34166-137660,14697-19350-51838-37569-36454-33117-70153-61970,9124-3106-14187-29163-8868-535-10705-21743,4994-9372-13982-30448-4950-3217-8812-3324,4026-5777-24727-6146-4216-3792-9399-2084,2144-3242-9917-1984-4625-2893-2922-1473,554-884-3945-3912-1304-707-2223-1408,520-1240-1633-2403-1185-308-1242-1094,easy
867140-1035668-238087-1818173-231250-34166-137660-127638,19350-51838-37569-36454-33117-70153-61970-58221,3106-14187-29163-8868-535-10705-21743-12142,9372-13982-30448-4950-3217-8812-3324-1719,5777-24727-6146-4216-3792-9399-2084-5790,3242-9917-1984-4625-2893-2922-1473-2879,884-3945-3912-1304-707-2223-1408-2306,1240-1633-2403-1185-308-1242-1094-1483,easy
1035668-238087-1818173-231250-34166-137660-127638-228150,51838-37569-36454-33117-70153-61970-58221-47697,14187-29163-8868-535-10705-21743-12142-14228,13982-30448-4950-3217-8812-3324-1719-8676,24727-6146-4216-3792-9399-2084-5790-6097,9917-1984-4625-2893-2922-1473-2879-5870,3945-3912-1304-707-2223-1408-2306-1812,1633-2403-1185-308-1242-1094-1483-2157,easy
238087-1818173-231250-34166-137660-127638-228150-66050,37569-36454-33117-70153-61970-58221-47697-9928,29163-8868-535-10705-21743-12142-14228-4391,30448-4950-3217-8812-3324-1719-8676-2194,6146-4216-3792-9399-2084-5790-6097-6031,1984-4625-2893-2922-1473-2879-5870-3240,3912-1304-707-2223-1408-2306-1812-981,2403-1185-308-1242-1094-1483-2157-491,easy
1818173-231250-34166-137660-127638-228150-66050-260239,36454-33117-70153-61970-58221-47697-9928-52922,8868-535-10705-21743-12142-14228-4391-754,4950-3217-8812-3324-1719-8676-2194-4758,4216-3792-9399-2084-5790-6097-6031-6210,4625-2893-2922-1473-2879-5870-3240-4801,1304-707-2223-1408-2306-1812-981-1270,1185-308-1242-1094-1483-2157-491-640,easy
231250-34166-137660-127638-228150-66050-260239-490973,33117-70153-61970-58221-47697-9928-52922-35368,535-10705-21743-12142-14228-4391-754-15783,3217-8812-3324-1719-8676-2194-4758-3626,3792-9399-2084-5790-6097-6031-6210-3079,2893-2922-1473-2879-5870-3240-4801-952,707-2223-1408-2306-1812-981-1270-4039,308-1242-1094-1483-2157-491-640-2740,easy
34166-137660-127638-228150-66050-260239-490973-2034912,70153-61970-58221-47697-9928-52922-35368-160243,10705-21743-12142-14228-4391-754-15783-42446,8812-3324-1719-8676-2194-4758-3626-29914,9399-2084-5790-6097-6031-6210-3079-22290,2922-1473-2879-5870-3240-4801-952-10155,2223-1408-2306-1812-981-1270-4039-2641,1242-1094-1483-2157-491-640-2740-2988,easy
137660-127638-228150-66050-260239-490973-2034912-2173760,61970-58221-47697-9928-52922-35368-160243-142207,21743-12142-14228-4391-754-15783-42446-40590,3324-1719-8676-2194-4758-3626-29914-10621,2084-5790-6097-6031-6210-3079-22290-20927,1473-2879-5870-3240-4801-952-10155-9763,1408-2306-1812-981-1270-4039-2641-5084,1094-1483-2157-491-640-2740-2988-4170,easy
127638-228150-66050-260239-490973-2034912-2173760-1411405,58221-47697-9928-52922-35368-160243-142207-394302,12142-14228-4391-754-15783-42446-40590-79625,1719-8676-2194-4758-3626-29914-10621-59542,5790-6097-6031-6210-3079-22290-20927-50842,2879-5870-3240-4801-952-10155-9763-32674,2306-1812-981-1270-4039-2641-5084-7289,1483-2157-491-640-2740-2988-4170-6528,easy
228150-66050-260239-490973-2034912-2173760-1411405-37068,47697-9928-52922-35368-160243-142207-394302-25409,14228-4391-754-15783-42446-40590-79625-29796,8676-2194-4758-3626-29914-10621-59542-13717,6097-6031-6210-3079-22290-20927-50842-13320,5870-3240-4801-952-10155-9763-32674-2433,1812-981-1270-4039-2641-5084-7289-1118,2157-491-640-2740-2988-4170-6528-1219,easy
66050-260239-490973-2034912-2173760-1411405-37068-1157906,9928-52922-35368-160243-142207-394302-25409-259033,4391-754-15783-42446-40590-79625-29796-29357,2194-4758-3626-29914-10621-59542-13717-92676,6031-6210-3079-22290-20927-50842-13320-126964,3240-4801-952-10155-9763-32674-2433-78492,981-1270-4039-2641-5084-7289-1118-19545,491-640-2740-2988-4170-6528-1219-5993,easy
260239-490973-2034912-2173760-1411405-37068-1157906-1119255,52922-35368-160243-142207-394302-25409-259033-299983,754-15783-42446-40590-79625-29796-29357-56059,4758-3626-29914-10621-59542-13717-92676-46837,6210-3079-22290-20927-50842-13320-126964-24865,4801-952-10155-9763-32674-2433-78492-20455,1270-4039-2641-5084-7289-1118-19545-9407,640-2740-2988-4170-6528-1219-5993-7823,easy
