delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
4773-59838-46053-3773-31625-570062-48243-9086,57820-32817-23841-7535-12417-34543-18169-46381,2817-9608-1513-2270-8484-3296-10969-13669,7031-36835-3499-2116-16916-37948-4594-6350,18206-5791-3083-6657-14576-33364-4945-24395,42749-19480-5607-2355-29619-38139-4967-23809,21792-16633-1730-2168-9536-29929-4711-10214,12026-15211-1480-4253-15344-9949-2051-6173,easy
59838-46053-3773-31625-570062-48243-9086-12010,32817-23841-7535-12417-34543-18169-46381-108628,9608-1513-2270-8484-3296-10969-13669-18023,36835-3499-2116-16916-37948-4594-6350-24967,5791-3083-6657-14576-33364-4945-24395-2262,19480-5607-2355-29619-38139-4967-23809-14218,16633-1730-2168-9536-29929-4711-10214-8876,15211-1480-4253-15344-9949-2051-6173-6692,easy
46053-3773-31625-570062-48243-9086-12010-3845,23841-7535-12417-34543-18169-46381-108628-2922,1513-2270-8484-3296-10969-13669-18023-1627,3499-2116-16916-37948-4594-6350-24967-2526,3083-6657-14576-33364-4945-24395-2262-2413,5607-2355-29619-38139-4967-23809-14218-2806,1730-2168-9536-29929-4711-10214-8876-4854,1480-4253-15344-9949-2051-6173-6692-4214,easy
3773-31625-570062-48243-9086-12010-3845-180050,7535-12417-34543-18169-46381-108628-2922-14922,2270-8484-3296-10969-13669-18023-1627-5208,2116-16916-37948-4594-6350-24967-2526-3157,6657-14576-33364-4945-24395-2262-2413-2808,2355-29619-38139-4967-23809-14218-2806-3998,2168-9536-29929-4711-10214-8876-4854-2845,4253-15344-9949-2051-6173-6692-4214-2915,easy
31625-570062-48243-9086-12010-3845-180050-319606,12417-34543-18169-46381-108628-2922-14922-169698,8484-3296-10969-13669-18023-1627-5208-11580,16916-37948-4594-6350-24967-2526-3157-16218,14576-33364-4945-24395-2262-2413-2808-12323,29619-38139-4967-23809-14218-2806-3998-13155,9536-29929-4711-10214-8876-4854-2845-4857,15344-9949-2051-6173-6692-4214-2915-2079,easy
570062-48243-9086-12010-3845-180050-319606-2983,34543-18169-46381-108628-2922-14922-169698-3709,3296-10969-13669-18023-1627-5208-11580-2654,37948-4594-6350-24967-2526-3157-16218-747,33364-4945-24395-2262-2413-2808-12323-884,38139-4967-23809-14218-2806-3998-13155-1941,29929-4711-10214-8876-4854-2845-4857-1212,9949-2051-6173-6692-4214-2915-2079-1318,easy
48243-9086-12010-3845-180050-319606-2983-501625,18169-46381-108628-2922-14922-169698-3709-50323,10969-13669-18023-1627-5208-11580-2654-11950,4594-6350-24967-2526-3157-16218-747-22747,4945-24395-2262-2413-2808-12323-884-8368,4967-23809-14218-2806-3998-13155-1941-6049,4711-10214-8876-4854-2845-4857-1212-3719,2051-6173-6692-4214-2915-2079-1318-4919,easy
9086-12010-3845-180050-319606-2983-501625-84025,46381-108628-2922-14922-169698-3709-50323-7286,13669-18023-1627-5208-11580-2654-11950-2174,6350-24967-2526-3157-16218-747-22747-260,24395-2262-2413-2808-12323-884-8368-2141,23809-14218-2806-3998-13155-1941-6049-1848,10214-8876-4854-2845-4857-1212-3719-3384,6173-6692-4214-2915-2079-1318-4919-1736,easy
12010-3845-180050-319606-2983-501625-84025-47680,108628-2922-14922-169698-3709-50323-7286-72062,18023-1627-5208-11580-2654-11950-2174-6402,24967-2526-3157-16218-747-22747-260-21756,2262-2413-2808-12323-884-8368-2141-16633,14218-2806-3998-13155-1941-6049-1848-8896,8876-4854-2845-4857-1212-3719-3384-2932,6692-4214-2915-2079-1318-4919-1736-2940,easy
3845-180050-319606-2983-501625-84025-47680-788233,2922-14922-169698-3709-50323-7286-72062-45442,1627-5208-11580-2654-11950-2174-6402-5421,2526-3157-16218-747-22747-260-21756-6055,2413-2808-12323-884-8368-2141-16633-4745,2806-3998-13155-1941-6049-1848-8896-6763,4854-2845-4857-1212-3719-3384-2932-4329,4214-2915-2079-1318-4919-1736-2940-4871,hard
180050-319606-2983-501625-84025-47680-788233-19926,14922-169698-3709-50323-7286-72062-45442-55464,5208-11580-2654-11950-2174-6402-5421-3218,3157-16218-747-22747-260-21756-6055-2723,2808-12323-884-8368-2141-16633-4745-8999,3998-13155-1941-6049-1848-8896-6763-9431,2845-4857-1212-3719-3384-2932-4329-3109,2915-2079-1318-4919-1736-2940-4871-3945,easy
319606-2983-501625-84025-47680-788233-19926-4234,169698-3709-50323-7286-72062-45442-55464-29698,11580-2654-11950-2174-6402-5421-3218-7492,16218-747-22747-260-21756-6055-2723-4425,12323-884-8368-2141-16633-4745-8999-987,13155-1941-6049-1848-8896-6763-9431-5174,4857-1212-3719-3384-2932-4329-3109-4486,2079-1318-4919-1736-2940-4871-3945-2350,easy
2983-501625-84025-47680-788233-19926-4234-63133,3709-50323-7286-72062-45442-55464-29698-40005,2654-11950-2174-6402-5421-3218-7492-4119,747-22747-260-21756-6055-2723-4425-1268,884-8368-2141-16633-4745-8999-987-1265,1941-6049-1848-8896-6763-9431-5174-5334,1212-3719-3384-2932-4329-3109-4486-1038,1318-4919-1736-2940-4871-3945-2350-562,hard
501625-84025-47680-788233-19926-4234-63133-11533,50323-7286-72062-45442-55464-29698-40005-5710,11950-2174-6402-5421-3218-7492-4119-17710,22747-260-21756-6055-2723-4425-1268-3473,8368-2141-16633-4745-8999-987-1265-6019,6049-1848-8896-6763-9431-5174-5334-5400,3719-3384-2932-4329-3109-4486-1038-3667,4919-1736-2940-4871-3945-2350-562-2421,easy
84025-47680-788233-19926-4234-63133-11533-6445,7286-72062-45442-55464-29698-40005-5710-13988,2174-6402-5421-3218-7492-4119-17710-4626,260-21756-6055-2723-4425-1268-3473-11436,2141-16633-4745-8999-987-1265-6019-4407,1848-8896-6763-9431-5174-5334-5400-3909,3384-2932-4329-3109-4486-1038-3667-2701,1736-2940-4871-3945-2350-562-2421-2576,easy
47680-788233-19926-4234-63133-11533-6445-31067,72062-45442-55464-29698-40005-5710-13988-48353,6402-5421-3218-7492-4119-17710-4626-30811,21756-6055-2723-4425-1268-3473-11436-6984,16633-4745-8999-987-1265-6019-4407-15051,8896-6763-9431-5174-5334-5400-3909-6794,2932-4329-3109-4486-1038-3667-2701-4762,2940-4871-3945-2350-562-2421-2576-1929,hard
788233-19926-4234-63133-11533-6445-31067-5021,45442-55464-29698-40005-5710-13988-48353-16800,5421-3218-7492-4119-17710-4626-30811-3839,6055-2723-4425-1268-3473-11436-6984-2478,4745-8999-987-1265-6019-4407-15051-5509,6763-9431-5174-5334-5400-3909-6794-7124,4329-3109-4486-1038-3667-2701-4762-1795,4871-3945-2350-562-2421-2576-1929-4340,easy
19926-4234-63133-11533-6445-31067-5021-1600876,55464-29698-40005-5710-13988-48353-16800-449693,3218-7492-4119-17710-4626-30811-3839-107154,2723-4425-1268-3473-11436-6984-2478-45679,8999-987-1265-6019-4407-15051-5509-62812,9431-5174-5334-5400-3909-6794-7124-60535,3109-4486-1038-3667-2701-4762-1795-21032,3945-2350-562-2421-2576-1929-4340-14474,easy
365831-1457224-24657-45322-58967-12692-44922-8778,131541-137333-10357-12051-18229-21685-7772-5918,16940-25654-6581-7199-7258-2261-6838-10627,9512-33512-868-3726-3130-2984-16707-7995,12402-25865-8243-1422-2264-5357-11082-1194,4476-7338-6509-5278-2747-9382-9193-7957,1535-4458-4495-562-1566-2958-1938-7814,1643-3673-3249-1980-686-2228-3429-6499,hard
1457224-24657-45322-58967-12692-44922-8778-2383,137333-10357-12051-18229-21685-7772-5918-12604,25654-6581-7199-7258-2261-6838-10627-2357,33512-868-3726-3130-2984-16707-7995-4694,25865-8243-1422-2264-5357-11082-1194-7622,7338-6509-5278-2747-9382-9193-7957-9526,4458-4495-562-1566-2958-1938-7814-3630,3673-3249-1980-686-2228-3429-6499-1976,hard
24657-45322-58967-12692-44922-8778-2383-9512,10357-12051-18229-21685-7772-5918-12604-14409,6581-7199-7258-2261-6838-10627-2357-5485,868-3726-3130-2984-16707-7995-4694-5414,8243-1422-2264-5357-11082-1194-7622-12402,6509-5278-2747-9382-9193-7957-9526-8841,4495-562-1566-2958-1938-7814-3630-3563,3249-1980-686-2228-3429-6499-1976-4614,easy
45322-58967-12692-44922-8778-2383-9512-13703,12051-18229-21685-7772-5918-12604-14409-7421,7199-7258-2261-6838-10627-2357-5485-10433,3726-3130-2984-16707-7995-4694-5414-42640,1422-2264-5357-11082-1194-7622-12402-8332,5278-2747-9382-9193-7957-9526-8841-6755,562-1566-2958-1938-7814-3630-3563-4022,1980-686-2228-3429-6499-1976-4614-1888,easy
58967-12692-44922-8778-2383-9512-13703-59138,18229-21685-7772-5918-12604-14409-7421-12472,7258-2261-6838-10627-2357-5485-10433-1851,3130-2984-16707-7995-4694-5414-42640-2791,2264-5357-11082-1194-7622-12402-8332-1921,2747-9382-9193-7957-9526-8841-6755-2246,1566-2958-1938-7814-3630-3563-4022-609,686-2228-3429-6499-1976-4614-1888-1000,easy
12692-44922-8778-2383-9512-13703-59138-5608,21685-7772-5918-12604-14409-7421-12472-8279,2261-6838-10627-2357-5485-10433-1851-7260,2984-16707-7995-4694-5414-42640-2791-25467,5357-11082-1194-7622-12402-8332-1921-9018,9382-9193-7957-9526-8841-6755-2246-12128,2958-1938-7814-3630-3563-4022-609-6287,2228-3429-6499-1976-4614-1888-1000-1723,easy
44922-8778-2383-9512-13703-59138-5608-14740,7772-5918-12604-14409-7421-12472-8279-10894,6838-10627-2357-5485-10433-1851-7260-8464,16707-7995-4694-5414-42640-2791-25467-24112,11082-1194-7622-12402-8332-1921-9018-11221,9193-7957-9526-8841-6755-2246-12128-13380,1938-7814-3630-3563-4022-609-6287-5648,3429-6499-1976-4614-1888-1000-1723-3167,easy
8778-2383-9512-13703-59138-5608-14740-5197,5918-12604-14409-7421-12472-8279-10894-21077,10627-2357-5485-10433-1851-7260-8464-5757,7995-4694-5414-42640-2791-25467-24112-21071,1194-7622-12402-8332-1921-9018-11221-9082,7957-9526-8841-6755-2246-12128-13380-6398,7814-3630-3563-4022-609-6287-5648-5274,6499-1976-4614-1888-1000-1723-3167-3401,hard
