delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
1085803-2880647-1691237-53481-278184-248902-1000942-296564,335550-175917-270582-26852-83180-23713-83679-120889,77910-119787-77364-21315-44988-11768-36682-9510,44662-36231-23932-8654-8824-640-15602-3627,25651-29117-19850-3637-23558-3262-20583-6029,35832-30717-7565-2341-18484-1395-6090-3656,13266-9261-5759-1533-5934-789-6635-3104,14135-5869-2461-726-3352-573-4772-1209,easy
2880647-1691237-53481-278184-248902-1000942-296564-71732,175917-270582-26852-83180-23713-83679-120889-25722,119787-77364-21315-44988-11768-36682-9510-12635,36231-23932-8654-8824-640-15602-3627-9538,29117-19850-3637-23558-3262-20583-6029-7503,30717-7565-2341-18484-1395-6090-3656-7378,9261-5759-1533-5934-789-6635-3104-2143,5869-2461-726-3352-573-4772-1209-1711,easy
1691237-53481-278184-248902-1000942-296564-71732-97887,270582-26852-83180-23713-83679-120889-25722-116589,77364-21315-44988-11768-36682-9510-12635-8954,23932-8654-8824-640-15602-3627-9538-6411,19850-3637-23558-3262-20583-6029-7503-6516,7565-2341-18484-1395-6090-3656-7378-4396,5759-1533-5934-789-6635-3104-2143-2083,2461-726-3352-573-4772-1209-1711-1339,easy
53481-278184-248902-1000942-296564-71732-97887-50645,26852-83180-23713-83679-120889-25722-116589-18350,21315-44988-11768-36682-9510-12635-8954-12629,8654-8824-640-15602-3627-9538-6411-4914,3637-23558-3262-20583-6029-7503-6516-3398,2341-18484-1395-6090-3656-7378-4396-3887,1533-5934-789-6635-3104-2143-2083-1206,726-3352-573-4772-1209-1711-1339-1581,easy
278184-248902-1000942-296564-71732-97887-50645-166994,83180-23713-83679-120889-25722-116589-18350-94278,44988-11768-36682-9510-12635-8954-12629-25470,8824-640-15602-3627-9538-6411-4914-3079,23558-3262-20583-6029-7503-6516-3398-14039,18484-1395-6090-3656-7378-4396-3887-6425,5934-789-6635-3104-2143-2083-1206-2362,3352-573-4772-1209-1711-1339-1581-2092,easy
248902-1000942-296564-71732-97887-50645-166994-1119250,23713-83679-120889-25722-116589-18350-94278-370040,11768-36682-9510-12635-8954-12629-25470-101243,640-15602-3627-9538-6411-4914-3079-161577,3262-20583-6029-7503-6516-3398-14039-19546,1395-6090-3656-7378-4396-3887-6425-53309,789-6635-3104-2143-2083-1206-2362-11137,573-4772-1209-1711-1339-1581-2092-2666,easy
1000942-296564-71732-97887-50645-166994-1119250-245627,83679-120889-25722-116589-18350-94278-370040-147166,36682-9510-12635-8954-12629-25470-101243-12506,15602-3627-9538-6411-4914-3079-161577-24739,20583-6029-7503-6516-3398-14039-19546-19598,6090-3656-7378-4396-3887-6425-53309-14143,6635-3104-2143-2083-1206-2362-11137-10420,4772-1209-1711-1339-1581-2092-2666-2594,easy
296564-71732-97887-50645-166994-1119250-245627-290524,120889-25722-116589-18350-94278-370040-147166-89397,9510-12635-8954-12629-25470-101243-12506-24664,3627-9538-6411-4914-3079-161577-24739-8457,6029-7503-6516-3398-14039-19546-19598-3352,3656-7378-4396-3887-6425-53309-14143-3958,3104-2143-2083-1206-2362-11137-10420-1689,1209-1711-1339-1581-2092-2666-2594-1281,easy
71732-97887-50645-166994-1119250-245627-290524-1664903,25722-116589-18350-94278-370040-147166-89397-147373,12635-8954-12629-25470-101243-12506-24664-57619,9538-6411-4914-3079-161577-24739-8457-2969,7503-6516-3398-14039-19546-19598-3352-25092,7378-4396-3887-6425-53309-14143-3958-28274,2143-2083-1206-2362-11137-10420-1689-7913,1711-1339-1581-2092-2666-2594-1281-6338,easy
97887-50645-166994-1119250-245627-290524-1664903-730754,116589-18350-94278-370040-147166-89397-147373-179862,8954-12629-25470-101243-12506-24664-57619-31146,6411-4914-3079-161577-24739-8457-2969-22331,6516-3398-14039-19546-19598-3352-25092-13042,4396-3887-6425-53309-14143-3958-28274-20359,2083-1206-2362-11137-10420-1689-7913-14013,1339-1581-2092-2666-2594-1281-6338-3380,easy
