delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
777804,29378,27476,6397,4960,1727,1845,788,1668657,87597,51296,48493,9889,9073,3482,2833,978011,500732,30153,5295,17807,5300,4303,1458,621543,104941,58945,20456,7924,12138,2341,2705,1011503,180662,41967,20160,10145,7059,2992,1946,hard
111862,32007,10343,3481,2506,2749,499,549,222943,92280,11802,14667,10231,2380,2546,1138,340347,165517,47665,54074,19588,8297,5735,6660,39593,14314,21752,345511,20330,20600,3764,2616,178686,76029,22890,104433,13163,8506,3136,2740,easy
65705,44142,2482,4674,1292,1112,436,392,1148819,587412,70103,15338,39453,12844,3773,2443,318630,414305,89306,29255,7538,15882,5693,4711,588353,710629,62871,14871,17771,6795,7372,5215,530376,439122,56190,16034,16513,9158,4318,3190,easy
2857275,217349,47961,32809,16746,8240,5367,13040,2332726,240065,13201,13084,22801,13559,5633,7107,1495924,147889,24355,5172,10179,7464,1553,796,961162,410896,18770,44639,21317,12333,6847,4039,1911771,254049,26071,23926,17760,10399,4850,6245,hard
1128485,127180,14792,7319,9601,5491,1146,1111,2009061,120596,21304,21972,11242,11816,7357,5600,237985,41973,29248,23644,7230,5066,5676,4849,126883,2967,1478,4608,155,558,236,269,875603,73179,16705,14385,7057,5732,3603,2957,easy
1238401,63914,6939,6100,7419,2217,2342,2395,1063709,233170,25427,43810,3369,7752,9249,6263,6076,6442,18538,24571,14534,17875,2699,4035,573529,45912,3180,16587,8644,2202,1589,617,720428,87359,13521,22767,8491,7511,3969,3327,easy
676854,74502,11220,10187,4596,2717,1505,1174,528025,90520,22123,5935,8350,3441,2997,2892,696800,153806,35356,18530,19053,6512,14539,3902,163001,30003,11636,3388,6717,2452,2065,1395,516170,87207,20083,9510,9679,3780,5276,2340,hard
1320713,69063,18343,17588,15401,3271,1951,943,109167,21721,3536,22069,6543,2664,2327,3066,214144,47282,5243,25565,4034,1328,1213,936,105536,9637,4932,4180,1788,3103,694,1775,437390,36925,8013,17350,6941,2591,1546,1680,hard
554083,79844,3590,8700,3341,1200,2017,1208,822769,28690,16936,27566,6978,8899,4081,3538,1082573,255397,9591,48371,15379,4923,4185,3536,628868,256983,1189,41512,24403,10669,15509,5597,772073,155228,7826,31537,12525,6422,6448,3469,hard
194398,28537,32884,5033,9403,17045,8842,3096,447077,177333,8435,30786,13829,16758,4769,6251,1230522,113415,11673,16453,7623,7695,3943,3093,184072,72217,5263,5304,2107,1744,519,1068,514017,97875,14563,14394,8240,10810,4518,3377,hard
898843,354000,59090,101548,25057,14150,4943,9789,169584,76802,13140,19065,2700,2053,1086,721,88376,29438,15973,14851,1197,2041,1488,608,1601971,152245,15518,19289,4792,15973,3244,6126,689693,153121,25930,38688,8436,8554,2690,4311,hard
513941,28234,4429,6446,6022,2197,653,411,107704,17229,584,2081,1848,981,385,417,102894,11084,17099,50613,13557,10567,6149,2168,1980276,65888,39595,28302,7044,5047,16043,1724,676203,30608,15426,21860,7117,4698,5807,1180,hard
1105537,57806,4752,4579,6458,2443,1914,1241,332207,170726,11285,44415,13837,7098,4051,5407,47427,5583,1507,9980,2034,3594,786,645,461731,67633,41396,2382,5316,4061,1817,1668,486725,75437,14735,15339,6911,4299,2142,2240,easy
284114,118227,9188,4811,7592,6016,1263,1200,60055,84802,9696,6889,1372,4141,2621,1922,783296,77325,36972,19831,4782,11554,2616,627,2241083,99328,2918,95796,14238,24469,11657,5260,842137,94920,14693,31831,6996,11545,4539,2252,hard
122795,79879,4867,10399,2103,3156,2074,1131,407559,19441,39381,43489,4949,9372,6087,3040,653041,17547,9609,7433,1209,1659,985,501,144650,59322,7437,10498,4517,3993,1646,1599,332011,44047,15323,17954,3194,4545,2698,1567,hard
2862926,365649,30408,99316,69995,60147,8487,14542,355650,28212,15084,2762,8810,6191,848,617,1071229,46110,13086,9204,3306,5821,3815,2281,432085,14699,6416,4808,884,3247,1425,214,1180472,113667,16248,29022,20748,18851,3643,4413,easy
196764,56301,23793,11772,2617,5488,1132,1385,1257457,88513,4189,10651,4052,7929,7633,3216,1164809,110945,11522,9400,5186,5220,2582,1081,791647,86461,9459,10622,1048,2013,1707,1450,852669,85555,12240,10611,3225,5162,3263,1783,hard
