delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
698092,157934,35106,18904,17444,23255,16592,19164,1809850,287068,121382,54576,54474,57822,31897,45226,79931,37562,4345,5173,780,4215,2530,1825,0
1086571,315774,13739,26635,17391,21249,19869,17922,1963393,1525301,28822,113190,47757,52613,50621,64872,63570,9209,855,1506,1245,524,1046,648,0
1521469,219197,78038,46912,35716,68618,40150,26823,2790611,345941,212254,82402,60501,190857,105259,57293,453985,10235,12900,4104,2218,5337,3136,4877,0
539045,165050,23048,9439,8582,26831,24479,14678,1250602,742810,119369,24837,17492,70491,62475,37448,6298,4927,848,2496,2336,6292,10900,7395,1
590638,103519,14685,9457,8669,9277,7318,6746,1291011,282005,28466,16863,16561,20351,12670,12643,119036,42466,2126,3957,2160,3197,3837,1915,1
716928,159746,39082,22450,16768,28729,19870,18300,1282056,405072,194155,68885,49084,65712,39250,47422,61896,12708,2123,4144,3421,3402,2651,2079,0
609841,226980,25416,25096,14301,23826,21586,14884,1293589,978877,110390,55914,30843,66073,38577,43695,68164,31399,903,4319,4544,3727,3578,5587,1
812681,204397,29205,22529,13762,41812,48439,19739,1458367,561780,62178,61168,32619,128055,169192,44227,128805,22008,5121,5160,1162,5016,3921,1297,1
943043,150710,49019,21148,21592,39443,46162,36375,2134069,349591,102354,46526,43754,77625,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
527528,322084,50206,26188,14551,25284,17395,12923,1317516,1706168,170035,87642,28274,64871,38999,25711,1483,8715,8102,3957,2206,2909,1751,1371,1
685734,360276,79420,43362,27623,48092,41616,38210,1663993,1292544,315067,78663,72248,132322,82378,129020,52104,20181,13213,13261,9673,5337,9404,3151,0
899512,167861,87206,42202,27914,47581,38133,23685,1760129,414678,268209,97656,55016,157673,117029,70237,262966,12169,3313,11594,7653,3771,2925,4039,1
