delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
397203,281433,49271,22862,54474,50092,39345,33412,79931,37562,6651,3069,780,4215,2530,1825,0
1323767,115785,18612,27022,23392,36294,19569,12975,4991,6281,1794,5718,5395,6154,7873,3226,0
1516971,293397,125316,80501,56131,93962,58082,48652,9091,12142,12361,10313,19395,43346,13950,27536,0
1303048,220670,39269,31109,9180,56719,44774,18794,6298,4927,1165,3258,2336,10096,11031,8322,1
794706,187993,19655,21289,8652,64822,74301,35183,68996,42401,2126,6184,2160,4217,4096,1915,1
1154053,209638,36475,38897,41332,27581,50224,17310,8730,21107,5635,2394,2148,9773,7810,9108,0
1695552,242673,106472,23281,27376,29430,69557,26425,329106,63085,999,5545,7076,3727,3578,5831,1
1109615,402176,37008,34507,32619,62219,169192,43622,128805,17768,3246,5160,1162,5016,3921,1297,1
2096036,446773,30352,18826,57700,121176,63529,49116,81124,45091,1557,1917,3270,14920,3358,4159,0
1317516,369545,80112,29596,37710,36342,22644,17708,23559,17820,9488,8325,2206,2909,1751,2427,1
1279363,1292544,315067,83484,72248,132322,82378,65010,149039,41327,6936,4234,1190,3521,3392,1616,0
2877453,539508,276150,114230,107468,157673,117029,75754,382587,81966,20415,27011,14572,8738,9953,11510,1
1521903,542967,84107,140096,91465,114290,72660,92489,6666,8887,50910,11246,28539,31877,19487,21615,0
2294070,929054,70038,36211,48137,164231,86897,26600,3013,10115,3795,6722,13895,10054,28211,7913,0
3242523,269657,29127,14254,54061,100945,116580,43849,79321,4434,2297,5015,4641,7196,3279,1353,0
2822957,370847,106518,73661,52359,93404,69212,81303,660862,33804,20668,6417,6813,15662,7427,9000,0
974643,75422,18664,42533,28254,44128,38941,20108,2002,12433,4591,5489,1380,15813,7779,11202,1
725731,70895,96305,8951,9025,22400,11963,14698,151318,5551,873,811,2167,2845,1646,978,0
2442935,601102,27448,56892,83746,73596,79803,88294,184516,79642,11535,6985,11003,7655,16446,4974,1
1088618,392634,13134,12792,26068,140008,59207,28601,63817,9318,1215,2138,2931,5797,3898,1926,1
2241701,692336,70392,39333,65045,96777,76410,47035,313682,4338,3126,3309,6093,6843,4264,1769,0
1074987,155582,33479,28136,47694,41155,42050,23447,187081,41657,3369,3794,12206,14129,5545,5189,1
1820337,532601,166326,28207,113201,42733,53163,36363,605670,34385,1375,6759,8789,14282,12353,8337,0
1145378,259655,49306,22250,16609,28867,25279,20557,428554,73384,10546,5684,9500,20233,16711,5097,1
1694483,281942,36137,28110,21320,34772,33060,19745,128634,55761,14100,8516,8362,14049,15951,6363,1
1676518,158940,105719,93126,10629,83202,58034,65777,43330,26075,2930,882,1345,3728,5059,671,1
95596,29438,7685,21378,17060,28121,18831,10626,4877,4809,1462,5579,2946,6113,5880,3663,1
2469685,189554,37244,35820,77839,53457,63204,26644,4916,30085,7885,4904,4970,10791,17412,6608,1
1286550,230293,13509,31626,58715,65671,47640,27204,50643,30473,9563,11424,3248,4710,1909,2841,0
1633334,647127,85542,50297,38014,64621,98056,50963,70200,8024,5750,11069,8774,24755,7609,8746,1
1290456,102474,24410,21908,29126,49846,33262,38990,7239,7896,6544,6919,13638,29012,30413,17591,1
666427,104692,37131,25530,15738,12011,18173,7877,65927,9531,902,2098,2835,5030,3968,4394,0
1526344,278203,41862,27263,41701,37603,38735,26580,4208,6151,3852,668,2332,3588,5895,1520,0
883455,95412,28481,21125,13623,22111,18783,10719,2447,4326,5322,4601,2493,7908,5554,5716,1
1942513,102930,46875,8549,33356,68575,33261,19718,72207,2281,2365,2303,2580,5509,4077,2691,0
1161354,166561,36650,32081,14883,27003,26922,45003,119599,6201,12519,3122,1959,6235,3001,2626,0
3075674,259827,163732,90271,101500,75364,46255,65424,21006,37711,18473,15932,12378,22709,13575,16355,1
2317883,664392,103445,65312,40401,103274,57263,50341,50381,22991,5282,5031,3510,3995,1846,1500,1
718724,144453,50129,116609,24642,99315,81014,48413,67843,66883,2925,4081,8198,4909,16674,5203,0
441026,110817,17519,30728,36129,65826,62335,30358,150547,45684,643,5369,6628,15433,12216,8628,0
1931498,700420,32712,24360,44359,80262,73947,38457,16798,20150,8519,4758,6543,9892,7812,12031,1
1067448,202664,24477,29528,22291,61646,42631,35079,290249,39014,9787,7419,4278,11550,17455,13404,0
2001797,276161,105048,44649,19326,72761,56396,26980,100733,20429,1480,722,990,4646,1718,1368,1
1003707,248621,34224,42193,24803,27015,56541,29164,270813,26522,9546,5705,1771,9583,8182,1998,0
768769,116245,52770,25149,20350,24619,17221,17943,6586,19031,10149,7273,5573,10082,8457,4098,1
1572596,43803,51524,19970,36791,12669,13674,7969,181453,21560,1491,3366,2841,3667,658,833,1
2608738,280026,80790,99540,28036,135347,30367,34717,586423,15643,4463,1109,2995,10829,7131,2459,0
1813011,423600,115058,41785,103728,45580,54038,86518,317883,31845,4736,4090,6860,18874,21670,8918,0
510200,503235,110315,27470,66254,97519,88941,33035,27613,18385,3535,2246,2259,2223,1992,1136,1
744495,261905,39121,42641,34805,76395,68476,34339,15129,26820,14345,3332,11603,24382,14479,9773,0
1266345,167535,28398,26563,35464,82838,50835,68913,242575,76452,7435,4104,17134,13316,8060,9025,0
