delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
341750,136771,7435,23886,11647,22371,8111,11548,433993,225754,16759734,7241,16897,16747252,30155,16763770,44207,7995,6922,4910,11028,4918,3572,2081,1580276,178721,16754454,15214,16757151,22570,29817,16744778,477934,731081,16776954,57549,9536,16767682,26620,16820,988960,36207,10360,20651,16756178,16761670,26331,14179,644520,219421,8385976,21575,5593739,8387743,20767,5592196,diff
44207,7995,6922,4910,11028,4918,3572,2081,1580276,178721,16754454,15214,16757151,22570,29817,16744778,477934,731081,16776954,57549,9536,16767682,26620,16820,988960,36207,10360,20651,16756178,16761670,26331,14179,16750524,16764457,6181,14147,5535,9166,4532,2501,145594,5785,4654,2628,4543,3351,3792,483,3331249,2954041,5593254,19183,5590661,5594892,15777,2796807,diff
477934,731081,16776954,57549,9536,16767682,26620,16820,988960,36207,10360,20651,16756178,16761670,26331,14179,16750524,16764457,6181,14147,5535,9166,4532,2501,145594,5785,4654,2628,4543,3351,3792,483,1397706,390270,42227,112791,16767989,50556,16754767,18231,335461,5071,5126,6757,4604,11105,7998,3419,3349363,2988811,2807583,35753,5591397,5600588,2804006,9272,diff
988960,36207,10360,20651,16756178,16761670,26331,14179,16750524,16764457,6181,14147,5535,9166,4532,2501,145594,5785,4654,2628,4543,3351,3792,483,1397706,390270,42227,112791,16767989,50556,16754767,18231,335461,5071,5126,6757,4604,11105,7998,3419,73249,17365,16159,4643,5257,9152,4848,2291,3281915,2869859,14117,26936,5590684,2807500,2800378,6850,diff
16750524,16764457,6181,14147,5535,9166,4532,2501,145594,5785,4654,2628,4543,3351,3792,483,1397706,390270,42227,112791,16767989,50556,16754767,18231,335461,5071,5126,6757,4604,11105,7998,3419,73249,17365,16159,4643,5257,9152,4848,2291,76782,5305,444,1274,3076,1143,190,16777203,3129886,2864708,12465,23706,2798500,14078,2796021,2800688,diff
1397706,390270,42227,112791,16767989,50556,16754767,18231,335461,5071,5126,6757,4604,11105,7998,3419,73249,17365,16159,4643,5257,9152,4848,2291,76782,5305,444,1274,3076,1143,190,16777203,16750508,31696,11838,6062,11982,4334,1204,1575,16757221,19127,4598,3420,11843,2932,1644,940,5898487,78139,13398,22491,2800791,13203,2795108,2800609,diff
335461,5071,5126,6757,4604,11105,7998,3419,73249,17365,16159,4643,5257,9152,4848,2291,76782,5305,444,1274,3076,1143,190,16777203,16750508,31696,11838,6062,11982,4334,1204,1575,16757221,19127,4598,3420,11843,2932,1644,940,16775164,16749596,26035,16221,17357,7955,4875,3126,8461397,2804693,10700,6396,9019,6103,3459,2798092,diff
76782,5305,444,1274,3076,1143,190,16777203,16750508,31696,11838,6062,11982,4334,1204,1575,16757221,19127,4598,3420,11843,2932,1644,940,16775164,16749596,26035,16221,17357,7955,4875,3126,200630,104143,184664,82718,16753182,132610,26015,16754003,795031,155724,13644,11425,12959,19620,18506,6372,8559222,2844265,40203,20186,2801733,28099,8739,5590536,diff
16750508,31696,11838,6062,11982,4334,1204,1575,16757221,19127,4598,3420,11843,2932,1644,940,16775164,16749596,26035,16221,17357,7955,4875,3126,200630,104143,184664,82718,16753182,132610,26015,16754003,795031,155724,13644,11425,12959,19620,18506,6372,952652,153594,16746475,17520,3678,23092,40981,10574,8705201,2868980,2831209,22894,2801833,31757,15537,2796098,diff
16775164,16749596,26035,16221,17357,7955,4875,3126,200630,104143,184664,82718,16753182,132610,26015,16754003,795031,155724,13644,11425,12959,19620,18506,6372,952652,153594,16746475,17520,3678,23092,40981,10574,117048,154570,876,11816,11221,16513,14429,6768,45169,185538,16755321,5098,9537,17486,15124,4139,3147615,2917194,5621169,24133,2801322,36212,19988,2797497,diff
