delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,state
863613,98135,27269,19903,9215,11534,2769,3317,237650,36420,17351,6315,8154,3550,1650,2862,207711,13890,1809,1086,4711,4871,1243,1023,524095,11604,23347,41704,43652,17473,14707,4579,18193,26435,14361,3569,4562,2539,2615,710,1
21174,10807,13246,7589,7481,2867,1838,993,247355,31836,894,14263,4275,3227,1186,4682,1080924,82687,55831,147024,26870,6788,11529,4515,1119742,91449,103476,49137,17701,7795,5561,6095,525297,58369,30397,1560,6246,3755,2552,1152,1
585786,46662,3328,21437,2631,2945,634,1772,439690,119433,9133,52478,15761,13632,8447,5542,190494,16074,2926,13650,8237,2690,1275,1629,164916,32204,44811,62968,19458,11652,4683,7595,74228,11194,4088,27365,1666,3381,4603,1968,0
1476772,74788,26856,62557,11632,3830,12599,10588,29548,35994,90300,57217,17748,7682,4632,6435,896427,33346,19181,20130,2358,2659,2266,1863,141734,108678,15129,33288,21559,5692,9608,4517,1248658,243925,208029,40132,43630,12655,8153,4331,1
568950,224294,5139,7691,15921,12033,5298,10059,109803,28041,22290,43053,8525,19656,7686,5279,190569,71923,4452,26875,1684,3634,1684,2472,5267,5441,3693,30220,3990,1087,1043,1697,174136,49159,2546,29070,3932,3383,2116,2235,0
120087,19835,3362,12642,1709,4549,1087,6009,437040,145034,18113,114450,16335,15046,7153,11124,117880,35196,4320,15617,1893,3183,1583,952,102369,89311,11083,19668,4854,4950,1279,1915,958631,168449,40387,48004,62065,28150,22186,8181,0
310557,69503,84542,35053,28007,14056,14138,21920,321858,26184,203,19331,1672,3944,2789,3881,762115,240859,19001,60740,24303,11378,8434,13357,84032,30541,15140,22559,2560,4386,1969,1996,183573,2145,4415,5715,2281,593,644,407,1
882439,149312,11964,42159,12327,14766,4996,13887,253332,74279,39059,9294,3545,2815,2336,2855,255498,67652,20841,22869,8155,1607,1555,1606,27567,18681,53845,127122,10530,17899,4130,5002,54525,19173,7922,17203,5145,1464,2263,1359,1
2426825,72578,53444,19697,14979,16548,13519,12435,47589,6772,1071,2579,770,1210,451,560,57482,13845,2922,6070,1469,719,505,347,120965,28358,63637,47000,34990,7007,5217,6406,417669,86913,5935,25416,7684,9823,9047,2165,0
447570,12044,10880,4593,3276,3536,3939,5087,202313,34177,14371,14976,4336,5087,2278,4489,1296797,182268,53921,54875,4328,11297,4977,10871,69027,46276,66576,111011,11129,10280,16069,8255,39446,4039,1315,4658,511,708,549,588,1
1529671,673135,56230,17202,50487,39076,19342,14572,202342,112585,5889,10324,9539,4358,4394,4175,511909,20480,9198,11037,14565,4241,2147,5106,83570,15257,4131,33250,1901,4099,1254,3044,250659,47443,58236,125983,15779,32130,6355,10518,0
669589,85524,18012,9127,7188,3167,2207,981,277994,9894,8564,9757,6054,2342,2387,2223,631288,113990,56132,61658,27138,17078,7380,7458,473252,86340,43723,69858,10729,46014,16908,14804,56356,20248,16064,115739,12874,16176,6794,7609,0
385288,337576,40435,14245,5854,12696,9988,10581,2227839,68705,25911,72210,31171,13690,7230,5695,330518,274371,16847,133087,13417,13653,41889,8661,76579,46996,11538,127889,11607,8271,12181,8823,81116,14215,4867,5914,4371,1311,835,543,1
108414,160742,21664,9865,9125,3042,3865,5606,474266,90984,6644,88530,20110,9203,8786,5186,75447,56274,11183,9041,3244,3997,1591,3006,90271,47008,40872,12554,7076,3988,3196,1739,980481,39671,13833,4680,9693,8068,4466,2583,0
61359,7212,8736,8199,4554,1089,2645,2339,12093,5492,30037,7413,7161,3317,1948,2338,831245,12577,9178,27060,5849,6527,1861,2275,82821,5332,352,3612,1752,577,943,739,95959,5305,2944,2087,847,847,401,173,1
280640,53559,11919,33082,3827,2537,2006,2508,71430,32656,7356,6062,4187,2740,926,1467,131733,19278,12328,31042,2012,2249,1837,842,74985,9931,6750,30368,1504,1815,2109,1317,36401,77628,92299,77186,13954,10282,7365,7360,0
247657,34716,57730,105878,28875,12967,9420,10358,86317,11892,17228,15700,3846,2582,1874,1398,87414,25647,28422,29892,5428,2663,1722,2441,1099288,97386,47260,87081,16823,9505,7526,4654,67333,8380,2363,4830,1086,702,940,183,1
1114860,139315,16667,14415,6822,1571,1417,1857,44494,21215,12710,7117,4007,2370,1456,960,31311,20491,8167,123269,7686,3843,2209,2971,168711,24824,45632,22293,9331,2740,846,853,65771,141918,57700,30598,10266,8162,5149,3414,0
8325,21111,6693,7737,2139,3773,2257,875,134345,9780,15038,13258,2861,5061,1510,1937,54699,16504,18360,5432,7068,4722,1360,927,198497,213292,89442,11465,11000,17615,5796,8997,366882,78024,22879,16785,5677,3209,1407,1228,1
99847,11473,12441,6786,6120,2962,2214,1459,1722531,46450,22473,64169,12763,4706,5232,6092,82234,15201,25578,135558,11126,10194,7812,8591,7848,212449,80602,138909,19288,18604,5521,8181,249329,7860,6074,2447,1339,826,1042,273,1
197206,41024,5382,2303,3803,3008,2387,1922,96809,48526,16117,44225,13490,16163,23103,5360,734725,33517,18114,17596,1156,3873,3311,1480,169841,39378,9745,11333,4156,5014,1892,2172,529633,199302,35299,22721,17906,2802,2837,2702,0
526253,117612,57528,112400,44402,20194,11731,9385,54079,39732,90875,36408,19289,26940,16592,4953,17833,66939,21947,79723,15828,9638,4920,2528,471119,145760,77182,96532,9547,6384,4627,3921,118520,100052,95137,60534,26982,23701,3512,5546,1
333123,19346,10081,10505,3555,6784,1040,1721,40924,28503,16383,15991,12456,4813,1668,1014,908875,109321,11905,235041,11737,12153,5976,6451,227148,11991,5566,19128,2238,2314,1139,850,938529,19042,15104,19997,3523,2211,1176,2156,1
163044,11679,1304,2094,2283,1401,470,298,1389333,178550,51698,133677,23111,9664,12295,5971,536931,5836,2610,30323,1816,1994,867,1817,67587,16705,24843,101328,18513,23777,6253,2192,50273,8530,4416,5531,3354,2587,3550,2343,1
1200627,346377,25505,107334,23991,6914,11516,11465,186426,44674,2033,60481,4030,3545,1154,943,2117316,209709,163027,56680,39569,20018,15220,5745,828377,52908,89083,45691,21829,5927,8631,6380,428038,130381,24529,82432,17677,10516,5417,7344,0
28339,13133,5492,37161,4161,1963,2527,1248,24048,18493,9080,22487,3836,2667,2138,895,18549,30284,49252,183648,6545,16822,9220,3702,663605,23037,59159,17692,5800,2383,776,867,788898,40206,37531,23638,4851,4139,1801,1257,1
97912,32789,5585,17026,1221,3617,2135,644,49947,41852,11496,21979,3330,2914,1046,1213,98830,40950,20279,79551,6866,6004,3641,1520,46641,26849,1042,42024,4005,3170,1826,2637,247405,180552,73484,56946,21653,11155,2717,2517,1
276216,25275,23765,8223,11556,16780,11390,13050,178484,7352,17983,11941,9955,4943,2509,2095,199154,101205,49027,57173,12685,14099,5684,2260,88332,275336,118543,106171,11697,12875,8502,15429,1037926,208653,94933,201222,54357,24634,9799,6231,0
527004,25856,13143,7780,4249,4147,4812,1716,47557,10409,28444,37208,4150,2297,1426,1400,17251,26651,88303,20731,7570,29667,9558,6857,86881,15159,39916,103300,9869,6758,5541,2925,18513,5289,35025,199391,10799,9437,10424,6017,1
85159,105691,37244,16024,13901,7315,7388,6221,565829,211382,61596,112322,4098,16572,8443,5748,127923,8467,10385,9966,1991,898,2198,826,6002,27879,15312,129267,1560,7047,5531,5112,269452,72609,17298,297914,18886,13021,9100,15615,0
394192,225212,31287,26337,13428,6733,17449,8714,800069,68300,6594,5412,6284,5761,1293,2098,853718,604184,23578,114283,22454,33056,21024,15291,625002,185862,5563,35835,29665,28210,13178,6566,316283,63400,12720,11050,7897,4743,4999,2456,0
544532,19091,3909,15884,11629,7523,5735,2239,242671,17854,1095,48611,3092,5419,1899,3001,16166,29070,22307,44450,6452,4758,3049,2181,32230,21781,10956,6893,6368,4479,3330,1688,133987,270684,53477,18295,4887,10003,6515,4865,0
730131,15117,6998,4409,3116,6231,1652,1291,254708,93094,7439,42647,13229,4246,2879,1083,128684,47931,12942,12030,2958,2220,986,1099,444492,230465,35105,88675,18453,10290,10978,5570,1712271,105431,46876,29362,16223,4606,5917,1765,0
1032896,166932,43410,46120,47859,9362,8981,8143,598220,3739,8225,3425,3700,2633,958,548,239116,13877,14677,27048,23030,4489,6392,8710,1428058,91406,38017,149516,11273,9672,9692,4394,61342,81447,15294,157058,5849,16084,4353,5254,0
972233,23210,9300,7270,2344,2733,597,927,874047,538039,99159,38727,24138,12445,7126,15477,73672,6735,1892,3271,3531,698,364,1207,255607,48326,11493,45183,4599,1134,796,1858,262572,67165,14711,31750,16062,7893,8358,15862,1
702761,91863,4185,13205,8497,3023,2376,4734,71461,9996,4917,23395,3306,1671,3297,2865,137771,30284,3576,12262,3386,6060,1899,1381,2351001,264495,90540,12936,25945,9227,8403,7727,40281,32746,112061,48989,6457,7270,9579,8443,1
1286144,34755,17524,7641,8705,3510,1072,1985,2623892,15419,9770,119505,31363,12006,9474,8728,186727,32194,36087,67740,13914,10760,14666,5482,29031,14540,111289,66327,8381,19810,4279,14020,56148,66944,49840,136561,18776,10110,5252,6844,0
144461,15189,4815,2888,3706,1372,667,1309,101806,19158,4382,27883,1821,2118,1560,1483,72517,20586,95870,67432,14949,7410,4663,11740,113366,11822,5846,37922,1194,1303,1414,2095,331083,100087,61375,61777,22475,12707,10645,13670,1
404205,38757,8618,5847,3516,1674,844,520,251229,90941,21409,20015,15734,10209,3562,3649,77076,44604,8715,15271,5052,4260,1861,1876,644532,1850,30103,3001,5593,6514,3226,3552,95848,15559,12654,19330,2811,3871,2450,2575,1
779177,62112,7805,7541,13397,10689,8568,6261,37808,21404,51134,83687,11350,32192,14426,7355,820136,26026,14473,12350,6670,4617,4645,6711,21230,17929,7692,9905,3250,1416,11239,5684,1048813,36045,9424,1194,7274,6543,3797,4431,1
