delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_7,theta_7,lowalpha_7,highalpha_7,lowbeta_7,highbeta_7,lowgamma_7,midgamma_7,state
26172,14325,7716,4735,6839,3477,3844,866,45212,16773503,16047,16076,31933,19142,11632,5526,82686,24465,12066,2378,5713,4377,1474,502,204722,200087,33599,82192,16751244,16746789,16458,10291,293294,22916,3267,2537,3906,6702,5272,1332,1812420,1275273,72330,208633,70700,88891,83605,66510,diff
140637,23153,3820,6798,6572,13615,5658,7848,16776408,23304,1094,8163,2462,7478,7993,8135,340363,16771341,29532,22030,20544,16343,12432,5767,946318,649047,87698,16754075,31429,67634,16745974,10205,60877,16102,920,3573,1491,17229,2899,5046,267807,16744359,5651,2450,1042,6098,1696,2050,diff
66017,8774,11807,1543,1585,1184,1201,283,4840,12137,7480,2211,7260,5428,1187,1855,141918,16772346,16748810,20509,1375,6882,737,3895,5776,80086,16746993,11429,4366,5122,3527,1274,16775340,18831,6170,1388,3134,947,636,214,2613,20795,3392,4379,6698,4091,640,1313,diff
490956,104431,65708,30635,9899,16766792,16746646,26494,16773643,16766434,12738,6972,3432,3236,1893,1173,93043,79706,2637,13812,7261,5733,5138,1955,10647,25168,12259,5948,2624,10206,1891,3629,16744463,16757213,16776660,4883,7962,10187,5173,2043,231264,87346,16765389,2762,12567,16269,1706,979,diff
16763505,16761966,5435,1204,11349,10639,3278,3193,541355,16756785,2520,2977,2786,4694,2980,672,207012,7589,8838,6355,6665,6618,3024,2143,68169,19440,2279,2767,3245,6472,4727,1523,13562,31722,7101,5234,4328,4653,2451,1101,83860,16769537,9025,3229,2960,2850,801,820,diff
6878,11299,20209,10066,8903,15635,10788,5952,5131,25556,2493,1427,4458,12208,5945,5072,84065,12718,14029,6495,15745,5694,8910,5512,16748903,16764687,4259,1841,7966,3443,493,901,12631,7071,4357,2263,2372,2264,639,598,16767726,16750276,7967,3972,1965,1169,949,1387,diff
171526,16747856,16753515,5250,9043,8490,3021,4290,522121,27559,17717,4532,4948,6775,4576,906,1230202,22623,16762837,20471,9399,25846,66282,7071,684139,228584,75592,16754466,64872,71727,16770231,16754922,1614846,222410,76084,17515,66896,131476,16760427,16474,1908130,74085,23401,16760677,26957,28737,10248,10817,diff
71609,18727,7276,5196,668,789,504,777,23163,16365,7660,8512,2618,1080,1114,246,160610,16764405,6499,17348,9911,3049,3011,4196,17130,78633,6683,4262,9257,6215,1890,4162,73381,16744894,2501,3852,3297,1206,666,867,368558,16756251,634,8173,12268,10891,4773,2881,easy
72035,15146,14022,2837,1746,2641,935,1282,5658,16351,6726,14967,8382,12748,3144,3927,9489,5483,2059,992,2013,1555,343,195,65266,16776310,4188,6456,1834,3100,661,633,16745854,22576,5545,6178,4148,2387,862,416,36158,94324,6695,31827,8980,6003,1667,1496,diff
16750658,16764030,17225,4063,11616,2435,2324,975,417912,532952,37514,30850,28791,16762113,66787,20309,204891,83851,879,4537,7314,7919,6318,2067,174051,7238,4747,2640,8185,4168,1476,2863,77810,23219,1625,7522,6674,3684,1967,2934,16753806,18921,7895,2604,2517,8377,1181,2441,easy
