delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,state
204722,200087,33599,82192,16751244,16746789,16458,10291,293294,22916,3267,2537,3906,6702,5272,1332,diff
946318,649047,87698,16754075,31429,67634,16745974,10205,60877,16102,920,3573,1491,17229,2899,5046,diff
5776,80086,16746993,11429,4366,5122,3527,1274,16775340,18831,6170,1388,3134,947,636,214,diff
10647,25168,12259,5948,2624,10206,1891,3629,16744463,16757213,16776660,4883,7962,10187,5173,2043,diff
68169,19440,2279,2767,3245,6472,4727,1523,13562,31722,7101,5234,4328,4653,2451,1101,diff
16748903,16764687,4259,1841,7966,3443,493,901,12631,7071,4357,2263,2372,2264,639,598,diff
684139,228584,75592,16754466,64872,71727,16770231,16754922,1614846,222410,76084,17515,66896,131476,16760427,16474,diff
17130,78633,6683,4262,9257,6215,1890,4162,73381,16744894,2501,3852,3297,1206,666,867,easy
65266,16776310,4188,6456,1834,3100,661,633,16745854,22576,5545,6178,4148,2387,862,416,diff
174051,7238,4747,2640,8185,4168,1476,2863,77810,23219,1625,7522,6674,3684,1967,2934,easy
16759915,28758,2688,4374,2431,5371,737,2183,16768081,22388,3513,1974,3957,6748,1230,1423,easy
87912,10606,2713,2803,1785,1081,475,16777197,107297,67898,14033,3488,962,1288,595,878,diff
72222,34329,22063,20226,6430,11705,417,1839,69055,86923,25046,22083,4334,11044,3506,476,diff
11079,19112,7525,4151,3121,685,262,285,147080,25695,27263,10866,7865,8573,3905,2644,easy
16756959,16765791,28092,3129,7505,9630,2592,1088,84814,6433,1689,16777136,1911,746,329,16777185,easy
82018,8933,3779,2294,1340,771,412,228,8596,10646,5378,11047,2206,1857,1442,1565,easy
33530,88505,14899,23155,5654,2713,2064,2696,58596,16754895,6717,919,1687,647,16777104,364,easy
76787,10804,416,274,1014,598,521,116,16773574,16759559,11916,947,6787,3667,249,585,easy
73717,27932,3840,2440,2738,13325,1449,1009,95099,10570,9889,962,552,490,240,515,easy
16754414,12473,4080,1382,1875,1608,1072,210,31114,25613,18535,16751385,21849,17917,7258,13783,easy
75010,9579,3679,3314,8862,1835,865,554,1330992,204692,43126,16750129,25853,15389,5998,3474,diff
454816,16774321,24210,5682,15741,15148,10900,9174,479301,89647,3729,7159,10155,11934,3967,10506,easy
