delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,state
405346,58123,9825,2651,-7218,2177,-2323,372,-220617,-3592,-93,-10937,-8279,-5807,-3442,-83,-250556,-26122,-15635,-16166,-11722,-4486,-3849,-1922,65828,-28408,5903,24452,27219,8116,9615,1634,hard
-596124,-43387,-30115,-46914,-6600,-2302,-3190,-3078,-369943,-22358,-42467,-40240,-9806,-1942,-3842,611,463626,28493,12470,92521,12789,1619,6501,444,502444,37255,60115,-5366,3620,2626,533,2024,hard
240565,-6931,-11721,-16196,-8890,-4784,-3125,-2362,94469,65840,-5916,14845,4240,5903,4688,1408,-154727,-37519,-12123,-23983,-3284,-5039,-2484,-2505,-180305,-21389,29762,25335,7937,3923,924,3461,easy
840652,11587,-11010,19259,-1692,-1135,5323,4738,-606572,-27207,52434,13919,4424,2717,-2644,585,260307,-29855,-18685,-23168,-10966,-2306,-5010,-3987,-494386,45477,-22737,-10010,8235,727,2332,-1333,hard
350303,141870,-3754,-19268,8391,2931,1371,5183,-108844,-54383,13397,16094,995,10554,3759,403,-28078,-10501,-4441,-84,-5846,-5468,-2243,-2404,-213380,-76983,-5200,3261,-3540,-8015,-2884,-3179,easy
-74257,-52509,-5857,-27952,-4488,-2383,-1688,1009,242696,72690,8894,73856,10138,8114,4378,6124,-76464,-37148,-4899,-24977,-4304,-3749,-1192,-4048,-91975,16967,1864,-20926,-1343,-1982,-1496,-3085,easy
-59083,-22268,54821,633,13872,5615,7306,11632,-47782,-65587,-29518,-15089,-12463,-4497,-4043,-6407,392475,149088,-10720,26320,10168,2937,1602,3069,-285608,-61230,-14581,-11861,-11575,-4055,-4863,-8292,hard
527730,71831,-19463,-8202,3688,5495,1742,8050,-101377,-3202,7632,-41067,-5094,-6456,-918,-2982,-99211,-9829,-10586,-27492,-484,-7664,-1699,-4231,-327142,-58800,22418,76761,1891,8628,876,-835,hard
1763610,42190,23176,861,1927,10177,8596,7498,-615626,-23616,-29197,-16257,-12282,-5161,-4472,-4377,-605733,-16543,-27346,-12766,-11583,-5652,-4418,-4590,-542250,-2030,33369,28164,21938,636,294,1469,easy
-56356,-56647,-25557,-41770,-2491,-4014,-2876,-2088,-301613,-34514,-22066,-31387,-1431,-2463,-4537,-2686,792871,113577,17484,8512,-1439,3747,-1838,3696,-434899,-22415,30139,64648,5362,2730,9254,1080,hard
947798,467771,37368,-751,31364,26133,12558,7848,-379531,-92779,-12973,-7629,-9584,-8585,-2390,-2549,-69964,-184884,-9664,-6916,-4558,-8702,-4637,-1618,-498303,-190107,-14731,15297,-17222,-8844,-5530,-3680,easy
156559,11587,-13595,-28473,-5589,-13983,-5013,-5385,-235036,-64043,-23043,-27843,-6723,-14808,-4833,-4143,118258,40053,24525,24058,14361,-72,160,1092,-39778,12403,12116,32258,-2048,28864,9688,8438,easy
-369768,155664,16753,-72612,-9658,619,-7834,2141,1472783,-113207,2229,-14647,15659,1613,-10592,-2745,-424538,92459,-6835,46230,-2095,1576,24067,221,-678477,-134916,-12144,41032,-3905,-3806,-5641,383,hard
-78685,71990,1574,-20132,-763,-2015,-494,1722,287167,2232,-13446,58533,10222,4146,4427,1302,-111652,-32478,-8907,-20956,-6644,-1060,-2768,-878,-96828,-41744,20782,-17443,-2812,-1069,-1163,-2145,easy
-185520,-441,-3339,-3372,-275,-1788,796,417,-234786,-2161,17962,-4158,2332,440,99,416,584366,4924,-2897,15489,1020,3650,12,353,-164058,-2321,-11723,-7959,-3077,-2300,-906,-1183,hard
140943,24703,2331,7944,945,202,287,975,-68267,3800,-2232,-19076,1305,405,-793,-66,-7964,-9578,2740,5904,-870,-86,118,-691,-64712,-18925,-2838,5230,-1378,-520,390,-216,easy
-132512,-7694,20070,46241,15132,6038,4285,5646,-293852,-30518,-20432,-43937,-9897,-4347,-3261,-3314,-292755,-16763,-9238,-29745,-8315,-4266,-3413,-2271,719119,54976,9600,27444,3080,2576,2391,-58,hard
775016,87854,-4127,-27358,-139,-1060,-65,197,-295350,-30246,-8084,-34656,-2954,-261,-26,-700,-308533,-30970,-12627,81496,725,1212,727,1311,-171133,-26637,24838,-19480,2370,109,-636,-807,easy
-90641,-44060,-25690,-1736,-3628,-4019,-473,-2309,35379,-55391,-17345,3785,-2906,-2731,-1220,-1247,-44267,-48667,-14023,-4041,1301,-3070,-1370,-2257,99531,148121,57059,1992,5233,9823,3066,5813,hard
-378268,-59920,-22832,-79569,-6204,-6154,-2980,-4621,1244416,-24943,-12800,-22186,439,-4410,38,12,-395881,-56192,-9695,49203,-1198,1078,2618,2511,-470267,141056,45329,52554,6964,9488,327,2101,hard
-102439,413,-6957,-16561,-1848,-4006,-5286,-811,-202836,7915,3778,25361,7839,9149,15430,2627,435080,-7094,5775,-1268,-4495,-3141,-4362,-1253,-129804,-1233,-2594,-7531,-1495,-2000,-5781,-561,easy
258932,25102,-4355,31135,22136,4405,2264,4189,-213242,-52778,28992,-44857,-2977,11151,7125,-243,-249488,-25571,-39936,-1542,-6438,-6151,-4547,-2668,203798,53250,15299,15267,-12719,-9405,-4840,-1275,hard
-44394,-22944,-902,-59661,-3941,268,-1415,-788,-336593,-13787,5400,-54175,4960,-1703,-787,-1495,531358,67031,922,164875,4241,5637,3521,3942,-150369,-30299,-5417,-51038,-5258,-4202,-1316,-1659,hard
-376179,-41513,-18809,-64761,-9147,-7808,-4501,-2271,850110,125358,31585,66822,11681,455,7324,3402,-2292,-47356,-17503,-36532,-9614,-7215,-4104,-752,-471636,-36487,4730,34473,7083,14568,1282,-377,hard
117441,182960,-44407,39788,1637,-2187,2386,5332,-896760,-118743,-67879,-7065,-18324,-5556,-7976,-5190,1034130,46292,93115,-10866,17215,10917,6090,-388,-254809,-110509,19171,-21855,-525,-3174,-499,247,easy
-155296,-8103,-25253,-28086,-924,-3995,-1138,-430,-159587,-2743,-21665,-42760,-1249,-3291,-1527,-783,-165086,9048,18507,118401,1460,10864,5555,2024,479970,1801,28414,-47555,715,-3575,-2889,-811,hard
24580,-2821,-4015,-23119,-2634,-309,-27,-859,-23385,6242,1896,-18166,-525,-1012,-1116,-290,25498,5340,10679,39406,3011,2078,1479,17,-26691,-8761,-8558,1879,150,-756,-336,1134,hard
90670,-77017,-28564,-37654,83,4606,4369,4842,-7062,-94940,-34346,-33936,-1518,-7231,-4512,-6113,13608,-1087,-3302,11296,1212,1925,-1337,-5948,-97214,173044,66214,60294,224,701,1481,7221,easy
357331,6338,-29308,-34474,-2210,-6570,-522,-1508,-122116,-9109,-14007,-5046,-2309,-8420,-3908,-1824,-152422,7133,45852,-21523,1111,18950,4224,3633,-82792,-4359,-2535,61046,3410,-3959,207,-299,hard
-111069,17337,6110,-50870,8514,-643,1498,1745,369601,123028,30462,45428,-1289,8614,2553,1272,-68305,-79887,-20749,-56928,-3396,-7060,-3692,-3650,-190226,-60475,-15822,62373,-3827,-911,-359,636,easy
-274053,-45677,14532,-19129,-4529,-11707,4213,547,131824,-202589,-10161,-40054,-11673,-12679,-11943,-6069,185473,333295,6823,68817,4497,14616,7788,7124,-43243,-85027,-11192,-9631,11708,9770,-58,-1601,easy
335633,-2858,-5657,-13075,4744,1979,2232,-38,33772,-4095,-8471,19652,-3793,-125,-1604,724,-192733,7121,12741,15491,-433,-786,-454,-96,-176669,-168,1390,-22066,-517,-1065,-173,-589,easy
340628,-81534,-8623,-32531,-6323,485,-2471,-969,-134795,-3557,-8182,5707,3790,-1500,-1244,-1177,-260819,-48720,-2679,-24910,-6481,-3526,-3137,-1161,54989,133814,19484,51735,9014,4544,6855,3310,easy
208324,97944,17328,-10407,26394,2823,2476,2695,-226352,-65249,-17857,-53102,-17765,-3906,-5547,-4900,-585456,-55111,-11405,-29479,1565,-2050,-113,3262,603486,22418,11935,92989,-10192,3133,3187,-1054,easy
428344,-130867,-21161,-16342,-6309,-1519,-1623,-3940,330158,383962,68698,15115,15485,8193,4906,10610,-470217,-147342,-28569,-20341,-5122,-3554,-1856,-3660,-288282,-105751,-18968,21571,-4054,-3118,-1424,-3009,hard
-112987,-7296,-21619,-2244,-1786,-1972,-1617,558,-744287,-89163,-20887,7946,-6977,-3324,-696,-1311,-677977,-68875,-22228,-3187,-6897,1065,-2094,-2795,1535253,165336,64736,-2513,15662,4232,4410,3551,hard
