delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
1044736,64735,12023,11056,4039,12677,9986,4692,1809850,86733,19702,12560,4223,20351,15447,5726,279623,42737,4345,9552,3855,5004,4525,3658,0
1873899,813525,28347,65638,30144,36702,35883,39000,1963393,1525301,28822,113190,47757,52613,50621,64872,1784406,101750,27872,18086,12532,20792,21145,13128,0
2031671,258492,46565,27093,27528,35999,23197,8491,2790611,345941,70831,33082,30809,48255,32920,8978,1272732,171043,22299,21104,24248,23743,13474,8004,0
806788,405426,60108,13666,6415,38553,46314,22591,1250602,742810,119369,24837,8630,70491,62475,37448,362974,68043,848,2496,4200,6615,30153,7734,1
823683,162235,11037,10410,10630,8849,5605,8535,1291011,282005,14740,16863,14958,14502,7374,12643,356356,42466,7334,3957,6303,3197,3837,4428,1
507083,33119,5702,5067,3915,11441,5166,6488,952271,53531,8902,5990,4410,19481,7681,10898,61896,12708,2502,4144,3421,3402,2651,2079,0
677845,529795,57354,30760,26844,39168,25754,28495,699624,978877,110390,49604,30843,66073,37685,43695,656066,80714,4319,11917,22846,12264,13824,13295,1
844735,346254,18507,39295,13659,73079,41059,26891,1458367,561780,23642,61168,15421,128055,65416,44227,231104,130728,13373,17422,11897,18103,16703,9556,1
1346689,208244,68048,39198,26553,46421,51171,32637,2134069,349591,78934,46526,36625,77625,83568,50886,559310,66898,57162,31870,16481,15218,18774,14388,0
551747,895607,93784,64299,22889,40742,24535,15685,673227,1706168,170035,87642,28274,64871,38999,25711,430268,85046,17533,40956,17504,16614,10071,5660,1
487554,90063,25715,36415,16227,19402,24700,10589,524044,159945,34923,47062,16967,20552,27952,14054,451064,20181,16508,25768,15487,18252,21448,7124,0
368824,39193,17054,15436,14783,21521,15121,8134,474683,66217,30796,19279,21913,39271,27317,9009,262966,12169,3313,11594,7653,3771,2925,7259,1
59397,32753,8352,5112,2032,8626,7941,3147,71192,33635,8406,8523,2114,14699,8980,3234,47602,31872,8298,1702,1950,2554,6903,3061,0
498714,62008,11432,14629,11273,16033,17189,7095,883452,87229,14545,14682,16424,18362,23941,8340,113977,36787,8319,14576,6123,13705,10437,5850,0
1542810,434997,89419,16127,29452,26758,42783,26356,2629744,738491,134375,27757,34359,42208,60181,34757,455877,131504,44463,4497,24546,11309,25386,17956,0
891519,108888,33118,19807,13222,38188,15088,7854,1255862,155676,35664,30963,13401,45926,26088,9035,527177,62101,30572,8651,13044,30450,4088,6674,0
260373,130192,49241,29340,12620,24055,22359,16378,415042,151299,50851,48165,21347,39036,32080,18955,105705,109086,47631,10516,3893,9075,12638,13802,1
485030,66342,5182,6925,8282,19419,12070,4836,793376,81570,6600,8089,12073,29661,22578,6019,176685,51114,3764,5762,4491,9178,1563,3653,0
562541,321840,19518,34578,24887,51350,37912,34851,926355,601465,35281,66220,47781,94233,65917,66110,198727,42215,3755,2936,1994,8467,9908,3592,1
820980,133499,99126,26293,22583,21882,65546,18487,985451,180116,173985,31540,32358,29126,110132,19200,656509,86883,24267,21047,12808,14638,20961,17774,1
1061868,258135,43846,19540,25958,45703,91696,32066,1408978,332136,61478,24964,26716,50136,174623,50513,714758,184135,26215,14117,25201,41270,8770,13619,0
942765,91688,28473,13112,22018,16993,14029,4784,990266,124386,36793,22163,24776,22995,20178,6130,895264,58991,20153,4062,19261,10992,7881,3439,1
428950,620509,14592,104625,23531,36536,34627,27964,540877,1012263,17184,164213,37060,63039,52803,42176,317024,228755,12000,45037,10003,10034,16452,13752,0
701006,270413,21382,39577,22060,28242,28597,23841,727868,383433,24571,72173,37264,33905,42380,34567,674144,157393,18194,6981,6856,22580,14815,13116,1
1365594,99916,19341,10058,25507,13411,19240,8449,1394249,130294,20774,13246,27067,17227,21325,8632,1336939,69539,17909,6870,23947,9595,17155,8267,1
1338824,254500,99756,41035,31909,79799,43700,44586,1458118,424569,150730,52503,43094,80544,47708,49797,1219530,84432,48782,29568,20724,79055,39692,39376,1
203915,80071,14185,12858,9301,29838,30608,14004,244414,129546,16048,14068,15642,49007,51024,24613,163416,30596,12322,11648,2961,10669,10193,3396,1
1850573,411533,35806,39932,34495,99980,76176,53813,1982933,474237,53173,73170,51059,160594,103242,64420,1718213,348830,18440,6694,17931,39367,49111,43207,1
1016170,187365,79987,6565,21190,92969,121919,22236,1345709,280458,129458,7055,27117,172024,223182,40234,686631,94273,30517,6076,15263,13914,20657,4238,0
936067,384389,61865,70217,38959,44429,67011,26595,1154601,576448,77099,124299,55078,61090,74833,32923,717533,192330,46632,16135,22840,27769,59189,20267,1
573706,117159,9002,22363,15181,11896,10003,8930,951488,145967,16320,33265,20519,18122,14387,10649,195925,88352,1685,11461,9843,5671,5619,7212,1
724282,48744,7504,19289,10054,9416,20001,3609,1031593,54638,9912,23539,13167,9620,22826,4990,416971,42850,5097,15040,6941,9213,17176,2229,0
858717,196952,44722,29053,32797,34707,28004,16319,1706517,387595,82294,50924,58136,34913,31513,17791,10917,6309,7150,7183,7459,34502,24496,14847,0
992267,291275,51410,98254,15840,56619,146723,14307,1754080,549450,82684,182795,22593,70621,222314,17795,230455,33100,20137,13714,9087,42617,71133,10820,1
484364,276878,23343,41935,24131,52376,24542,22896,608211,466282,25376,68402,36557,83221,36540,28966,360518,87474,21311,15469,11705,21531,12545,16827,0
394589,97324,29927,20343,8593,12550,7380,9304,624739,100687,48654,32122,13706,17480,9649,9977,164439,93962,11201,8564,3480,7621,5112,8631,0
652749,68919,9255,4613,15943,13398,4737,6549,998696,107310,18050,8662,26154,18293,5688,7296,306803,30529,460,564,5732,8504,3787,5802,1
1785220,406322,114173,56318,51253,45709,155994,77956,1824656,422452,136452,95374,53563,53136,181060,128016,1745785,390193,91894,17263,48944,38283,130928,27897,1
803129,96398,13305,9850,7501,10483,8978,4628,1050627,109194,18150,10571,7816,12454,9783,5151,555632,83603,8460,9130,7186,8513,8173,4106,0
214028,70487,4492,5657,4457,10334,5102,6508,351520,129019,6484,8666,6057,16796,6456,9862,76536,11955,2501,2648,2858,3873,3749,3155,0
620273,83771,31398,32420,27560,19661,13484,14127,1232644,141690,49817,62579,33444,32475,22633,22445,7903,25853,12980,2262,21676,6847,4336,5810,1
328179,133036,40475,36071,13730,22515,17847,11801,541071,236615,70747,70105,24408,31631,29271,18432,115287,29457,10204,2038,3052,13400,6424,5170,0
849496,112223,11432,17889,18878,32927,36934,20255,1692107,213399,15642,18971,30206,33583,45924,25393,6886,11047,7223,16808,7550,32272,27945,15118,1
809349,39934,9862,7400,6624,5971,22361,7588,954326,51878,17973,10876,12348,8259,39550,12965,664373,27991,1752,3924,900,3684,5173,2212,0
248712,104216,45487,18538,20809,47407,37532,20997,346729,191870,87166,31515,29311,47665,44275,27029,150695,16563,3809,5561,12307,47149,30789,14966,1
792838,117009,13997,42072,12362,17112,20390,7786,1398580,200137,16284,65047,17069,22058,28683,8993,187096,33881,11711,19098,7655,12167,12098,6579,1
853616,319959,13952,34908,9907,27683,17161,13516,1070817,502757,21124,54689,11296,41478,19775,15900,636415,137161,6780,15127,8518,13888,14547,11132,0
953093,232861,12999,15667,15241,21917,9438,13235,1714073,361178,20713,20890,15908,23013,11102,16502,192114,104544,5286,10444,14574,20822,7775,9969,0
508988,385752,45627,25603,20113,34391,35367,44396,1016534,765145,87266,33167,36790,35101,37439,53078,1443,6360,3989,18039,3436,33682,33296,35715,1
396412,92332,10314,18261,19975,17287,14531,9248,608614,159718,16595,22453,35220,25997,19450,9451,184210,24946,4034,14069,4730,8578,9612,9045,0
509909,72894,9750,11952,6701,15296,15149,10946,672979,97247,12152,16702,7507,20202,18014,15991,346840,48542,7349,7203,5895,10391,12285,5901,0
825609,28449,9661,10417,4243,6409,6435,7278,1181463,32048,10360,12808,5526,7235,10671,12852,469755,24851,8962,8026,2960,5584,2199,1705,0
665737,235205,23321,58718,24649,48927,86458,15970,772777,377108,23698,104349,34133,49133,135055,19341,558697,93302,22945,13087,15166,48721,37861,12599,0
1109527,102186,18499,7087,14771,19122,18849,6806,1223728,156285,20792,7678,20774,20249,24781,9199,995327,48087,16207,6497,8768,17996,12918,4413,1
1205211,192792,91259,22484,46542,60934,35764,26301,1721916,343799,147814,26661,71433,65848,47441,35634,688507,41785,34704,18307,21652,56020,24087,16968,0
1054253,731921,71743,39940,47006,51980,85111,87114,1249803,1152291,84417,73235,70779,91721,124654,156165,858703,311551,59070,6645,23233,12240,45568,18063,1
803989,238622,23195,141957,57492,19794,25104,17761,881471,255950,43549,278967,107762,28352,38108,26709,726507,221294,2842,4948,7223,11236,12101,8814,0
204372,79347,27760,21413,21273,32464,34053,26975,368126,117921,46784,26027,32718,40013,45776,42937,40619,40774,8736,16800,9828,24916,22331,11013,0
1167875,67061,8793,8105,13024,19698,15824,6202,1558514,89840,9024,13270,15187,24569,18803,8044,777236,44283,8563,2941,10862,14827,12846,4360,1
387891,208352,9093,40919,13539,49008,23509,22897,480539,249068,14356,70901,17375,74577,37088,41897,295244,167636,3830,10937,9704,23439,9931,3898,1
1332883,122015,41349,14169,9434,24756,10505,13322,1754671,197477,71683,18141,13934,36873,16066,22732,911095,46554,11016,10198,4935,12639,4944,3913,1
217642,67999,18762,4555,8168,9532,11462,4644,295555,101756,22459,5114,11022,11406,14221,5100,139729,34243,15065,3996,5314,7658,8703,4188,0
36951,30113,11401,18232,16065,28987,18021,25233,58916,31363,20699,24695,16325,36443,22372,31029,14987,28863,2103,11770,15806,21532,13670,19438,0
56801,37016,12345,6356,9343,3672,4275,2002,65679,41686,17539,9724,15610,5338,5994,2325,47923,32346,7151,2988,3076,2006,2557,1680,1
992038,97085,17615,28006,9326,26844,32298,9922,995915,155455,30286,50663,12753,47468,55006,13956,988162,38716,4944,5350,5899,6221,9591,5888,1
245583,73590,26837,22975,18063,26007,20964,8092,248083,75003,49072,28201,29658,43517,31775,11538,243084,72178,4602,17750,6469,8498,10153,4646,0
135935,19039,6098,3823,12218,12100,7978,7006,263890,20538,9019,5353,21503,21991,15112,12897,7980,17540,3177,2294,2934,2210,844,1115,0
89921,31992,4670,7459,22392,9536,11687,9857,105521,39849,6499,9505,33216,13903,15581,17312,74322,24136,2842,5414,11568,5170,7793,2402,0
713274,120935,24851,11551,20646,14903,8945,5885,1215692,233227,49040,22397,40846,27577,15588,10436,210856,8644,663,705,447,2229,2303,1334,0
953849,107197,7724,6055,6056,26268,35207,14400,1845111,182501,9147,6755,8704,46446,66743,23556,62588,31893,6302,5356,3409,6090,3671,5245,0
1204804,177375,35090,16970,16345,34559,21919,22400,2206666,258297,40749,27026,24080,45870,24188,26941,202942,96453,29432,6915,8610,23249,19650,17859,1
802894,87979,8205,12470,25669,16573,15698,6226,876715,128918,10661,14868,45149,18639,19068,9830,729074,47041,5750,10072,6189,14507,12328,2623,1
278795,13219,6687,7771,13345,15714,24492,10935,552714,19721,11309,12071,18496,17709,34835,11547,4876,6718,2066,3472,8194,13719,14149,10324,1
1753393,129107,20622,35700,20031,66426,31073,14679,3024414,174943,33124,63004,28549,75033,36833,16902,482373,83272,8120,8397,11513,57820,25313,12457,1
733252,71111,14031,66662,24421,39023,13640,9456,1279650,88312,17118,120052,40667,53304,15711,12322,186855,53910,10944,13272,8176,24743,11569,6590,1
61908,45857,8566,17120,11351,39612,19997,12105,116145,81505,9660,19691,15498,56450,23593,14856,7672,10210,7472,14549,7205,22774,16402,9355,0
121355,65385,6799,3477,6547,11691,14085,6255,190192,116345,11703,6143,10274,22091,26849,11412,52518,14425,1896,811,2821,1291,1322,1099,1
287503,28633,5081,3353,4612,18638,18582,9885,571822,45591,5452,3867,5062,30171,30864,11960,3184,11676,4710,2840,4163,7105,6301,7810,1
1068127,446464,92511,20722,18335,20729,27943,14243,1894215,811448,168097,21776,25089,26571,37903,15356,242040,81480,16925,19669,11582,14888,17984,13130,1
34350,10880,2396,3407,6056,8387,5483,4974,66929,11780,4308,5445,10845,15994,10197,9460,1771,9981,484,1369,1267,781,770,489,1
14598,9710,7763,18536,18845,40758,25745,28243,21581,13083,13860,29846,22498,65128,29035,33972,7616,6338,1666,7226,15192,16388,22455,22514,1
570357,72460,33463,24236,19407,26039,12437,6669,592491,76844,40917,42968,31244,44700,19022,7633,548224,68076,26009,5505,7571,7378,5853,5706,1
161960,9253,5722,4052,2102,2537,1307,1553,251090,10920,9506,5981,3059,2590,1326,1584,72830,7587,1938,2124,1145,2484,1289,1522,0
1909132,252913,118334,31428,33409,41789,31421,15906,2546183,348054,208702,40801,37928,60618,37159,20489,1272081,157773,27967,22056,28890,22961,25683,11324,1
92472,27559,11175,6862,6404,24107,12723,13059,164282,50314,21325,7035,9174,41947,17955,22346,20662,4804,1026,6690,3635,6268,7492,3772,0
168787,24817,5265,4517,7250,8172,4646,5496,207203,26086,6911,5482,9393,9415,5069,8074,130371,23549,3620,3552,5108,6930,4223,2919,0
254527,118305,7847,34699,13920,22270,12963,14731,435210,128501,14002,51364,14481,27099,17031,18355,73844,108109,1693,18035,13359,17441,8895,11107,1
1001761,529176,91696,81346,63521,30903,12162,12016,1982913,991449,131032,121068,110308,50807,13487,15626,20609,66903,52360,41625,16735,11000,10838,8406,1
14340,84584,11499,14856,14290,9457,10704,5216,17256,164264,14706,25991,16947,10353,12792,7195,11425,4905,8292,3721,11634,8562,8617,3237,1
534079,76163,9550,32007,14196,28945,28776,26222,764173,96125,17052,61493,20303,50196,45802,45102,303986,56201,2049,2521,8090,7695,11750,7342,0
773106,134086,66060,9410,21618,18785,6465,4747,1521379,212592,127090,15129,39032,31581,11720,8382,24834,55581,5030,3691,4205,5990,1211,1113,1
254228,53792,24629,7649,4594,7467,8780,6139,422836,73571,34387,11761,5241,8856,12365,8673,85621,34013,14871,3538,3947,6078,5196,3605,1
768743,247806,66563,29699,29668,21924,27528,17816,1214545,347429,74859,34790,41832,36581,27807,21828,322942,148183,58268,24608,17505,7268,27250,13804,0
