delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
367314,-30152,-10884,-23327,2077,-22626,-16839,-7553,-367314,30152,10885,23328,-2077,22627,16840,7554,-385162,-17024,12216,-26427,3824,-7902,2746,1592,-224750,-10445,1308,-25241,-4803,-14501,-15157,-9291,205717,19993,9573,-18639,8327,-8697,-17796,-5121,-369758,14855,14231,-27432,-4843,-19023,-18753,-10603,-388979,-12671,-8481,-19095,-4042,-21442,-14495,-9620,1
-25715,1594,6843,11550,2930,3480,3991,3780,25715,-1593,-6843,-11550,-2929,-3479,-3990,-3779,-34477,-1504,3427,-10307,1208,14009,7627,446,-25229,-2916,-5400,-6891,564,6769,2813,-790,443170,61787,83315,378,13100,21886,28858,13045,426470,12312,-5934,-13392,442,204,-2775,-1221,-37024,-7269,-8135,-13502,-155,-3771,-3429,-2283,1
-29413,-16929,-2346,406,5063,3421,1569,4253,29414,16930,2346,-406,-5063,-3420,-1568,-4252,-19078,-24238,7269,-2028,4482,3738,2328,52,-20832,-16845,-3519,-1857,-1267,823,4923,-1738,18895,-4328,276,-195,-1864,-4004,-2346,-4028,-32326,-29572,-1351,652,2993,1094,3512,-1672,-7938,-8965,12777,1461,-4305,-3777,-1622,-3818,0
51351,-14844,-4938,-5169,-15986,-2262,-2646,-1431,-51351,14845,4939,5169,15987,2262,2647,1431,-38074,-18592,-855,-11047,-15718,-1217,-1843,-3270,-31392,-21507,-4589,-9043,-15975,-2416,-1709,-3460,-27903,-4637,4505,-11623,-17316,-2037,-1993,-3810,-57578,-34072,-2415,-10026,-16698,3716,-544,-1949,-18418,-7865,-1355,-9496,-15321,-648,-3117,-4316,1
42620,8520,6061,4193,14014,5149,3691,4412,-42620,-8520,-6060,-4193,-14014,-5149,-3690,-4411,-92606,-7058,-4900,-3874,-18745,-4267,-2716,-3189,-76427,-5541,-6996,-5383,-12258,-4972,-1578,-3672,-87189,-4979,3398,-131,-10652,11232,2052,3148,-83410,13619,272,21814,-14938,11304,7253,12218,-88351,6843,-6216,7946,-11754,6838,5202,1281,0
58265,6078,-81,-12306,-2792,-4795,-8991,-9868,-58264,-6078,82,12307,2792,4795,8991,9869,-59835,-3188,-611,-6623,3468,434,8256,-7632,-59427,-6004,-492,2363,10217,1952,961,-8099,-62855,-15976,5323,-6272,2843,-1222,-1727,-5117,-54795,-14402,1298,-5729,7706,5880,-8300,-5122,66448,-14661,275,-11288,-1370,-5970,-9366,-9029,0
242590,10464,-1859,12113,2100,2550,-1409,355,-242589,-10463,1860,-12112,-2099,-2550,1409,-354,-232579,-12094,-3651,-24467,-416,-9456,-4404,-3138,-159471,-3217,-3114,-25578,-1957,-11467,-11949,-5662,-236064,-17624,3119,-20120,1606,-7895,-9711,-3114,-238862,-22814,-2704,-15643,-1109,-5301,-7544,-4172,-240489,-7363,-2373,-23347,2551,-5681,-8008,-217,0
63822,37684,20071,-4242,-682,-4939,2016,806,-63822,-37683,-20070,4242,682,4939,-2016,-805,-103128,-75696,2798,-28912,18299,910,-3122,2202,-87173,-80874,-23572,-48397,-12412,-13690,-16230,-8947,-7941,-59361,-17150,-44278,-4997,-10153,-15371,-8055,-173459,-87190,-16878,-45180,-10245,-8571,-7843,-4636,397626,-57459,-21634,-40344,-4979,3699,-11173,-4000,0
-18871,-16779,-82,-2069,-1945,-2690,-1514,-1361,18872,16779,82,2069,1945,2690,1515,1361,39804,-16648,13485,1291,-537,-2984,-2387,-2119,-35182,-13911,-621,-1180,-3801,-2266,-3024,-624,136398,-22440,963,-1738,-4389,-3594,-2925,-1588,-24326,-16910,11943,2282,4385,3962,2251,4150,-484,-23590,-2362,-2705,-4005,-3621,-3340,-1874,0
-25582,-4610,658,9812,11746,2610,4786,1940,25583,4610,-657,-9811,-11746,-2609,-4785,-1939,5544,32743,21651,14417,9674,3373,3382,1824,26931,34732,323,-9516,-8233,-1949,-5147,-872,81920,11661,30303,1104,9933,7907,-149,6398,14333,12221,2015,-9484,-11087,-2587,-6177,-2306,1294,-1841,-2908,-8797,-10294,5128,-3842,-902,0
