delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
643519,603665,16128,42448,18548,55579,102899,35329,-643518,-603665,-16128,-42448,-18547,-55579,-102899,-35328,-347866,-575896,31513,-16814,-10250,-44049,-83343,-17766,-291570,337275,72511,-12412,25649,40982,74877,33719,77238,-139989,1499,43966,10456,-14892,4992,-20575,-239064,-552012,1810,-26925,-8959,-40538,-92115,-24299,-608205,-589650,-7575,-39373,-19715,-57339,-101407,-32602,1265940,-466349,47765,-20511,-11905,-33027,-85174,-29455,0
-393544,-16277,-4352,-1852,-1628,-2473,-2666,-4206,393544,16278,4352,1852,1628,2473,2667,4207,-472473,-10503,-15136,4156,7986,2245,4811,-1729,17146,70358,5148,3894,7620,11829,21039,-1577,-393540,-18602,-21186,-3334,-1486,-9787,-3397,-8868,-374061,-3534,-16361,4327,-97,2948,5223,-3815,923364,26212,11057,58494,4110,28303,36561,34,-339779,22815,-14636,-43,-1812,-1953,-775,-4063,0
-51760,130683,76668,17667,21006,26709,23428,16701,51760,-130683,-76667,-17667,-21005,-26709,-23428,-16701,1805000,1468288,-83616,1874,22003,21978,14361,49859,-58349,-100103,-91412,-39382,-22540,-48311,-28223,-19344,492301,-42560,-69326,13409,4937,75967,91550,19360,2790459,-21712,184237,107060,25712,26520,93256,82321,3822,-105342,-92561,-33174,-608,-28796,-10727,-877,841336,33504,-15096,-30333,-16940,-6099,-17493,-12601,0
537090,4289,25773,1171,3685,6566,7754,2000,-537090,-4289,-25773,-1171,-3685,-6566,-7754,-2000,-217682,168416,17408,25934,11122,12563,-3678,1220,-389292,-5227,-12244,34170,23231,37169,47259,15438,-403677,63845,-15815,35501,29366,47361,8162,9400,-713140,-18029,-21901,9152,37583,6034,10905,16518,-700305,-9387,-18468,8895,9600,33380,12335,21548,2293834,32121,25231,59716,40125,62182,26317,23597,0
-51720,27648,-7740,1597,1196,653,-410,972,51721,-27648,7741,-1596,-1196,-653,410,-971,857075,1650798,18951,7040,20388,82218,25978,33346,-123113,-32719,2652,4548,9752,9150,1764,2458,1881566,55497,27811,21512,25396,39964,42662,19669,-244507,-16561,-10088,16021,5135,33406,24950,6926,865890,838672,60026,21715,33053,15913,45851,17303,909462,-37699,-5336,2163,-2384,1292,2616,435,1
601149,89071,68856,14127,18675,32824,23312,9161,-601149,-89070,-68856,-14127,-18674,-32824,-23311,-9160,994150,15140,-11825,-3228,-4560,80958,-1670,-2471,-692678,-120503,-65988,-10484,-11986,-4229,-17664,-545,-246561,-11960,-65484,-2505,2677,37558,27828,-3084,-525552,-66466,-61359,-13325,-16282,-18016,-24069,-11474,-665540,-123159,-68342,-17354,-20962,-34833,-30550,-17192,144098,-5170,-55485,12863,-10943,5505,19273,12807,1
11855,-11858,16,-4681,-8411,-15771,-7201,-11486,-11854,11858,-15,4682,8411,15771,7202,11487,717586,390417,3513,2709,10663,92904,9767,574,538945,499198,110571,14047,29795,59098,31106,13185,-15540,-23627,-3655,-3450,-4328,-4874,-4590,-5449,140859,60876,10251,15299,-7066,-9918,-2325,-5461,1335800,267805,43849,8419,20891,48011,36395,57530,1654182,98926,41978,8622,17657,29124,29827,11223,0
235498,-2043,-2545,2189,-1378,-2289,1712,1664,-235498,2043,2546,-2188,1378,2289,-1711,-1663,2382586,161961,43026,33455,682,28881,24702,30292,-605532,-45791,-3888,-7168,-2977,-24593,-10635,-3981,-575768,-29461,-3746,-5615,1872,-17019,-8822,-1368,-518585,-29787,27422,43387,13561,-282,18744,5266,-617240,-39907,2434,5211,27122,6526,28502,14127,-576918,-46241,3009,-1535,-4699,-21142,-10125,-3995,1
192201,31934,14303,18146,7833,12018,15714,1938,-192201,-31933,-14302,-18145,-7832,-12018,-15713,-1938,1687525,633933,27784,-1189,15786,55642,81315,28856,-400258,-50919,-17115,-19200,-6734,-11052,-18570,-1367,-381589,105631,54672,39449,19296,39172,6533,11440,399228,226191,48733,3691,13215,60392,10166,6713,1050721,98346,44336,14089,33558,27540,17476,8755,-521880,-64035,-6114,-12161,43700,15324,31576,21775,0
2050,39359,7877,11327,5640,18462,13756,2545,-2050,-39359,-7876,-11326,-5640,-18461,-13756,-2545,464072,-17382,-26730,-11398,-6822,-34627,-23187,-9810,233201,-29984,-29668,-4577,-2501,15798,-9682,-901,250300,-3864,-8121,17068,1294,-9044,-3235,-7113,-198846,-45265,-23332,1012,-1808,-22485,-15490,-82,286928,61373,-19206,-12151,-3765,-33444,-25117,-6835,308702,23343,47827,14178,12757,7093,5421,-6508,0
