delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
-224750,-10445,1308,-25241,-4803,-14501,-15157,-9291,205717,19993,9573,-18639,8327,-8697,-17796,-5121,1
-25229,-2916,-5400,-6891,564,6769,2813,-790,443170,61787,83315,378,13100,21886,28858,13045,1
-20832,-16845,-3519,-1857,-1267,823,4923,-1738,18895,-4328,276,-195,-1864,-4004,-2346,-4028,0
-31392,-21507,-4589,-9043,-15975,-2416,-1709,-3460,-27903,-4637,4505,-11623,-17316,-2037,-1993,-3810,1
-76427,-5541,-6996,-5383,-12258,-4972,-1578,-3672,-87189,-4979,3398,-131,-10652,11232,2052,3148,0
-59427,-6004,-492,2363,10217,1952,961,-8099,-62855,-15976,5323,-6272,2843,-1222,-1727,-5117,0
-159471,-3217,-3114,-25578,-1957,-11467,-11949,-5662,-236064,-17624,3119,-20120,1606,-7895,-9711,-3114,0
-87173,-80874,-23572,-48397,-12412,-13690,-16230,-8947,-7941,-59361,-17150,-44278,-4997,-10153,-15371,-8055,0
-35182,-13911,-621,-1180,-3801,-2266,-3024,-624,136398,-22440,963,-1738,-4389,-3594,-2925,-1588,0
26931,34732,323,-9516,-8233,-1949,-5147,-872,81920,11661,30303,1104,9933,7907,-149,6398,0
-20340,3456,5534,-79,-689,-1138,261,763,-13748,2876,-1206,-2030,559,437,26,893,0
-300247,-272869,-39557,-43328,-13275,-47962,-51076,-7243,-183224,-253862,-5756,-15217,-8158,-40821,-41349,-4597,0
-3702,2866,1825,-10930,-3964,-4549,-550,-2926,-12059,14502,-5216,-9045,-3011,-3725,-472,-2971,0
-15521,-6211,-6391,-1183,1988,-1766,-1406,2039,15637,18024,1016,-1654,2649,197,-2583,1440,1
-153186,-8092,3622,-1378,356,-1259,-432,43,-162540,-4415,-6786,-2256,-1359,746,-518,-367,0
75564,9359,-2419,-6655,-9321,-9682,-3176,-6817,5967,3195,3864,-5479,-8369,-9791,-2770,-7710,0
500818,28548,1874,16962,11257,10113,4754,5168,-16434,-24845,-2368,9162,14570,3843,7600,5759,1
-37254,3026,11448,-678,-436,-1153,-273,-444,13763,-11641,-5289,-2701,-1215,-1699,-503,-277,0
-191215,-12465,-11208,-8846,-9517,-3810,1016,-772,319032,100864,62702,-9504,-592,7350,9476,4669,0
-230293,-21730,1635,4889,-5603,1681,1904,3126,-172079,-17620,6088,9027,-11966,-9229,-8048,-3749,1
-103284,18323,-143,7161,22612,15608,7108,-442,-217890,4849,-8109,1945,-8959,-1102,-2529,-3344,0
33950,9074,-1784,-5289,1727,-4376,-2562,-1090,118282,75728,3478,-1012,3555,-3154,-1986,-448,1
73603,18153,415,-6673,-2836,-1788,-1940,-2744,19917,21454,2402,-8833,-3888,-3373,-3069,-3564,1
-17726,-31446,-4608,-10037,-6099,-8525,-11589,-4896,66201,-19670,748,-9868,-5332,-6102,-11050,-3928,1
13403,28925,4,-6292,-7534,-19369,-7971,-4412,44801,6102,17270,7165,1482,-16870,-7064,1746,1
-181669,23945,6708,-12533,-6863,-7617,-5068,-3625,-141475,47080,14666,-11473,464,-2364,-4317,-3010,1
72433,75526,23309,21697,8874,2073,-3401,-5955,24867,26071,22111,-9884,-3876,-8989,-4932,-9531,0
-37796,-63877,-11347,-14883,-11257,-8374,-1023,-3821,-21537,-52375,-8007,-11413,-9186,-6182,-1177,-3132,1
193061,17340,2928,21512,14318,8205,14515,6237,-47693,22123,3054,9752,26329,11741,2080,-5256,1
32429,-11156,-1524,-4962,2777,-1909,602,-1362,-64336,-11595,713,-1769,7649,1916,5915,131,1
183266,21878,-10914,996,3644,2494,1402,716,-85452,-4553,-13433,3555,2386,2411,5889,5075,0
232175,-67577,-8376,-1390,906,-507,-5686,-2094,-76282,-61643,-2107,3604,-4171,2829,-5665,-1380,1
762226,135839,15146,14912,1406,3849,2241,2592,477607,92226,8116,29440,146,10089,5611,1742,0
7313,-906,-2538,-1790,165,3247,23,-954,-40950,12543,4390,-227,-1889,430,1980,-1057,0
-74097,-46729,-3716,-565,1900,-23,1050,1331,932766,77271,21686,4498,6730,9500,8999,7619,0
-253296,-32046,-20636,-19805,15066,-14493,15046,6447,-245424,-95189,-16723,-24618,-10360,-23173,-14658,-4253,1
2772958,377681,113634,14408,5809,17707,7414,5072,40253,-20500,6050,4364,46,-1023,-1283,-1559,0
2054,-6279,4644,-918,-297,-290,-116,400,-11634,-17013,2363,1435,532,259,335,804,0
611372,102193,19372,25812,39735,27202,27014,16026,-16892,19891,1124,-925,604,-434,586,-369,0
-1450852,11991,-30687,50047,84369,-60100,-107701,-31478,-1695466,-59934,-15445,-5621,-6575,-56658,-96171,-30041,1
211224,-11678,-9664,-11576,-3830,-8698,-13168,-1963,400328,156351,2316,-2181,-82,-3906,-7007,210,1
-314215,-17782,-4364,-2087,-1542,-518,8668,13,-236694,-13777,-4063,1623,-193,-231,-415,266,0
-318442,-160389,1605,-8196,-7190,-8539,-11114,-1097,-288985,-142743,6493,-13837,-10916,-12807,-15724,-8211,1
-763679,-128250,-46264,-7212,-27355,-10277,-4427,-14104,-924707,-116552,-33819,-11882,-27489,-7371,-5309,-12099,0
14942,-19968,-1888,-15376,-3760,-3019,-3242,2615,78748,61086,7711,-12971,1312,-1359,-1774,-1875,0
-22753,4053,5088,123,468,357,-1278,-770,318215,-1579,4958,928,849,1615,753,764,1
162537,30193,6094,-1166,-601,-2247,-2020,-850,220464,92968,17106,15710,7426,15303,3862,4429,0
-22684,-9814,-4589,-1970,-2476,-7786,-1242,-1553,1202031,137765,18656,21936,2258,8285,5026,342,1
-81032,-3441,-2906,-2987,5938,8799,6434,6228,-82529,-39848,-3071,-1235,4840,8237,3775,970,0
-597625,-51396,-19875,-31933,-17008,-11632,-1916,-2807,-411189,-14307,-14522,25809,-6913,9616,13903,6609,0
-267637,-85283,-21903,-28119,-24300,-13481,-5559,-6981,627054,157108,-15915,-18571,-12485,4875,970,-1506,1
172972,91091,-4484,6451,14350,20352,4791,6557,-5234,-76427,-9083,-4520,-6059,-2334,-6168,-4056,0
136530,84240,3617,4700,1453,698,943,165,20312,212394,69278,12834,4150,6756,5778,3626,0
-1153763,-204868,-40019,-8218,-2942,-11544,-10510,-6739,-953567,-181896,-36866,-13393,-3799,-13103,-10495,-6987,1
-632262,-141891,-24388,-15274,-6192,-18733,-8133,-12331,-332319,-40553,-10745,-8404,-4951,-15078,-7914,-13315,0
-101234,19349,-24384,-11677,21184,-26676,-18594,-13970,-1051701,-101836,-28247,-23475,-18099,-41432,-25522,-16064,0
291905,151566,13813,5429,20888,-1653,-1380,1166,-13795,4792,7203,-10288,-4338,-6540,-3294,-1654,0
-248890,-155366,-61321,31903,-46142,-24054,-17141,-7641,-300532,-162649,-71942,-18078,-46292,-34791,-36929,-15812,1
-20142,375558,273075,337399,168867,97641,86876,21642,-263021,-121970,-11749,-5081,-4953,-7846,-6054,-4139,1
25373,48377,-8113,-6192,-1660,-1919,1135,-1127,93189,31297,-8851,-5255,-4871,-143,358,-2692,1
322869,-27343,-6064,17217,-717,-921,2823,-1080,180168,-33731,-7704,-1286,-1497,8259,1287,1491,1
696434,-12636,80062,20686,13339,2858,1419,2298,1255463,7672,-5400,-15556,-6768,1251,-2630,-3994,0
660513,-49644,-13021,-40341,-14828,12831,-8843,-1445,-629081,-130680,-29828,-9299,-28111,-5786,-14068,-6685,0
113029,-37570,-14658,-13770,-12329,-17491,-14018,-9795,-184730,-20383,-14987,-10746,-6987,-6743,-11856,-8513,0
-573433,-9089,-7850,-12139,-12238,-5410,-11566,-1087,-492810,-6781,-9975,-3374,-6268,2700,-6669,-602,1
1662977,390160,15642,-289,16722,2047,-3143,4683,-30439,-37206,-5111,-3892,-2228,-3787,-4407,-1849,0
-247732,-203723,-6136,-661,-1010,-6637,-2081,-1730,-213455,-173071,-1859,-149,10084,-2934,481,-1188,1
511544,49492,3547,61,7349,12486,4141,4407,-207437,-8159,2131,1722,1108,3218,6178,4154,1
-90173,-8296,5774,2734,6882,9807,4172,2169,413600,2227,29427,22292,3932,8686,5973,7128,0
-545697,230787,121386,53323,-38836,39460,12016,9721,775424,-79241,35064,-56784,-50818,6443,-10021,951,1
-158927,-150216,-70530,-76404,-7704,-579,-1163,-1840,55141,-95653,-64251,-52582,-6043,5080,12966,-1871,0
-1046027,-571059,-65072,-38171,-35916,-74071,-45000,-33274,-970364,-551600,-37448,-27481,-48006,-81375,-46694,-39476,0
260791,332552,46802,46793,56988,11858,21871,13563,259354,22472,35149,46909,19427,4147,3609,7007,0
-94309,44523,22698,55300,3551,3412,4870,336,-94701,-20285,-4196,-3510,-2409,-1219,-100,-1262,0
-475485,-92248,-4725,-17881,-3749,-3029,-5635,-1854,-438656,-102724,-12836,-18398,-5193,-3420,-6227,-2396,1
-81916,-17624,7305,-11580,981,-1544,-634,-738,10989,18652,68563,-4591,33542,6506,2328,782,0
37134,15205,-1959,-924,-890,1556,121,169,-29415,-30700,-4783,-1321,-1393,188,-489,-45,1
37438,16097,-1118,-5839,-5033,-6500,-782,-1586,4760,-8904,9344,11051,353,-6455,-3273,-1036,0
1831803,356624,205164,210446,61460,64801,12595,49601,-257081,116321,2984,74526,4821,8902,9732,4974,0
39748,3296,-7651,-3529,-4450,-3548,-6443,-1750,37729,19421,3004,7404,3361,6553,-7030,-2828,0
-155634,-16294,8873,-2596,-2604,-1302,320,1010,-174327,189693,4201,10583,25300,4492,4802,1709,1
-421100,-139218,-11776,-15143,-2400,-6656,-11635,-4987,-564795,-153000,-2078,-10170,5975,53460,50313,49688,1
-428095,-19434,-1369,-4295,-9086,-266,-388,-2587,-416107,36452,-810,-1978,-1635,1885,-3176,-2064,0
-179212,14153,-5845,3797,-3055,-159,-1238,318,-55233,-1072,-7287,-1070,-6240,-2876,-2024,-382,0
262974,59274,-321,20931,16218,6684,15526,13585,18025,-26715,-10647,-3219,-3780,16,-316,-460,0
137593,-8207,-8961,-2469,-18253,-15376,-3463,-6064,1355239,162762,147032,51140,-7629,16716,67908,5236,0
-758651,-58985,7655,-17600,-40642,-30933,-18606,-34284,113901,166200,83784,3451,23061,15028,4018,2210,0
98223,59483,32599,-2958,2988,14447,13653,1529,454711,123455,-103,-5679,3421,384,2225,-3064,0
-5304,7183,-13983,-1175,4663,-8494,-1928,-2835,207714,74054,-13632,5252,-723,-15012,-6829,-4192,1
-113434,-30324,15871,7975,-2168,-3527,-839,-1412,-143853,-71180,-3161,-249,-4089,-3618,-1370,-1691,1
-73990,22305,6064,-3345,-1045,-10058,-5689,-1555,100916,121298,-5133,6406,545,8500,-1216,3022,0
-239915,66645,9376,9285,15957,9670,12390,10843,-120204,88358,13889,5033,814,397,2007,1432,1
-17033,-41175,-12016,-6131,-3646,-5969,-4207,6929,-716993,-22390,-24696,-5281,-6826,-11001,-5559,-3564,1
327341,133290,-1499,2807,1304,2174,-249,-643,-421167,-44225,-3645,3230,-3825,-2981,-1543,-422,1
291508,81744,79447,39935,27120,25043,25267,5922,-26531,28184,-965,14037,1032,5570,2244,1792,0
74265,29355,2499,5452,5431,8715,9913,4257,1655487,1248862,57497,90519,113613,173791,103877,46238,1
1976879,371176,25954,10922,6950,5448,9317,-775,63504,-64286,-2197,5445,-9279,-2404,-1680,-5215,0
1075098,8875,1598,9531,-451,-2392,3869,3882,1640794,367143,136947,113713,70658,30187,48808,20848,0
1661660,101355,52092,-46188,-28392,-6617,-5723,-711,1690194,186572,17559,-5080,2328,-10357,-1465,-3289,0
