delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
104735,415,-461,-2711,479,-478,-209,-438,-157238,-1662,-2423,-2185,-594,-443,-511,-983,383889,38735,30,1071,-177,1389,88,-480,-181366,6257,7941,5542,723,1608,1191,1285,-59298,8263,-946,-1194,223,662,-184,-745,-110476,163946,36355,7179,9673,9761,2453,1718,0
-3739,2063,9401,5035,-2504,-67,-310,-137,-1834,-7933,-9805,-11972,-1294,7655,182,-1039,-5816,-1864,-6382,8142,-8038,-3540,1208,-1615,9597,-2410,1279,10314,-6418,-2553,323,-662,2816,-5981,4187,-10934,-5415,1877,784,-836,5092,-7561,-7712,-12022,-3955,-65,2346,-254,0
-1768,1310,-11012,-15182,-466,4386,-104,-335,7103,8265,-18864,24944,-3129,-3477,-327,-1684,7103,8265,-18864,24944,-3129,-3477,-327,-1684,-2805,6696,28856,81195,-2218,3497,-457,-1287,-6120,-3225,-17391,-19655,7817,-718,3850,-1394,12506,2317,-18224,-6697,-979,2783,346,-2585,0
4477,581,6382,15311,-465,466,78,-349,-2442,2509,-482,-16535,451,497,-439,-980,2978,547,-9102,1553,-1393,-2083,-520,-1180,909,6519,1963,13558,-1448,5324,772,-1795,14716,45159,5471,6254,-4321,9696,1203,-1758,8673,4873,3653,16143,-541,534,253,601,1
-135919,-62632,-63591,1955,73,-635,-3,-1007,-138098,-55572,-56482,-2998,3191,258,-187,-1897,-138184,-50294,-52652,28036,-796,-1883,-639,-2042,-141892,-56200,-48172,6343,137,3916,-1036,50,-135539,-47663,-61693,41965,2797,2264,-681,-87,-118093,-54758,-53855,24228,42,811,-318,-989,1
-800076,-57921,-5737,-1786,-6826,-5377,-3073,-1574,-901495,-62827,-328,936,-5134,-1228,-191,600,-912978,-71042,-7436,58353,-6092,-1717,-1456,1124,-906731,-67918,4266,52174,-5029,-1679,255,-176,-908692,-67490,5086,44194,-3189,3640,-1290,-158,-825568,-53563,6387,16517,-5274,3012,-1678,1361,0
300230,53636,5872,2639,3988,6197,3807,895,116266,-60112,-14134,10698,-3300,-6057,-4102,-373,-322142,-61079,-5385,46960,-3163,353,-2333,665,-324426,-63725,15827,74600,-3396,-1345,-1959,1001,-324158,-63309,-2920,40097,-1233,685,-733,533,-310379,-54904,-6445,33751,-355,-1586,-2247,1312,1
-828059,-138021,-52732,-22504,-3354,-14967,-4213,-11082,-664538,-72990,-49218,-21775,1569,-3268,-3138,-8218,-893610,-105955,-54917,-18299,-3049,-13670,-4259,-10915,-702975,-133575,-51069,-22011,-843,-14013,-4556,-11477,-943801,-133559,-53095,-21374,-3648,-14373,-4692,-11362,-903101,-116898,-48663,-21259,-3405,-14067,-4403,-11494,1
172144,18781,3673,85,-2609,-297,160,50,-335143,10015,-1553,18799,622,2986,2914,1789,-537103,-45895,4514,42811,-1144,216,2399,931,-533466,-47477,2385,56913,704,874,-235,631,-538406,-36005,-4912,20056,-668,-776,510,1462,-490435,-41692,-6218,45741,509,4328,877,1952,0
-12575,-14552,2191,4166,6205,99,299,449,461417,40811,21748,84207,10267,25849,5036,7821,-115867,-31219,-6428,-379,-4265,-1710,-1387,-1497,-127980,-34960,5395,15861,2950,490,1235,2378,-107290,-32881,-7788,32603,-4872,-625,4534,2932,-61200,-25978,541,26467,-5244,2740,2478,2336,1
-3231,-6909,-1989,100,-1,677,69,17,-31326,-64074,-9805,-1226,-1245,-1068,-38,-254,878665,362710,25831,13269,7616,3297,4837,4178,-49385,-66973,7861,48507,10207,7958,4020,2288,-43342,-62588,-9569,67199,16593,9577,2985,3800,-7628,-53692,-7190,40314,3944,12516,4451,1390,0
-167953,-26068,2647,20324,-1906,-965,-1026,802,-167521,-22598,9824,16244,175,-2061,-1284,-4092,-165189,-20405,40942,42494,-2393,-2296,-1247,-5446,-161410,-22919,-2207,3870,3364,-4731,3135,-4780,-166396,-16818,2715,9268,4217,-3265,1172,-5694,-138392,-9598,968,38884,-1073,-4795,385,-6361,1
4645,2860,5713,15280,2782,-7934,-515,-1073,-9149,-4249,-17053,-1331,-1217,-6215,-208,-537,-10580,-4062,-5388,32741,1491,5434,-1421,1060,-10953,-3371,-8577,5561,-5051,-3540,-1992,-767,97429,18347,-17344,-15585,14662,-4335,-2019,2157,90669,49263,-15491,-29921,-6506,-9060,-2960,-1167,0
-68711,-17402,2547,8689,5517,1255,732,1239,-70514,-15060,-1356,49064,2887,7766,743,3291,-73188,-341,96562,29749,-2036,953,1061,968,-73601,-10511,-841,26753,-1181,2372,1554,1301,-70227,-15600,-3763,-2959,-823,8943,2586,2277,-17952,30629,2948,7389,-920,3939,1710,2868,0
