name,first,second,third,forth,fifth,sixth,seventh,eighth
ave_d_delta,685086.192308,489457.0,584828.423077,623084.423077,281885.538462,524909.884615,546684.769231,560339.769231
ave_d_theta,110676.884615,107960.384615,98889.8076923,141127.576923,79041.8076923,130518.153846,76507.6153846,103266.384615
ave_d_lowalpha,37473.5384615,23056.9615385,48231.3846154,29330.8461538,11685.2307692,29414.7692308,26825.7692308,31908.6923077
ave_d_highalpha,32189.0,23486.6538462,26587.3461538,11399.8846154,8995.69230769,11182.2307692,8348.61538462,18041.8076923
ave_d_lowbeta,18485.3846154,12380.8461538,21099.0769231,9114.57692308,6008.23076923,14251.3461538,10826.5,15992.5
ave_d_highbeta,16426.8846154,14284.3846154,18463.0769231,9256.57692308,7910.42307692,9404.88461538,9835.5,13199.8076923
ave_d_lowgamma,10248.1538462,10884.9615385,14358.3846154,7577.15384615,6038.65384615,4906.07692308,5771.11538462,7535.57692308
ave_d_midgamma,7924.07692308,6198.96153846,7141.69230769,4456.34615385,4253.30769231,3339.61538462,4718.65384615,5897.07692308
ave_e_delta,740264.72973,839210.27027,560578.891892,639113.256757,429096.621622,581913.081081,465036.540541,400075.513514
ave_e_theta,164508.864865,158505.662162,128475.878378,164570.905405,91997.5810811,138264.094595,78523.1216216,121130.283784
ave_e_lowalpha,30304.3918919,33790.1216216,23706.9189189,32361.7027027,19132.7702703,30065.6891892,21452.4594595,23680.7027027
ave_e_highalpha,20604.6081081,20512.9324324,17957.7972973,15956.6081081,13287.1486486,13514.1891892,12806.3648649,18001.1891892
ave_e_lowbeta,13636.4189189,15029.9864865,11850.6891892,11531.0135135,9385.02702703,11770.2702703,9868.97297297,12229.3648649
ave_e_highbeta,12947.2567568,14689.972973,11797.2432432,12428.6081081,13538.7027027,13882.6216216,9817.45945946,10758.6216216
ave_e_lowgamma,10175.7162162,9824.43243243,7359.7972973,9437.01351351,5807.62162162,6991.71621622,5515.45945946,6159.78378378
ave_e_midgamma,6299.44594595,7992.94594595,5884.41891892,6854.22972973,5570.24324324,5661.63513514,3987.86486486,5356.35135135
