subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.75,0.143,0.615,0.19,0.556,0.238
subject:02,0.714,0.6,0.667,0.6,0.75,0.48
subject:03,0.588,0.385,0.625,0.385,0.714,0.192
subject:04,0.571,0.4,0.552,0.32,0.615,0.32
subject:05,0.556,0.204,0.562,0.184,0.667,0.082
subject:06,0.5,0.271,0.5,0.312,0.348,0.167
subject:07,0.6,0.49,0.676,0.469,0.464,0.265
subject:08,0.735,0.595,0.69,0.476,0.71,0.524
subject:09,0.529,0.36,0.5,0.4,0.542,0.26
subject:10,0.714,0.484,0.615,0.258,0.571,0.258
subject:11,0.649,0.558,0.667,0.558,0.5,0.302
subject:12,0.567,0.34,0.471,0.16,0.476,0.4
subject:13,0.438,0.159,0.615,0.182,0.571,0.364
subject:14,0.545,0.214,0.688,0.393,0.611,0.393
subject:15,0.667,0.303,0.842,0.485,0.72,0.545
subject:16,0.571,0.364,0.611,0.333,0.588,0.303
subject:17,0.6,0.545,0.533,0.364,0.545,0.273
subject:18,0.529,0.243,0.389,0.189,0.5,0.297
subject:19,0.682,0.395,0.733,0.579,0.522,0.316
subject:20,0.667,0.314,0.706,0.235,0.591,0.255
subject:21,0.625,0.488,0.583,0.512,0.559,0.463
subject:22,0.684,0.265,0.682,0.306,0.581,0.367
subject:23,0.55,0.234,0.562,0.191,0.536,0.319
subject:24,0.545,0.218,0.556,0.182,0.583,0.127
subject:25,0.476,0.227,0.429,0.205,0.625,0.227
subject:26,0.515,0.321,0.562,0.34,0.6,0.17
subject:27,0.556,0.319,0.4,0.213,0.56,0.298
subject:28,0.533,0.195,0.645,0.488,0.656,0.512
subject:29,0.65,0.419,0.643,0.581,0.625,0.484
subject:30,0.629,0.71,0.647,0.355,0.5,0.387
subject:31,0.562,0.18,0.65,0.26,0.703,0.52
subject:32,0.417,0.152,0.417,0.152,0.533,0.242
subject:33,0.5,0.206,0.444,0.235,0.429,0.265
,0.58830303,0.342454545,0.590212121,0.336121212,0.57730303,0.321666667
