subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.6,0.143,0.583,0.167,0.526,0.238
subject:02,0.7,0.56,0.7,0.7,0.676,0.5
subject:03,0.667,0.154,0.583,0.269,0.786,0.423
subject:04,0.606,0.4,0.562,0.36,0.567,0.34
subject:05,0.565,0.265,0.526,0.204,0.652,0.306
subject:06,0.684,0.271,0.524,0.229,0.414,0.25
subject:07,0.684,0.531,0.606,0.408,0.417,0.204
subject:08,0.774,0.571,0.64,0.381,0.778,0.333
subject:09,0.517,0.3,0.538,0.42,0.564,0.44
subject:10,0.692,0.581,0.692,0.29,0.667,0.194
subject:11,0.656,0.488,0.639,0.535,0.533,0.372
subject:12,0.474,0.18,0.52,0.26,0.4,0.24
subject:13,0.667,0.227,0.667,0.318,0.667,0.227
subject:14,0.562,0.321,0.727,0.286,0.667,0.286
subject:15,0.588,0.303,0.909,0.303,0.778,0.424
subject:16,0.739,0.515,0.632,0.364,0.6,0.364
subject:17,0.667,0.364,0.667,0.455,0.455,0.227
subject:18,0.5,0.297,0.458,0.297,0.5,0.297
subject:19,0.462,0.316,0.607,0.447,0.471,0.211
subject:20,0.667,0.235,0.63,0.333,0.533,0.314
subject:21,0.667,0.293,0.636,0.512,0.633,0.463
subject:22,0.704,0.388,0.649,0.49,0.621,0.367
subject:23,0.5,0.234,0.5,0.383,0.441,0.319
subject:24,0.571,0.364,0.556,0.273,0.538,0.255
subject:25,0.522,0.273,0.435,0.227,0.476,0.227
subject:26,0.552,0.302,0.607,0.321,0.594,0.358
subject:27,0.577,0.319,0.5,0.213,0.516,0.34
subject:28,0.467,0.341,0.636,0.341,0.727,0.39
subject:29,0.632,0.387,0.571,0.387,0.571,0.387
subject:30,0.583,0.677,0.654,0.548,0.545,0.194
subject:31,0.643,0.18,0.581,0.36,0.62,0.62
subject:32,0.45,0.257,0.435,0.286,0.5,0.143
,0.60434375,0.34490625,0.5990625,0.35521875,0.57603125,0.32040625
