subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.545,0.286,0.556,0.238,0.667,0.381
subject:02,0.667,0.48,0.696,0.64,0.73,0.54
subject:03,0.438,0.269,0.4,0.231,0.647,0.423
subject:04,0.562,0.36,0.5,0.26,0.389,0.14
subject:05,0.636,0.286,0.615,0.163,0.682,0.306
subject:06,0.667,0.167,0.5,0.208,0.375,0.188
subject:07,0.667,0.571,0.611,0.449,0.515,0.347
subject:08,0.71,0.524,0.708,0.405,0.692,0.214
subject:09,0.594,0.38,0.587,0.54,0.548,0.46
subject:10,0.731,0.613,0.72,0.581,0.667,0.516
subject:11,0.657,0.535,0.692,0.628,0.613,0.442
subject:12,0.522,0.24,0.5,0.2,0.455,0.1
subject:13,1,0.091,0.579,0.25,0.526,0.227
subject:14,0.7,0.25,0.818,0.321,0.706,0.429
subject:15,0.6,0.273,0.7,0.424,0.762,0.485
subject:16,0.826,0.576,0.739,0.515,0.591,0.394
subject:17,0.647,0.5,0.588,0.455,0.583,0.318
subject:18,0.611,0.595,0.375,0.243,0.316,0.162
subject:19,0.524,0.289,0.542,0.342,0.455,0.263
subject:20,0.7,0.275,0.577,0.294,0.655,0.373
subject:21,0.658,0.61,0.607,0.415,0.703,0.634
subject:22,0.609,0.286,0.636,0.429,0.565,0.265
subject:23,0.467,0.298,0.515,0.362,0.474,0.383
subject:24,0.5,0.164,0.515,0.309,0.556,0.364
subject:25,0.5,0.136,0.536,0.341,0.586,0.386
subject:26,0.588,0.377,0.704,0.358,0.559,0.358
subject:27,0.667,0.255,0.481,0.277,0.55,0.234
subject:28,0.611,0.268,0.615,0.195,0.545,0.293
subject:29,0.625,0.484,0.565,0.419,0.609,0.452
subject:30,0.667,0.645,0.727,0.516,0.647,0.355
subject:31,0.567,0.34,0.537,0.44,0.571,0.56
subject:32,0.476,0.286,0.529,0.257,0.5,0.143
,0.62309375,0.36590625,0.5928125,0.36578125,0.57621875,0.34796875
