subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.615,0.381,0.625,0.119,0.677,0.5
subject:02,0.684,0.52,0.667,0.56,0.643,0.54
subject:03,0.615,0.308,0.467,0.269,0.75,0.115
subject:04,0.529,0.18,0.571,0.24,0.522,0.24
subject:05,0.583,0.286,0.64,0.327,0.625,0.408
subject:06,0.625,0.208,0.615,0.167,0.6,0.25
subject:07,0.625,0.306,0.63,0.347,0.529,0.367
subject:08,0.792,0.452,0.7,0.333,0.6,0.143
subject:09,0.545,0.36,0.581,0.5,0.645,0.4
subject:10,0.714,0.645,0.677,0.677,0.657,0.742
subject:11,0.658,0.581,0.684,0.605,0.724,0.488
subject:12,0.423,0.22,0.55,0.22,0.5,0.26
subject:13,0.667,0.182,0.5,0.159,0.45,0.205
subject:14,0.667,0.357,0.684,0.464,0.75,0.536
subject:15,0.714,0.303,0.684,0.394,0.842,0.485
subject:16,0.72,0.545,0.652,0.455,0.56,0.424
subject:17,0.7,0.636,0.684,0.591,0.643,0.409
subject:18,0.559,0.514,0.478,0.297,0.5,0.27
subject:19,0.6,0.316,0.714,0.132,0.647,0.289
subject:20,0.577,0.294,0.625,0.392,0.7,0.275
subject:21,0.649,0.585,0.618,0.512,0.667,0.634
subject:22,0.625,0.306,0.625,0.306,0.652,0.306
subject:23,0.462,0.255,0.5,0.319,0.522,0.255
subject:24,0.583,0.255,0.545,0.218,0.655,0.345
subject:25,0.409,0.205,0.52,0.295,0.704,0.432
subject:26,0.633,0.358,0.667,0.302,0.625,0.283
subject:27,0.5,0.277,0.478,0.234,0.615,0.34
subject:28,0.5,0.268,0.55,0.268,0.607,0.415
subject:29,0.667,0.581,0.591,0.419,0.6,0.387
subject:30,0.583,0.452,0.643,0.29,0.556,0.161
subject:31,0.571,0.32,0.66,0.62,0.674,0.58
subject:32,0.4,0.242,0.429,0.273,0.467,0.212
subject:33,0.591,0.382,0.364,0.118,0.368,0.206
subject:34,0.6,0.395,0.562,0.474,0.536,0.395
,0.599558824,0.366911765,0.593529412,0.349882353,0.612117647,0.361676471
