subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.471,0.571,0.491,0.619,0.488,0.476
subject:02,0.588,0.6,0.596,0.56,0.583,0.56
subject:03,0.583,0.538,0.565,0.5,0.483,0.538
subject:04,0.553,0.52,0.478,0.44,0.511,0.46
subject:05,0.632,0.49,0.564,0.449,0.581,0.51
subject:06,0.442,0.479,0.491,0.542,0.551,0.562
subject:07,0.481,0.51,0.529,0.551,0.51,0.51
subject:08,0.634,0.619,0.61,0.595,0.587,0.643
subject:09,0.566,0.6,0.585,0.62,0.569,0.58
subject:10,0.69,0.645,0.677,0.677,0.625,0.645
subject:11,0.353,0.279,0.41,0.372,0.415,0.395
subject:12,0.491,0.54,0.596,0.56,0.605,0.52
subject:13,0.512,0.5,0.477,0.477,0.478,0.5
subject:14,0.444,0.429,0.444,0.429,0.433,0.464
subject:15,0.459,0.515,0.432,0.485,0.447,0.515
subject:16,0.69,0.606,0.613,0.576,0.594,0.576
subject:17,0.6,0.682,0.556,0.682,0.593,0.727
subject:18,0.444,0.432,0.514,0.514,0.528,0.514
subject:19,0.516,0.421,0.485,0.421,0.485,0.421
subject:20,0.587,0.529,0.604,0.569,0.571,0.549
subject:21,0.462,0.439,0.526,0.488,0.524,0.537
subject:22,0.524,0.449,0.575,0.469,0.54,0.551
subject:23,0.408,0.426,0.42,0.447,0.5,0.511
subject:24,0.534,0.564,0.525,0.564,0.536,0.545
subject:25,0.569,0.659,0.523,0.523,0.457,0.477
subject:26,0.583,0.66,0.589,0.623,0.545,0.566
subject:27,0.479,0.489,0.531,0.553,0.512,0.468
subject:28,0.525,0.512,0.579,0.537,0.486,0.439
subject:29,0.519,0.452,0.5,0.484,0.467,0.452
subject:30,0.438,0.452,0.469,0.484,0.483,0.452
subject:31,0.522,0.48,0.468,0.44,0.5,0.38
subject:32,0.567,0.486,0.545,0.514,0.543,0.543
,0.5270625,0.51790625,0.53021875,0.523875,0.5228125,0.5183125
