subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.490,0.571,0.481,0.619,0.500,0.619
subject:02,0.571,0.640,0.596,0.680,0.592,0.580
subject:03,0.517,0.577,0.577,0.577,0.667,0.615
subject:04,0.467,0.420,0.467,0.420,0.591,0.520
subject:05,0.459,0.571,0.438,0.571,0.475,0.388
subject:06,0.429,0.500,0.492,0.604,0.464,0.542
subject:07,0.500,0.449,0.478,0.449,0.551,0.551
subject:08,0.643,0.643,0.610,0.595,0.619,0.619
subject:09,0.500,0.660,0.516,0.660,0.524,0.660
subject:10,0.375,0.290,0.429,0.387,0.424,0.452
subject:11,0.438,0.488,0.447,0.395,0.517,0.349
subject:12,0.500,0.380,0.561,0.460,0.615,0.480
subject:13,0.545,0.273,0.583,0.318,0.552,0.364
subject:14,0.400,0.286,0.385,0.357,0.370,0.357
subject:15,0.489,0.697,0.442,0.576,0.429,0.545
subject:16,0.500,0.242,0.421,0.242,0.529,0.273
subject:17,0.633,0.864,0.593,0.727,0.593,0.727
subject:18,0.519,0.378,0.581,0.486,0.593,0.432
subject:19,0.500,0.289,0.462,0.316,0.467,0.368
subject:20,0.647,0.647,0.596,0.608,0.552,0.627
subject:21,0.466,0.659,0.500,0.610,0.520,0.634
subject:22,0.371,0.265,0.400,0.327,0.432,0.327
subject:23,0.500,0.574,0.491,0.574,0.536,0.638
subject:24,0.509,0.527,0.474,0.491,0.475,0.509
subject:25,0.492,0.659,0.453,0.545,0.407,0.500
subject:26,0.604,0.604,0.561,0.604,0.561,0.604
