delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
218581,189830,29588,31897,12782,36886,36672,7915,-215085,-188454,-27927,-28982,-11243,-32668,-35195,-4972,-98062,-169447,5874,-871,-6126,-25527,-25468,-2326,-9516,-97530,-14747,-18121,-10385,-34114,-34086,-6081,117023,88546,19007,71917,33801,-20621,28111,-17250,5117,-4259,7141,-8587,9727,-8618,2646,-3755,easy
443319,53498,15431,9486,9241,16912,9241,7733,-168164,3444,-8533,889,5978,-2090,1576,-765,44854,70315,-8182,7316,592,-8608,-3325,-2122,354224,-8344,-10157,-5845,-4889,-11530,-3271,-5989,213018,309370,66871,-78659,351,-1975,6427,-13161,-5386,-5481,-6518,-2922,-4901,54,-1357,-3867,difficult
174206,76255,3257,11416,18149,11591,15600,9744,2000048,371572,26182,5659,2814,-1483,-979,-3983,86673,-63890,-1969,182,-13415,-9335,-11976,-8423,401002,-49751,10827,-3391,-7076,-5273,-8253,-5564,-1913375,314329,-435462,14139,-28151,12796,-5477,-3573,-16229,6339,-7852,4062,-10997,3723,-4440,2859,easy
288903,134740,12633,12553,18116,13202,7777,9965,-257256,-88694,7832,-2999,-14873,-11286,-6295,-9070,-287675,-129550,-11200,-11223,-16794,-11377,-6826,-9349,-277576,-96380,-5168,-8396,-14618,-5699,-1883,-4737,-30419,10099,-40856,33170,-19032,6032,-8224,2827,-1921,2176,-91,5678,-531,4943,-279,4612,difficult
113373,30414,7243,5241,2425,2792,1985,1486,-67625,-11282,3896,114,-294,-1307,348,153,-61033,-11862,-2844,-1837,954,268,113,283,-93277,-26675,-3629,4641,58,4602,561,2892,6592,-32244,-580,-14813,-6740,-785,-1951,6478,1248,-896,1575,4334,-235,448,130,2609,easy
331463,28161,11812,8410,4593,4191,1093,1094,-211005,60974,11566,9097,15166,10406,12361,10838,-91294,82687,16079,4845,23,1133,1978,1427,632732,20138,3773,915,-1885,108,-418,1403,119711,724026,21713,-62549,4513,-12306,-4252,-3930,-15143,-1908,-9273,-1025,-10383,-2396,-9411,-24,difficult
27699,25064,9285,5049,6934,7739,4044,5053,-14473,-8766,-5942,-1181,-2761,-423,4147,-1756,25254,3751,-2147,481,-3358,-5250,-3122,-4046,-25967,-21493,-3774,1328,1499,-152,2736,-1690,39727,-51221,12517,-25244,3795,-1627,1662,847,-597,4857,-4827,5098,-7269,5858,-2290,2356,easy
576456,95797,31271,8293,7649,12428,7730,4291,131664,-80726,-11920,-4285,-2870,-2971,-2562,7408,-568296,-61941,-24600,-3435,-6050,-8003,-3914,-3085,-359976,-38628,14848,3322,7708,-862,5067,-1217,-699960,208320,18785,23313,-12680,39448,850,6757,-3180,13758,-5032,7141,-1352,8981,-10493,1868,difficult
354644,44968,17083,16743,16568,13469,7211,5812,1997563,370712,212096,216969,67594,69939,13840,51178,-91321,130409,9916,81049,10955,14040,10977,6551,-239711,-26051,-4388,-14302,-13520,-9704,-6203,-4770,-2088884,-148390,-240303,-156460,-202180,-14304,-135920,-95351,-56639,-24475,-55899,-23744,-2863,-17180,-44627,-11321,easy
436042,54044,11560,9511,7062,6489,5134,2930,322535,135606,-2804,3439,3452,2413,-794,-1256,-425973,-41909,-4950,3862,-1677,-2742,-2088,-1035,-414809,-35166,4105,-3290,-1470,-4836,-3388,-1799,-748508,11164,-177515,6743,-2146,9055,423,-7152,-5129,207,-5155,-2094,-1294,-1300,221,-764,difficult
184811,10538,8855,4132,8639,4203,4141,3255,-56834,14799,967,7104,25097,15398,7378,255,-171440,1325,-6999,1888,-6474,-1312,-2259,-2647,-182224,-5522,-5527,-1974,-710,627,2697,2510,-114606,-10784,-13474,-6847,-7966,1472,-5216,-3862,-31571,5764,-16710,1939,-9637,4956,-2902,5157,easy
