delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
490742,51306,16779,17233,5026,16831,366625,28355,18930,5950,6021,11311,174637,73859,10193,2509,4958,11081,-236049,-15101,-16141,-4719,-4148,-10535,-216570,-33,-11316,2942,-2759,2200,1080855,29713,16102,57109,1448,27555,-182288,26316,-9591,-1428,-4474,-2701,easy
421775,105575,13844,27146,14824,18576,783122,198129,25936,19180,26083,58420,-415632,-176898,-16641,1244,-12932,-50883,-619563,-149554,-24732,-12448,-18261,-37048,-479762,45966,-10161,22153,-4261,-32942,-19801,-50611,-9517,21349,-3043,-28142,-271977,-131672,591,7530,-17796,-50203,difficult
989988,111993,84292,45193,23601,56893,777741,648665,73252,42302,32824,60363,-660016,-589532,-63540,-40007,-29875,-55637,-109366,-531989,-41454,12784,-2398,68641,2188792,-511141,212109,106435,18377,19194,-597845,-594771,-64689,-33799,-7943,-36122,239669,-455925,12776,-30958,-24275,-13425,easy
1435183,150936,44171,24520,19921,59660,717752,170851,28342,32070,23094,27907,-488391,-135627,-24325,-29551,-21205,-24413,661490,86528,125039,9890,9808,137536,1190212,-79621,-22758,-25927,-17962,-8998,2203339,150444,29195,25187,20278,65848,20504,-121301,-28007,-17348,-6785,-11210,difficult
735891,42737,17901,32289,32671,50666,645846,86211,32343,11447,8397,17629,-316731,-61366,-18047,25525,19524,32981,-331116,7706,-21618,26856,25659,43173,-640579,-74168,-27704,507,33876,1846,-627744,-65526,-24271,250,5893,29192,2366395,-24018,19428,51071,36418,57994,easy
983460,192107,62804,16439,27850,37320,896403,107211,62605,42015,23275,28384,-172601,-35746,-22680,-23975,25343,-2227,-603767,-99150,-61057,-32480,-16365,-13193,-307374,-11330,-47824,-8124,333,22953,-828251,38698,-53921,-39325,-16939,-23601,2347280,532007,186479,-23977,30505,60747,difficult
755623,205272,45015,13680,21997,45987,263970,154775,5587,5996,14161,52667,299749,369059,109400,13144,26241,28130,-254736,-153766,-4826,-4353,-7882,-35842,-98337,-69263,9080,14396,-10620,-40886,1096604,137666,42678,7516,17337,17043,1414986,-31213,40807,7719,14103,-1844,easy
474743,30859,15161,14892,14977,40943,1300727,98921,15212,37537,23969,33675,-1268988,-91438,-6830,-30127,273,11652,1015087,13808,-6682,-10011,-6162,-2498,-1287034,-86388,26755,-14127,-13890,20769,-1293568,-89491,-9437,-26527,-11418,-8739,-1295418,-86803,-4061,-32431,-13765,15155,difficult
559619,132578,42869,25702,29209,41950,1092883,280846,27229,20132,13864,34222,-962766,-262230,-26377,-18804,-11996,-29599,-944097,-105680,45410,39845,14034,20625,-163280,14880,39471,4087,7953,41845,488213,-112965,35074,14485,28296,8993,-1084388,-275346,-15376,-11765,38438,-3223,easy
109446,18242,12693,15206,13279,16669,1482450,110466,21989,19502,6530,37598,-1399727,-99778,-18230,-18320,-3204,-34220,-1369963,-83448,-18088,-16767,1645,-26646,-1312780,-83774,13080,32235,13334,-9909,-1411435,-93894,-11908,-5941,26895,-3101,-1371113,-100228,-11333,-12687,-4926,-30769,difficult
385189,54077,24134,18211,10353,32246,363823,47162,21724,11306,6884,29120,78510,-24190,-20758,-778,-227,27340,95609,1930,789,20867,3568,2498,-353537,-39471,-14422,4811,466,-10943,132237,67167,-10296,-8352,-1491,-21902,154011,29137,56737,17977,15031,18635,easy
423248,50376,23583,34996,36973,14951,1386689,202459,62635,70056,34981,42759,-1343216,-188764,-56171,-66908,-32411,-40159,-733712,-174842,-44298,44361,20159,-23048,-284626,-32645,23106,-32423,80349,-10529,-1135118,-183322,-57880,-55516,-28333,-33594,-1320535,-180841,-60018,-64816,-29804,-31710,difficult
