delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
302891,84004,10971,13367,4553,6796,3484,4941,123146,41115,14483,4041,4322,5464,2238,1826,-80954,-14400,-2693,5235,-1758,-585,133,-299,727538,175872,-4176,22534,-937,116,137,3,-107348,-32805,-3668,208,3389,4465,3469,9640,easy
318857,181361,8844,6643,8612,26416,9444,13578,121294,24933,8120,3257,4409,3922,1400,2306,213925,-7763,-3304,-2160,556,-1822,98,1047,421705,424359,3526,3730,7993,61741,21317,32808,-42940,52689,1951,8587,4061,7563,2718,-38,difficult
160858,54368,10616,51011,38351,11027,6450,10767,998741,137464,69907,28980,25127,16025,7975,2693,-914619,-105467,-63683,-24981,-22773,-14707,-6112,-675,-961110,-93429,-59593,-14451,-17332,-14157,-5556,-1177,-637921,-50391,-54596,105524,79778,13869,7092,26074,easy
136610,22480,6408,2078,2271,2317,2636,1723,91721,38153,15579,1810,3409,4992,1939,942,190485,-10528,-13297,-338,-1441,-2367,1622,257,-34197,-17806,-8918,-790,334,-2542,966,2088,-21621,-18685,-5298,1932,-2306,-3117,-497,-2,difficult
423389,62543,14322,5622,6556,3704,2426,1957,540400,120005,47399,16594,11950,10022,3838,2520,-163786,-125,-16225,-5657,-2190,-7392,-1633,-539,-176425,-97295,-35928,-12188,-7881,-4170,-973,-459,-10823,-74967,-47078,-15071,-6111,-7391,-1629,-692,easy
822877,94403,29607,16638,14688,23191,13420,10631,55165,45245,6326,4177,2805,3346,2063,2123,-37574,-16966,24395,12001,17488,29790,17070,6402,2307121,146441,31930,27540,19181,28945,14191,18841,33589,17999,13518,-2157,-1020,800,2809,282,difficult
264979,92539,29804,10699,9728,7615,6686,2093,236546,113318,23415,5203,17820,9030,7461,5078,-189641,-57712,39,8571,-8948,-5067,3424,-2881,-47331,-35272,-10048,4297,-12559,-2887,-6361,-3608,322271,30647,29175,3621,-2769,3710,612,-2466,easy
49788,13946,9363,1744,2026,2487,1206,774,1451178,238101,23556,11890,12795,17339,13426,4964,-1430092,-235835,-23255,-11464,-11591,-13884,-11689,-4030,-1325782,-201907,2351,-8791,-9404,-15758,-12353,-3896,-1448296,-234724,-21674,-10184,-11311,-14913,-12619,-4644,difficult
415799,67962,26315,6961,13506,10851,5994,4045,400083,666875,39151,36382,28184,13646,6196,6924,-363746,-644616,-29242,-32037,-26134,-9741,-4306,-5947,-324724,-597462,-24078,-28998,-23879,686,7715,2538,735617,-554661,14812,-27228,5980,669,-4016,-5228,easy
291938,47841,17739,15284,4033,4183,6382,3958,98453,36892,11146,3188,4316,3716,1676,2172,283382,-25729,4085,5948,-1381,-671,1945,1486,338929,-8922,-10736,7760,-2614,-368,581,220,-41855,67499,26429,22581,3145,2440,11592,3653,difficult
317926,170997,7532,19624,18483,15731,13605,5946,374519,97945,17876,11173,8338,9478,6447,4310,-307802,-28020,-6292,-3551,4606,-1389,1755,2086,357762,244651,-16343,35928,27955,23593,23076,4533,-219739,2526,-8397,-7025,-2126,-3444,-3356,-1710,easy
296739,36782,10496,4400,3989,7059,3363,2192,482185,136942,9155,3602,6483,6315,2387,2408,-478728,-132701,-4493,49,-2776,3394,1434,640,-442998,-106472,6425,-1559,-2506,2205,2092,-411,365388,-61306,2092,3905,-2201,-3368,-599,-878,difficult
317761,41279,8547,7212,14377,22353,10174,9433,514999,193334,39123,15020,10061,18112,7193,8631,-499651,-191960,-35471,-13159,-3768,-15604,-4786,-6522,-145650,-167500,-34944,-5646,4213,-9379,-4074,-4864,53588,-96704,-21313,-4619,12502,37706,17803,13792,easy
237288,85759,24406,4386,6071,8994,4098,2501,234944,168059,33504,14432,7833,8705,4355,4835,-78946,-107636,-27003,-13507,-2167,-4098,-2363,-2399,-165578,-151176,-30685,-13501,-6329,-7476,-3799,-4483,251556,11912,30395,-3131,3210,12440,5390,-119,difficult
224609,105381,29276,17575,22368,15357,12650,9771,145964,71279,27792,7531,7645,11612,6846,5562,195537,95131,-4315,20996,5668,4952,4519,7466,20199,3587,4384,4568,19251,3142,6447,2580,20199,3587,4384,4568,19251,3142,6447,2580,easy
117785,21992,7625,10293,7292,1969,1032,934,718370,172279,42744,27532,20661,11585,6837,5809,-648277,-158147,-39589,-26017,-18212,-10862,-6446,-5171,-646853,-164032,-41419,-26635,-19359,-11063,-6470,-5637,-506625,-128682,-24349,935,-2536,-6922,-4499,-3818,difficult
435365,97145,16803,5851,2663,4636,2507,1935,438175,222518,40967,31383,25092,12763,9129,5680,67710,-160017,-34474,-22464,-23454,-8350,-5678,-2238,320216,-6912,-2628,-23245,-20057,-3558,-5330,-3721,-396356,-209190,-35391,-30886,-23777,-12473,-8859,-5275,easy
292454,127690,5039,4459,3969,11713,4910,3105,255343,198359,17838,6122,6657,11546,4240,3496,386843,150003,-14172,2254,706,11949,8247,2126,-112828,-174867,-8436,-1901,-3179,-5994,-2852,-1258,-162682,-187143,-15790,-5343,-5591,-5455,-3385,-2042,difficult
135405,43939,10966,6389,3666,8499,3444,1940,79717,45553,5934,3381,8249,4164,2714,1866,48916,20236,16761,3081,-685,13966,4815,2507,51128,-13816,-1441,-3041,-6735,-2408,-2274,-1571,67020,-11263,-224,8984,-6330,1447,-350,-713,easy
107119,55179,11777,5488,3738,3773,2027,1671,193547,39628,4471,6939,4218,3756,1518,1036,-140916,8703,12815,-4674,-2614,362,-69,-336,-107997,-18960,5851,-2235,-2476,-705,1355,6,-10370,56910,3253,2556,3651,393,241,2236,difficult
144104,47024,7653,4517,2319,5975,1624,1123,194180,70913,31394,9156,6904,10366,5362,6311,-58550,-63535,-30525,-6807,-5408,-9574,-3535,-5592,72179,46417,-10214,446,-3722,4708,-3074,-4426,-163857,-54550,-30485,-7556,-4626,-8308,-4606,-5547,easy
887099,403797,27174,14187,28114,21935,20935,8327,119370,56491,15793,11647,4559,5287,5451,1969,791825,270082,16653,-6554,42583,30229,28723,16220,57668,22459,-10554,-8085,207,96,-3661,-1350,1453695,749377,28045,22259,27876,19620,21390,4203,difficult
62779,37270,9544,4554,5033,3798,1242,1828,208396,74310,36314,4251,10984,15406,5719,4623,-185937,-60332,-26787,-835,-7983,-12045,-4530,-3152,-111859,2911,-27153,2543,-2657,-9495,-4095,-1378,-139054,-53699,-26370,-799,-7212,-13285,-4807,-3855,easy
522052,89945,30312,8552,11622,9060,4075,3317,716909,431412,101135,11414,46757,14547,14771,8726,301084,-276167,-38673,4847,-26736,4141,-6989,-1823,-229298,-403542,-92953,-4289,-36025,-8295,-12614,-7100,-656358,-344692,-80843,-9143,-42644,-12306,-12484,-7304,difficult
77429,28231,4524,5468,3694,8507,6725,7925,800048,185483,16397,38099,23194,16311,6695,6764,-790138,-181094,-10536,-24238,-16585,-768,6210,13745,-587246,-109628,-8957,-36903,-20030,-9341,-3006,-4291,-790474,-181035,-16126,-36753,-21886,-13302,-3113,-5970,easy
336257,83488,16544,8929,6155,8176,4088,1580,266584,37747,4422,4521,2363,3446,1056,1117,-217446,-3805,3026,-3350,1569,3199,772,-421,-119556,61122,-578,-400,1235,1603,2496,245,546021,79906,33917,16973,8573,9387,5829,1564,difficult
1047629,240252,107165,42898,18144,40803,39605,21979,808685,88034,17421,11969,15239,4032,3595,6177,827075,140807,73782,8223,10800,18183,14768,14861,550220,382500,205577,91698,11865,94237,94210,35953,-660464,-66653,-10128,-7135,-13951,-2108,-947,-3407,easy
34451,14358,1843,1540,1206,3060,1839,1736,471630,293254,32690,17901,26045,10548,4906,4199,-437760,-273473,-29947,-16056,-25138,-9576,-4502,-2795,-452798,-289696,-31433,-16751,-25123,-3096,-448,-1005,-420978,-273520,-31161,-16277,-24257,-9793,-4252,-3590,difficult
800482,171116,35127,57127,41794,26817,20787,16246,155298,53553,5930,3217,3100,3181,2006,1420,532410,28549,78737,77711,622,5513,5221,8050,393783,-4527,-1660,20831,15558,40241,30549,13138,1009358,328666,10515,63189,99901,25154,20573,23291,easy
833211,166506,68111,22556,22225,29394,55062,24193,217754,98530,16200,28074,9493,7368,5428,6509,93416,124524,10237,-12981,-1080,5807,21508,8200,1348020,23799,75805,-5435,4419,46744,100556,29710,404934,55604,69691,1863,34857,13526,26837,15143,difficult
127289,52983,27234,15037,4552,9729,5506,7570,336192,296734,65143,14073,21321,19755,8952,9793,-186745,-280829,-61234,-10941,-19123,-11967,-3291,-1875,-311874,-253713,-56538,-9350,-17221,-8001,-2982,-2977,-128091,-196711,4045,23183,-13963,-10109,-4066,-1816,easy
1176438,243788,50645,18470,13820,19408,12803,11056,796012,93649,21796,29912,11462,13322,6989,7452,-285561,192855,14060,-11370,3020,6658,4148,-1981,-594638,70453,17073,-13225,4065,1513,7882,-2207,2021477,187109,55413,-9730,-11,10086,5411,15000,difficult
646781,218505,30375,32187,8176,14295,23725,12328,974443,52432,6890,6662,3806,7804,8190,5737,104916,550704,75629,65588,14354,20647,31567,21717,-218057,-17258,-1660,14631,509,4737,18945,2022,-869846,-35226,-3513,-3645,-1754,-5910,-3907,-3965,easy
188874,81108,26613,9129,11662,24507,9743,9573,524765,279885,18872,18351,23915,27203,9177,8640,-517450,-245245,3657,-16993,-20575,-3039,880,-3631,-201274,-238796,12232,-12079,-20374,3559,4709,633,-288949,-112291,7334,1407,4191,-8609,-3891,5796,difficult
972442,133685,49007,18153,9096,23726,19375,13153,664430,349976,18849,31350,12836,21342,20890,13580,-662349,-342919,-14756,-26916,-828,1542,6212,2269,2022697,7753,107450,16367,-624,23559,7656,8516,-436311,-313707,-2219,-29043,-9768,-17948,-18414,-12066,easy
217166,53609,9128,4745,4284,4965,5584,2972,978725,260342,59818,29811,90625,18189,5860,3409,-877313,-199650,-58372,-28060,-86903,-15245,-3900,-1501,-541311,-197613,-36320,-17785,-82486,-7121,8612,3186,-866053,-222937,-57378,-29352,-89635,-17307,-5539,-2996,difficult
106823,44119,6939,3633,2224,4002,3446,3647,844249,352014,29722,20131,22832,16501,15516,11501,-754177,-290779,-21308,-17534,-21500,-12793,-11465,-6800,-831021,-340467,-28024,-14748,-20458,-11449,-10797,-6495,-627080,-292439,-19016,-17211,-19865,-13256,-13947,-10266,easy
409458,170433,8103,8745,7433,12098,2410,1433,166009,67854,14150,11280,4734,3618,1780,2601,-155958,-58537,-11427,-6427,-2345,4137,-1067,-1135,-112801,-33275,-10610,-9778,-2017,-2398,-1096,-1886,999106,399550,3896,8600,12458,23702,4052,-483,difficult
90486,15696,5041,1964,1546,4070,2821,1822,297395,160071,6194,5324,5809,4027,1989,2053,-111853,-147889,-716,-3362,-4480,-2308,-295,-455,-274708,-145136,-5909,-5123,-5103,-2140,188,-1374,-234165,-140099,3165,-1595,-3206,4578,2602,1136,easy
279809,108081,19552,4195,3983,2344,1432,1054,100261,10658,6182,7129,4137,7705,4648,4907,-20880,14883,-589,-985,-2074,-5983,-3627,-4146,2035,37521,6467,-5046,-719,-5985,-3746,-3782,557488,239866,34231,-2770,2330,-4116,-2276,-3632,difficult
