delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
503583,253567,66055,20895,12186,19948,8894,8139,796283,212129,112254,47781,27962,29670,24612,18501,-406753,-205839,-110451,-43838,-27561,-26504,-22949,-17130,288294,251947,22281,15713,-1118,8012,-8263,-12460,-673683,-204828,-111341,-43354,-22338,-22590,-19058,-14386,89384,549906,68876,-29156,-14596,5161,-14199,-1983,-760742,-183995,-100360,-33797,-13265,-12687,-14123,-5853,easy
654534,411113,31783,20830,26644,15316,11198,6165,293275,231738,24416,46393,37886,34857,17765,10381,543373,157586,75054,-23740,7953,-14010,4949,9933,197959,1021591,-2198,-4143,8944,-20194,-8567,-7466,-62589,-92846,-7927,-27824,-33702,-22059,-11619,-8892,1169509,-71970,-15660,-28112,-9286,-10916,-2489,-5609,-41956,-117485,-12432,-43998,-30118,-30527,-15108,-9047,difficult
156164,34711,12502,15326,10731,10492,7789,4977,128240,171880,26682,21551,24782,19690,7657,12052,-107455,-115420,-5192,31167,-3145,6829,9261,830,466604,-79268,1244,-15841,-17300,-15327,-4204,-10436,-50129,-165559,-23959,-19257,-23566,-17129,-5765,-10836,-99878,-161378,-19536,-13845,-4165,-6314,5992,-6012,-69520,-164222,-23459,-13349,-22078,-14050,-4624,-8921,easy
145947,230201,32078,14898,8659,13111,14197,8648,595689,312817,14646,22519,27555,13352,36335,14856,-52272,726683,72253,21158,6545,22212,1104,19356,-565226,-291441,-11196,-21183,-26072,-11188,-34518,-13676,-544168,-306079,-7548,-10909,-25896,-3499,-22365,-11438,-525499,-240530,44116,-7307,-22777,76,-24624,-12064,-561544,-301715,-10464,-19866,-26279,-8807,-30285,-13217,difficult
595552,108567,40624,23951,12706,25405,26681,21717,854830,134847,27444,9010,9697,15637,17388,15319,-492119,-120336,-23196,-601,-6217,-12984,-14612,-13682,-782415,-106661,-23964,-6139,-6819,-13468,-16773,-13408,958195,4016,77403,29577,9085,61792,27396,11330,-498114,-6179,-6307,8379,7731,202,2926,2069,-481937,97759,41963,43488,11266,13296,47529,45681,easy
881314,118626,22133,13097,14100,21252,6674,4163,324001,375160,16475,38733,14723,12287,5064,8486,-258740,-344757,-15040,-33297,-11010,-1809,1620,-4330,1047915,-192683,42388,-1602,15751,46304,10698,-621,269635,-317598,-9779,-34920,-3550,4249,-2512,-5935,27025,-348547,-2364,-34162,-10127,-8384,-3319,-6430,1700730,-79083,13084,-24199,5819,4466,1565,-4299,difficult
353287,95096,18248,22283,27003,23155,17751,13812,732633,289132,45471,46245,13785,23206,13746,11564,556864,30246,7573,14134,63121,34265,8177,22161,-722853,-274372,-43723,-43196,16355,4855,30484,5482,-366125,-198436,-23757,-20714,-4519,-15476,-7275,-9171,-714005,-276598,-44311,-44506,-10419,-19314,-10769,-6612,-650610,-251019,-31896,-25526,1554,-4586,-594,-621,easy
173729,198631,23212,16293,7186,14433,9925,12331,691179,310606,28392,14868,30034,25087,21358,10694,-571913,-280431,-19967,-12538,-26321,-22474,-20846,-9494,-606153,-295252,-19953,-14652,-27395,-22123,-19680,-5826,-121128,625371,58196,58724,-6742,3573,17277,29121,-600869,-306833,-25446,-12385,-29146,-24318,-20808,-10461,-687185,-302730,-18730,-12023,-24634,12071,-13109,4845,difficult
430070,244305,58845,13414,18886,17584,11512,6151,95235,46927,15987,11630,10161,6003,5798,2555,1825013,1064048,252238,15937,31050,32676,8789,10891,-88481,-37048,-3120,-344,-8416,-2285,-2561,-989,-91654,-38947,-11399,-2209,6713,8236,9833,5013,119210,43523,-12441,-3270,15669,2302,-1945,-391,-89913,-44688,-10986,-1196,-1391,16974,14453,3455,easy
371166,36297,17114,9871,6359,6376,4313,3483,630501,69042,54246,43925,34007,18063,24860,19847,-138559,-54329,-42127,-33471,-32336,-16165,-23418,-18300,411669,15924,-32427,-31176,-28451,-5973,-18568,-16387,-536400,-44119,-38621,-40390,-31812,-13570,-20129,-17629,-546901,-54090,-32033,-24445,-14513,-7778,-17672,-12288,-486486,-27112,-40451,-40787,-31128,-14950,-22946,-17215,difficult
