delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
109475,7650,2220,6537,7637,4932,385383,48716,19231,6919,7979,5915,-324672,-43512,-16597,-4570,-6879,-4718,-122517,-40715,-17155,4539,5507,3082,-380534,-38972,-17281,-1115,345,-1314,easy
346099,49288,15558,17030,8440,7811,434133,76758,18989,20670,15817,23817,-345565,-62051,-13570,-1363,-13370,-20286,-391493,-61232,-14848,-15311,-13776,-16472,472957,40874,18126,5754,5016,-11259,difficult
30900,21170,15736,8775,7216,20165,127674,59678,5223,4073,3653,8440,-91961,-41165,1657,-2930,2295,-6125,-109455,-48160,-1300,237,6624,27495,-88907,-26199,31181,16800,1771,13805,easy
1283381,140348,23633,14027,18084,8434,379839,70437,9265,11165,6163,6342,1014519,154667,15902,-563,39950,3950,-150191,-50777,-4112,-5076,-3844,-5212,1846298,105842,31314,14226,-342,7539,difficult
1039525,143813,52362,24836,23303,13943,523942,121596,23438,18845,36996,20648,555499,77142,19225,3096,-5987,-954,639092,15262,20961,15884,-2080,-6927,352158,-25753,46585,-1006,-33012,-12235,easy
29379,22862,9907,5081,3767,8547,62962,14061,17916,6294,7530,5577,-35472,26242,-10451,-3678,-4368,-1950,-44646,-7312,2514,4514,-1609,14398,-20630,7473,-16090,-4474,-5312,-3539,difficult
221062,102010,9839,15952,6554,5536,84563,88560,12590,7207,5608,5090,217346,164375,8077,30665,5562,6680,158045,-48405,-7996,-2372,1801,-2106,34106,-75621,-8334,-2059,-4526,-3236,easy
758764,101923,27553,31964,32232,22807,683104,236979,37128,15872,12987,26716,220789,-148176,-551,50566,42100,-7258,505033,-97556,7365,235,25272,16722,-498842,-159436,-35539,-2526,-9636,-21190,difficult
1032300,65316,25191,14045,11264,9409,574273,65510,27391,19422,13179,7857,702962,26484,21141,8343,4110,7724,722244,36055,-552,-8012,3097,4397,-51125,-63121,-27188,-16461,-12952,-7464,easy
731190,35646,15692,10842,14482,24360,92179,82453,19027,6755,14959,22130,251166,-48251,9197,-897,-6117,11216,1726116,-26872,-6328,16104,18635,14824,-60248,-65297,-12873,-2947,-13950,-19350,difficult
308948,35110,6843,2595,2452,2352,120861,103397,26823,23569,16103,8657,-31426,-60819,-20900,-21553,-14237,-6200,-39249,-58123,-22063,-20779,-12825,-5542,634936,-85919,-16977,-20589,-13892,-7173,easy
83290,44381,6762,2290,9521,28761,984256,37976,11871,19864,6741,24000,-908612,70093,-4888,-16877,-4241,-10524,-823452,-27523,-11439,-18497,-4348,-13084,-970833,-23355,1000,-17347,16929,37892,difficult
507497,72705,9163,8125,7913,5286,650534,232711,29137,16790,18942,20443,-267089,-152020,-17633,-7841,-13576,-17907,214960,-158479,-25539,-13769,-6280,-10620,-376981,-169519,-16749,-4384,-13231,-16945,easy
362592,63091,14411,9419,6582,14492,681295,178435,32177,8141,10205,12312,-621221,-168077,-29381,-5038,-7670,-9484,-608868,-165711,-22005,-6384,-6802,-9331,273981,-12245,-1911,15255,3604,25356,difficult
973324,285949,18205,21848,17027,18568,717820,249934,69336,15656,10502,11978,1230787,331467,-38917,3627,-4267,20801,-232706,-2415,-52198,27982,31863,6161,-231569,-221007,-62277,-13033,-8021,-7193,easy
380252,122731,9039,55203,23848,22411,395566,30128,42014,14015,3946,8120,-319814,10593,-38531,-3758,-3114,-6515,581945,208776,-18768,115192,49837,50568,-308072,58440,-41626,12129,12984,-1180,difficult
464264,245948,26936,27262,8261,6255,512395,207911,50680,32808,11034,15703,231783,-184242,-42697,-13658,-7576,-13741,-324342,-103686,-28738,-27596,-7390,-13001,-51833,402040,204,24615,6648,-1603,easy
356974,54278,12779,15223,15532,39432,184340,54983,7711,23031,7080,17756,-53245,-29514,11853,-19355,1494,-6356,289832,-25218,1280,-6331,14080,11876,281316,52616,2071,2261,9781,59508,difficult
46701,69751,20415,20731,11600,5598,599755,172670,48858,45544,20311,15372,-551694,-61640,-32495,-21938,-8978,-10074,-565133,-104126,-8178,-9954,2344,-4840,-542336,-142991,-44655,-42546,-19500,-14409,easy
1089365,152788,13660,12495,8291,5675,383908,134602,22840,12778,6165,5300,877692,52809,-14317,8650,5796,-705,1119048,-37784,-10181,-5102,2149,392,119631,39532,-3041,-4397,-1567,1438,difficult
587336,74430,15227,16686,2096,4332,788604,168655,15461,9987,13356,16553,370020,20603,21681,37433,-10249,-10054,-241044,-153530,-13824,-7863,-12384,-11492,-732779,-149748,-8560,-9473,-11148,-15116,easy
231098,43218,12394,2929,3348,4058,340438,33074,7908,7251,5294,9290,-239905,10324,-1139,-5284,-3562,-4624,-30611,-1907,5389,-4709,9,-6228,-57504,22016,9207,-2972,-2286,-4843,difficult
1188926,446337,20760,37867,26896,28337,1176776,247224,25982,29558,15268,12115,510610,766200,-4542,29262,22760,42638,178443,-171169,-4544,-18850,1109,-7426,-652602,2307,-6581,14516,11014,13455,easy
65677,20415,16294,9526,4055,9490,61914,19435,4889,6372,2147,3443,45465,10879,27569,12704,5058,8603,21922,-9642,-1427,-3175,-732,311,-56099,1702,8074,-67,1397,9226,difficult
538815,95104,9182,29126,11518,10020,306509,48967,11960,8550,12294,4295,590867,108420,-5672,48323,3893,16736,143125,20742,-4832,8268,-4113,2535,-37074,9250,2171,5138,-2109,-2095,easy
1123289,335208,122353,62001,73196,56613,979616,125388,46680,35955,83908,42203,301758,420179,104690,-11843,-60198,-27555,-314304,486,-42700,12135,-51719,-14502,443564,208794,165029,77847,79782,85286,difficult
1009543,306717,117067,14866,11728,6327,457517,167815,17308,8366,12165,12167,-373080,-103350,-12514,-5064,-9427,-10912,185673,-87000,1474,-3718,-7600,-8861,1843484,607055,310317,28281,15717,2252,easy
382404,286883,56137,53237,19821,15969,231968,39245,2131,9216,5172,2149,48411,97873,33144,10046,3363,8109,561843,629678,127968,122634,43692,33833,-158946,15364,905,-618,-3108,-483,difficult
121655,19423,3348,3583,2891,2646,113741,55539,9652,4593,3180,3669,-14741,-35592,-4252,-4053,-1988,-2460,93342,-25319,-7079,2879,2967,856,-54860,-47437,-7582,-1855,-1845,-1466,easy
892562,147166,51198,30780,12017,17471,642526,69286,35625,22089,10808,25029,-332403,147788,23204,15554,9178,-3022,-260062,88641,28700,13863,-784,-11095,1342572,-2788,-5184,-3345,-4766,-8556,difficult
252773,34286,11566,14628,20313,10939,37388,20846,11418,7448,9117,15375,-33246,-14431,-9668,-3615,-7736,-9209,235141,-7206,-11087,-1175,-2331,-12260,444261,61956,21199,26330,43655,8161,easy
73061,24317,4972,4088,1810,6537,332769,101712,33116,15616,12976,15401,-202732,-38522,-20397,-8238,-11130,-6156,-300579,-96962,-31641,-15406,-11975,-13998,-275813,-96700,-32394,-10941,-10392,-6439,difficult
1262186,78882,11819,28848,13860,14075,155724,27312,6091,8494,7978,12709,-81351,24990,8238,6728,5407,-9679,1973865,61174,13206,37969,8883,7388,1426872,68546,-4260,16366,3355,6390,easy
145977,94185,5428,13143,10778,11947,365913,51775,19394,8740,6131,8937,-281956,-12035,-6847,-6237,-4271,-6761,-53887,171759,-16866,24378,23196,23642,-323964,-32493,-18186,-4931,-4984,-7850,difficult
63327,12147,3602,5289,1913,6912,401964,39223,6570,10225,4845,15236,-301628,-27803,-1515,-3580,-3669,-7883,-363948,-23031,-3828,-6451,-3377,-9527,-350335,-30395,-3562,-4778,-1749,-7562,easy
475924,113780,34891,6777,6949,4896,566543,70652,9531,16856,7068,4946,91705,88819,54051,-3322,5118,4585,95435,87893,23797,-13774,-1021,-1300,-458998,-47329,-1769,-13140,-4454,-3435,difficult
93946,20617,13166,13132,8895,12613,352561,159406,20453,12011,10053,27216,-243148,-141332,-3379,-2674,-2575,-19578,-215458,-139829,-18702,-4024,-7736,-20393,-317240,-135205,219,10061,6838,-3839,easy
556859,115843,34848,31572,15452,19539,357327,134321,23989,31477,9514,24933,338815,-66271,-20053,-11369,-5765,-20184,43770,82196,31619,-22888,19811,-1683,216012,-71359,21011,34543,3769,5684,difficult
771984,214512,54868,22855,9630,20856,145497,72664,12901,9181,6597,15723,528260,71712,96169,39309,11224,22073,1098408,174219,30153,-1842,166,-2773,252793,179614,-420,3554,-2292,-3902,easy
601369,82833,32564,4003,10307,9817,169883,47335,8819,9080,3069,2626,1507046,130874,67604,-6217,14764,14345,-97498,-5836,-4847,-4129,-1340,-1838,-115091,-18545,8478,-4885,8289,9066,difficult
349636,42256,17856,5013,5211,4208,183072,57774,20126,3777,2802,6674,-42925,-26048,-16159,-2984,-1000,-5134,475807,14507,-17584,5673,3489,-2858,66811,-35013,26932,1018,4738,595,easy
284274,83892,30397,12100,14200,11398,59558,36981,1401,5302,2841,9717,-23434,-22530,-3,-3511,289,-634,591041,180882,82501,27989,33502,8647,106540,-17618,4490,-4083,285,-2970,difficult
395500,35725,10774,9757,7954,18745,211959,50731,8336,3696,7366,6794,-201877,-37109,-6256,-1072,1387,20768,365185,-32176,187,6011,-3626,2447,387316,24266,13382,13243,4003,12637,easy
388381,124372,21193,14415,7509,11650,401609,95754,23943,10043,11451,34241,160135,-9450,-18000,-6767,-8607,-31548,48883,112062,19022,17011,-813,-20959,-248703,-16757,-9272,2871,-2406,-15265,difficult
565666,303593,20230,19192,20623,48880,476738,133029,22730,9851,21769,21132,277251,154020,11187,16015,7429,89111,439262,474647,-779,20471,9056,13969,-449728,-116975,-17908,-8463,-19924,-19836,easy
672553,49734,13495,25853,14080,8876,428911,153602,40251,29159,14246,6740,-285334,-113914,-37830,-27533,-10612,-5535,1395010,-65824,-5553,28560,16524,13611,-378749,-131866,-36885,-10945,-6410,-1667,difficult
284059,34757,10633,6143,7863,10179,285906,95535,31317,14007,9835,22104,-137353,-35127,-26519,-6668,847,-17322,410946,-59011,-6339,-10061,-5683,-18386,-279135,-88195,-29193,-6862,-1079,-68,easy
763957,273929,60140,28859,6696,13302,655026,182818,13055,15130,9291,5572,566451,467480,91163,42386,4793,23802,-281238,-103293,29671,-1453,-7974,-1502,41580,-90855,20422,253,-4603,890,difficult
