delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,state
114222,28248,3734,11967,-43167,-13551,-3282,-6245,-111218,-16678,7753,-6556,189584,382875,9238,-4260,227516,32364,32281,6380,easy
457815,134582,41193,10336,-431470,-128915,-38071,-6650,148212,163451,-1324,-3699,-133340,-87758,-28960,-6372,-338507,-110132,-34455,10747,difficult
175743,37366,1069,9369,-164802,-31875,2735,5569,-74325,-21391,9180,-6344,1511156,-20114,19847,-6166,-174955,-33810,-500,-6163,easy
190116,156221,15040,19964,1172469,-3285,16365,-3118,-152550,-110549,-4533,-13632,190528,-134358,17623,-17104,1386005,42995,8995,-11323,difficult
1029774,358094,108196,71225,-78052,-206287,-39654,-66061,-681759,-346153,-103794,-70534,506108,-259406,-101232,-56268,-85533,-156657,-89089,-66112,easy
1193469,457881,95164,31014,-435481,-418574,-88159,-18675,-473517,-342686,-88606,-7644,-1024136,-432712,-90850,-29448,-573569,86600,-65402,59100,difficult
22614,20682,12492,21624,315377,53734,8933,-1360,-13139,-5511,-2245,-5361,48410,-12863,-10948,-20009,52044,-4590,3353,-19740,easy
975102,308082,71235,51117,-821109,-300055,-67153,-48334,-314512,-224709,-54570,-29915,-837671,-285011,-35630,-43957,754791,-192881,5418,-26241,difficult
836707,569144,54672,38532,1391677,385530,23901,4779,330518,-495633,-17684,-26016,-208201,-532538,-40160,-18452,-190836,-354716,-23658,-24381,easy
56375,25439,9825,6170,822226,35470,10101,7115,13382,-7430,-6765,-4804,-53010,17301,-8027,6618,-47509,28177,-2603,3265,difficult
302794,9911,9906,5259,-814,33535,-5822,-383,-294950,4150,-9369,18396,-286809,-1357,-6931,15190,-115265,18466,-7015,-2662,easy
727194,36662,26261,8219,-724309,-27549,-20392,7810,-724138,-31415,-16087,9002,-723528,-33908,-24577,133,-725131,-29966,-23157,-4134,difficult
581804,79449,16419,11383,-564837,-43640,1202,3200,-570508,-63263,-5103,6335,-487077,-69128,-13041,-10042,-535706,-54666,-12003,-9825,easy
297376,50767,12679,3991,212012,39068,-5193,253,-22896,-21522,3484,-2589,-288846,-21536,-9929,13375,353654,356780,16829,12120,difficult
598891,209133,50248,14159,853066,625885,-14228,39966,-112103,-95618,-25203,-1708,-417102,-190828,-45438,-8536,116606,58400,-35597,-1677,easy
777876,389160,25364,22427,-305257,-355743,-18821,-15510,-707535,-340169,-12507,-4403,219325,456673,54654,1757,-703260,-375154,-22469,-17526,difficult
344724,213520,4604,13087,-273132,-193995,6070,-10516,-332838,-199505,6637,-3711,-327844,-197010,7683,-2339,130608,-2731,16608,9214,easy
92781,43357,9197,8746,-10319,-26925,-8896,-8373,-86823,-30221,-3637,2174,-90454,-31925,7012,-888,268577,55558,6592,565,difficult
