delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
193878,52904,7134,10422,13052,8348,448905,60492,9644,16955,15697,7814,-426212,-50194,-6895,-15271,-11816,-4510,16815,13344,-1423,3968,8927,11188,-261091,-31294,-3066,-11471,-11924,-5963,-349622,37790,1345,-3359,4233,1420,easy
110657,68232,8095,17539,5577,6560,633213,42608,19787,5318,6232,5381,-442737,142400,-14884,39053,3074,8681,-595764,-21995,-13456,-460,268,-321,-614500,-26003,-16419,-4885,-5420,-4487,-437224,8093,-2009,15174,-541,843,difficult
905231,239040,56586,25990,15914,29090,940611,36566,4071,10839,8781,9912,-200385,352695,52101,20984,21421,31068,954075,26847,99678,10136,1969,17475,-738815,6627,6256,-5149,-3060,108,-156397,423725,52025,34631,8201,28061,easy
253961,59373,14744,7983,5042,4839,343860,49435,20138,12151,8100,12512,-62186,110364,-1391,-6858,-1765,-9400,-304572,-24514,4736,6490,-1780,-2761,282573,-27836,-9404,-6173,-3111,-7614,-275412,-18261,-15516,-10132,-5575,-10918,difficult
240145,75367,27408,10694,9677,8565,645659,75581,16284,9400,22450,14872,-508139,-7140,5818,10500,-8537,-6845,-595717,25698,38809,1579,-6835,3921,-489470,25553,10297,-1874,-16575,-10139,-28731,-44966,-10429,-5030,-19144,-12164,easy
97153,59225,17556,11288,5474,7907,790927,167656,14946,27796,35083,21738,-661327,-100212,-4865,-19072,-28232,-18342,-660182,-81684,33790,-2044,-28401,-6348,-705497,-126588,-11172,-20387,-30411,-13823,-748090,-125240,-7313,-24528,-31391,-16813,difficult
223051,31541,5762,3739,3246,2256,694763,180498,47325,20716,15582,17479,-658799,-158475,-43823,-15712,-14262,-14300,-642544,-168162,-42710,-16247,-12468,-15135,82540,-96271,-34312,-19599,-13553,-15738,-668046,-172919,-45409,-16349,-9060,-15721,easy
106802,30704,11564,10548,6126,7200,76062,42337,2865,2779,4895,3624,-50248,-6409,8774,21721,1527,12256,-60057,-35115,2269,5314,-713,-796,185307,-30814,-157,-52,-500,573,47958,25804,23911,4093,4611,2270,difficult
127907,42404,4114,21802,3766,6140,430214,72394,29055,16734,21595,13605,-280514,-60800,-26709,-16216,-19624,-12736,-348301,-13377,-22632,15083,-14335,-5831,-399492,-16666,-25026,36398,-17410,-1544,-180920,-29118,-25396,-14995,-19949,-9749,easy
122572,50636,9846,6139,8885,5025,529886,88419,59816,25291,21770,13010,-459217,36200,-51829,-15474,-18589,-10700,-368605,-41567,-50080,-16210,-4712,-2337,-526851,-75613,-43389,-19857,-7849,-7402,-274582,-70152,-54584,-25068,-20392,-11503,difficult
