delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,easy
-2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,difficult
-2,0,0,0,0,0,0,0,-5,1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
-5,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,easy
14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,difficult
-6,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,easy
-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,difficult
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,difficult
-2,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,difficult
-3,-1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,6,-1,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,easy
12,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,5,-1,0,0,0,0,0,0,difficult
13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,easy
-8,-1,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,difficult
0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
0,-2,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,difficult
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,easy
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,difficult
4,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
-1,-1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,difficult
-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,easy
-1,-1,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,difficult
5,1,1,0,0,0,0,0,0,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,difficult
9,1,1,1,0,0,0,0,-1,-3,0,0,0,0,0,0,8,-3,0,0,0,0,0,0,6,-2,0,0,0,0,0,0,12,5,6,3,2,1,0,0,easy
-4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,difficult
-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,easy
-8,-2,-1,0,0,0,0,0,2,0,1,1,0,0,0,0,-10,-2,-1,0,0,0,0,0,1,5,-1,1,0,0,0,0,-6,-2,-1,0,0,0,0,0,difficult
-1,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,easy
8,10,0,0,0,1,0,0,3,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,difficult
8,0,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,easy
-4,-2,0,0,0,0,0,0,-6,-1,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,-11,-2,0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,difficult
-2,-1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,-6,-1,0,0,0,0,0,0,easy
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,difficult
1,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,easy
6,-3,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,-4,-3,0,0,0,0,0,0,-2,-3,0,0,0,0,0,0,2,-3,0,0,0,0,0,0,difficult
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,easy
5,0,0,0,0,0,0,0,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,difficult
-9,-2,0,0,0,0,0,0,-10,-3,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,-10,-3,0,0,0,0,0,0,-10,-3,0,0,0,0,0,0,easy
-1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
8,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,easy
2,-1,0,0,0,0,0,0,5,5,2,1,2,2,1,0,-6,-1,0,0,0,0,0,0,6,-1,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,difficult
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,7,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,easy
-8,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,8,-1,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,easy
1,-1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,difficult
-4,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,easy
-8,0,0,2,1,1,0,0,-9,-1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,11,1,1,1,0,0,0,-8,-1,0,0,0,0,0,0,difficult
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
