delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
735894,112616,82174,56084,36793,53783,47399,30861,153494,9907,139003,-18089,146244,10119,35710,15400,1063431,549624,86459,-37256,136840,67806,-213,33935,361319,18780,-40750,-16617,-13489,-39261,-28692,-14905,easy
632245,31289,7466,9978,3015,8789,7451,4932,488904,390356,193723,28125,23997,105158,23054,26865,161890,47011,54859,13728,424,29258,6930,7481,-435074,18711,13201,69,5247,-3198,132,1249,difficult
1265301,176951,58585,49125,50272,36669,47069,15315,-37330,1440229,93369,176214,1767,36236,108748,70036,120447,10482,50314,26231,-20512,132652,-18882,888,320165,120122,80576,92108,4198,53891,44484,11609,easy
1432371,120739,55121,38631,26176,35478,70714,32843,520634,1162260,258547,16180,4828,73458,-23898,49256,475499,-51320,43658,-26647,16089,5393,-39121,123,-192346,252108,-23213,-32954,-10984,-6059,-57396,-26001,difficult
1759670,198709,65720,100122,25468,60225,30336,42206,-1198786,-167710,-49194,-93092,-20448,-52930,-16595,-32136,-123446,-27670,-18258,-64757,-11300,-38254,-14100,-30522,-1249074,121559,-23042,-36361,-699,-30792,-6655,-12804,easy
426095,120331,19004,18326,11192,15620,21868,9179,416179,-36470,-12193,5686,-5066,3690,-4843,46,1574045,357059,11030,27581,11293,13243,38454,39353,505486,116929,95045,20127,43249,49841,56860,16702,difficult
887939,90109,27686,24945,43849,31783,21818,18299,-74753,-80464,-16326,-19410,-40710,-22073,-16733,-14337,-686475,75473,70363,-19750,-37377,11796,3104,11282,-792855,-85846,-20635,-23881,-43093,-30478,-20724,-17323,easy
975393,226704,73525,81760,43360,26266,15116,14309,-568010,989,2327,-4249,-21081,8417,7437,-2182,480510,237272,121799,41956,-8829,50029,42655,60614,431050,168647,-29169,-28557,97183,-4982,45393,63397,difficult
454521,39505,12770,8850,6299,15356,10836,5456,708083,149566,-1585,11285,17462,6706,3958,13666,989695,9037,12394,-2069,7683,-5569,7117,3406,299437,-16978,-11329,-6879,4280,-7350,7584,595,easy
742079,737640,151667,75252,79993,178245,108463,58210,270108,-433526,-73230,-34126,-41007,-149519,-87176,-42963,-131878,-705118,-134134,-61805,-75855,-163210,-105388,-51932,1141844,-371699,-26996,2547,-59977,-109671,-45146,-18517,difficult
626465,264902,9629,30737,30747,32386,42899,39147,-602885,-261906,-8133,-28772,-24141,-16116,-18479,-34028,-65786,-255474,-3837,-5567,-18850,-12647,-34504,-21380,-379348,-244917,5645,-1484,-24316,-21111,-36705,-35589,easy
