delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,state
994670,85067,24092,18330,276685,151382,10562,46348,-81281,330345,185036,76537,1211086,60344,107907,53128,easy
1291178,258449,17094,65287,-138862,263739,154592,57865,-1209226,-213920,-4392,-43528,-33933,-140511,12898,15273,difficult
560526,31454,7478,3389,2011389,1123097,37127,36222,-458135,12763,769,12482,-330016,52516,-1620,-1518,easy
334453,163832,11661,35768,1215369,69459,84740,-17102,1224189,509134,101604,19514,-172082,-126160,-698,-19667,difficult
644996,103626,19129,19834,230439,-71837,24318,751,398539,371043,63817,20533,-596621,-92846,-14629,-18749,easy
408646,95848,9136,18480,422473,142904,36534,85267,-5969,-62156,3810,3819,-378974,-75929,-5867,-16126,difficult
987236,252508,34629,21314,698520,-186079,-6894,-6626,-956586,-247406,-33049,-20160,-824018,-197396,-29928,-19627,easy
917831,105852,110643,79977,-703077,-35724,-102655,-64288,-725620,-89447,-107980,-76278,-795728,-62316,-105667,-75362,difficult
715830,66767,32333,22743,-188580,-65,-29184,-13981,863438,60999,-3432,2881,963827,96059,45886,19257,easy
975498,255312,50279,36179,998066,-178558,14016,-14896,683263,-177654,-37407,-4852,42991,-45661,40541,-19632,difficult
885766,89685,14196,19553,-602002,-65628,-11720,-16894,353933,64647,56757,-3196,-476095,-71443,3493,-7492,easy
954185,589008,50808,133463,467928,-436694,39250,-65429,-165007,-376970,-23906,-114753,-283945,-548963,-36733,-126601,difficult
977969,204799,25690,37995,-696378,-153494,-12362,-16439,299476,-92232,-3020,12236,-559454,-186825,-17271,-5496,easy
406339,73798,36532,44502,-84014,29571,23277,29985,-23787,43170,-11534,-6919,-83217,-5629,-27974,-39811,difficult
636725,124016,51753,72923,386965,183531,-10676,-52011,1137581,20776,77332,-27164,-529505,-104867,-50478,-69482,easy
1125276,426498,107439,42379,612413,-124187,6355,54216,-54358,-317597,-48957,1130,-725599,-92374,-60261,-33539,difficult
1015541,288527,95459,88237,310708,-120958,-45858,-63022,763977,180669,-24801,-56732,-647654,-266508,-87402,-84835,easy
761555,333573,32760,27968,-500733,-307720,-24643,-11633,1240768,84473,143152,124876,-182603,-273272,-21057,-20553,difficult
995890,85013,35203,17084,1006766,408912,256929,382333,-539881,-62561,-29309,-12594,512743,332882,-18054,-9319,easy
1080950,176577,13426,6471,-734142,-138643,-10031,1034,-679125,-167749,9789,8432,-411651,-24225,111961,22056,difficult
881333,77098,23743,27307,-277876,24860,-5836,-17328,743785,-26329,-11578,-23116,709567,-26698,1022,-11580,easy
838456,216464,45711,55666,1455962,241364,110980,94295,-483712,-89998,-20996,-43244,-302347,-125327,-17713,-38032,difficult
993590,171596,63130,93386,-751725,-141595,-38150,-77390,-784029,-154683,-52994,-78381,998784,33275,-30448,-76649,easy
1351336,206127,25316,24690,161603,162363,102017,-1863,-619297,-107589,5576,-10819,-1042537,162766,24962,4796,difficult
624464,425007,34076,32524,-415861,-388589,-28166,-30468,65052,909230,176516,4385,568828,-345515,-22826,7073,easy
1236212,484644,136757,104842,-643277,-405232,-128032,-98683,-1154319,-392797,-133422,-93215,-591356,-121683,-10086,-81970,difficult
668752,110618,36190,32476,747806,414561,76551,-10193,1986748,-15586,13654,-11862,1072700,942704,-2297,36809,easy
896491,82916,59270,22216,-155878,39985,-3944,11398,1028716,46102,-42341,30519,-716946,-59019,-47227,-20554,difficult
671994,213395,45141,54005,326653,-61993,7557,-38804,3016402,-14189,-32993,64804,736113,767444,39929,118313,easy
1005120,74104,14184,27648,935169,220205,124296,91711,-945377,-25242,-8153,-25791,-820652,-24800,-6665,-24407,difficult
538915,113801,15656,17652,963301,21931,-12109,-6213,847145,-90813,-13435,-12006,-338385,-43050,32582,-13340,easy
183704,19954,7894,4303,93404,144457,36828,27576,430104,20674,23230,-2604,-39315,32503,874,7746,difficult
