delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1187251,191869,94500,50108,24441,16864,14353,6240,994670,85067,24092,18330,7491,5644,1973,2225,-81281,330345,185036,76537,25353,16685,22753,13282,1211086,60344,107907,53128,29657,25053,24555,3393,-622522,-12971,-5829,-5082,2379,-1429,976,352,263040,49490,-5483,2530,10411,4572,1235,-969,easy
466012,73099,15762,31289,13084,8390,3788,2132,1291178,258449,17094,65287,16585,17750,7692,5840,-1209226,-213920,-4392,-43528,-9473,-13248,-1923,-4539,-33933,-140511,12898,15273,20266,-889,-1434,-2652,-1228969,-177228,-13628,-48045,-10669,-11502,-6368,-4040,-828537,-209742,-207,-59692,-14128,-11803,-5890,-3601,difficult
236054,62794,8734,11183,3086,2588,1458,989,560526,31454,7478,3389,2181,1871,1452,857,-458135,12763,769,12482,575,14,-206,-233,-330016,52516,-1620,-1518,-646,-509,-742,-55,-117755,49940,11430,19989,2449,515,1585,750,-391982,10139,-5556,223,1242,2846,-615,67,easy
741676,227142,48961,28604,20428,10129,8600,7108,334453,163832,11661,35768,21500,16900,5709,5998,1224189,509134,101604,19514,-633,796,5444,2118,-172082,-126160,-698,-19667,1625,-12711,1218,-3612,409544,5933,38282,-3661,10702,-4394,8579,8649,167241,-135666,10010,-24844,-15983,-10774,-3678,-2716,difficult
740504,159813,32580,16695,8001,7747,3905,2873,644996,103626,19129,19834,11607,7460,3905,1861,398539,371043,63817,20533,5057,6058,4198,4819,-596621,-92846,-14629,-18749,-10953,-4808,-2380,-700,625612,11680,13540,-4810,-2049,1390,-1484,-131,-45499,-65131,-8923,-9532,-6480,-1493,-335,59,easy
853963,178939,31556,11300,9886,9858,5050,2702,408646,95848,9136,18480,8169,5607,2657,1834,-5969,-62156,3810,3819,1399,3667,1695,908,-378974,-75929,-5867,-16126,-5335,-4694,-2241,-1462,172600,-22046,16457,-13265,-2051,-2183,-931,148,1993610,492495,75278,-3149,12856,20213,11050,3879,difficult
149482,35531,3645,3371,2859,1873,956,628,987236,252508,34629,21314,9519,10013,10359,3366,-956586,-247406,-33049,-20160,-8449,-8955,-10073,-3025,-824018,-197396,-29928,-19627,-8586,-7536,-8794,-2646,-743595,-193419,-30454,-17826,-5991,-8351,-9227,-2727,-826819,-229687,-30504,-14158,-3615,-7717,-9517,-2556,easy
191590,52041,9823,4735,7978,2987,2825,2114,917831,105852,110643,79977,41771,24730,22639,8038,-725620,-89447,-107980,-76278,-40473,-22338,-21641,-7522,-795728,-62316,-105667,-75362,-26156,-22558,-19572,-5167,-756296,-81241,-98965,-74743,-36385,-22078,-16081,-6317,-627321,17758,-90668,-74586,-32157,-19999,-21962,-4692,difficult
1211358,158386,46476,20271,9818,8963,6775,7577,715830,66767,32333,22743,14292,7183,5605,4334,863438,60999,-3432,2881,-2110,7734,-1046,14598,963827,96059,45886,19257,-673,4026,1276,2261,-86182,220041,28470,-18082,-4427,-1540,7765,-1430,241030,-10624,-14353,-13945,-10688,-3100,-3317,-2456,easy
1178209,320720,45428,25375,12945,11421,4011,3561,975498,255312,50279,36179,13937,18045,9532,5874,683263,-177654,-37407,-4852,-3487,-13855,-7137,-3635,42991,-45661,40541,-19632,16602,-5080,-1047,-3592,-345180,-217580,-19418,-25836,-12202,-15249,-6909,-3856,429769,702525,-3120,7104,-4881,7688,-6992,1829,difficult
