delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1003001,78594,42906,55853,28750,16812,13528,2974,-448578,23989,11587,-54058,-21660,-8594,-9186,-1603,-7635,-21773,-21606,-50579,-24613,-8650,-8862,-2010,-584343,440823,40616,-11144,31836,4077,15955,-51,-565162,106124,-38287,-47197,-21498,-11827,-7261,-1044,easy
601436,374210,107450,85217,19551,19247,12918,6534,244566,100681,-421,-63072,-4077,10093,-5338,-1350,462382,-152687,7830,-60215,12777,16566,12152,-2835,-139755,-29029,119494,-64830,22432,-5215,-4528,2511,1177314,-285800,-69668,-43985,-8460,-12480,-10167,-5256,difficult
1174786,507094,145748,150070,88549,59330,16208,9238,-267701,-440063,-136451,-132364,-69486,-52245,-13513,-8207,35074,-350410,-112863,-112448,-42543,-17341,-11647,-5383,389637,43154,722477,-71701,89519,81231,14101,10540,405729,-285217,-102813,-15441,-58611,-35070,-2789,-2989,easy
206927,79019,17918,13847,6136,4687,2923,4822,424492,115923,28185,24619,42263,6699,7253,9196,1117364,218929,2029,6449,11404,5349,2150,-2325,1686884,223758,41504,12454,8847,10150,2142,2586,-54670,-57865,-17749,-12985,-5806,-3946,-2562,-4595,difficult
1546044,295466,97994,119731,63186,35104,10725,7554,-181129,-104552,962,-39711,-47678,-26679,5587,-4040,-1394007,-166299,-62605,2170,-39404,-22749,-3088,-3955,-335992,-215516,32013,-68062,-44155,-17616,-5551,-4055,-64389,-130743,-40149,-89399,-52730,-6939,-4570,-5615,easy
879139,64167,17401,11350,23733,12133,5666,3457,43889,100521,10579,11833,-15460,-8302,2858,375,-806072,-12139,-1037,-996,-20572,-9916,-4543,-2530,-553677,93781,116435,4626,-344,6259,8180,4962,315264,-36172,-6648,10068,-15942,485,-340,-1057,difficult
1534959,226246,70219,117375,42195,43154,12012,6764,-730012,-21894,28696,-23122,-2813,-21580,2343,-2311,-312178,-88044,-55228,-34720,-9202,-16757,-5648,-1943,-877135,-162352,-54900,-88502,-35292,-35530,-8871,-6130,-175597,-82901,27208,-92446,-19973,-23364,-3339,-3448,easy
951513,197537,32076,28237,16309,11277,4296,2584,-805321,-166814,-28338,-25076,-15092,-9707,-3452,-2061,-621520,-90366,-26022,-21061,-14997,-7330,-2107,-760,-478977,-73988,-12024,-24605,1074,-3546,-2790,-1916,-840081,-161326,-21451,-27053,-15375,-9493,-3367,-2342,difficult
372829,151168,17372,12165,11765,8526,2298,2325,553243,68752,45480,4985,-6639,769,2963,-63,1422339,42008,83287,-2751,5418,4764,975,1284,837450,246676,-14863,28593,-6581,-1830,6761,311,496800,-137058,-12500,1518,-6487,-5316,-55,-1451,easy
167780,41745,14442,7245,3197,4252,1289,1012,555554,19446,-9484,21460,4280,6746,3208,2871,-31117,-28409,-13494,120,-1264,-2821,-624,-468,73039,402186,25013,46989,19795,31453,4039,4125,-115903,-28014,-7640,-4598,-1607,-3789,-873,-837,difficult
