delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
550178,119026,21073,22937,15088,23720,12566,7356,-543430,-114700,-12231,-9353,1734,-1585,-4510,-161,-482920,-73695,17678,-667,-5459,-19066,-10067,-3912,897893,-84773,-5703,-5202,468,-13622,-2625,-1508,-319553,-104160,-19247,388,-12304,-16740,-2501,-3138,-491136,-71412,-16473,-21355,-14143,-20348,-9149,-6542,easy
64627,29067,21273,5595,6049,19035,12103,5451,-53597,-9370,-20231,-1038,1541,27916,11891,1527,632823,6665,-910,25631,5257,-13144,-5448,-373,290173,148781,23354,26168,11552,29874,19327,6799,-41818,-17971,-14318,3747,1918,977,6835,18001,280297,92361,-3657,5004,-3098,-7298,-6582,-917,difficult
54624,19956,12470,6635,7042,13413,10817,7922,210974,-5809,2495,9545,858,-3098,9365,-838,608361,4070,-4328,-2487,183,-2432,-5613,-1564,789335,320468,53086,4326,21111,13793,12055,20066,439450,353704,46646,15410,31363,8626,60354,25693,733594,173755,36965,-787,8543,27016,73609,22803,easy
38255,38479,9104,6387,6429,18267,22172,13065,123042,-32245,-571,-1563,-3144,-11928,-18727,-10927,126460,-33552,-7822,-4937,-5150,-16942,-21220,-12364,-33936,-35501,-7460,569,-1254,-13243,-14698,-10805,-29669,-6861,14193,65938,29518,30477,-4134,-5641,593439,23977,1195,2438,-3214,-12023,-18466,-10865,difficult
800379,134800,26481,19006,30969,19723,17944,13877,-608882,-127444,-23487,-17667,-29268,-16128,-16597,-11962,-353250,-101340,-20124,19362,-6816,17845,8695,-4537,-738565,-130211,-24328,-16933,-27232,-15517,-14516,-10735,-672597,-96910,-221,-8545,-23706,-11037,-13759,-10049,171444,20635,32928,58741,-17173,19562,-6437,-689,easy
833370,48478,31803,17818,6521,13180,8234,3612,-681049,22911,-18728,-15313,13905,-6728,-4508,2111,-201313,104316,-6948,4370,-1164,32183,43899,14467,-824458,-38894,-28972,-15686,11363,5830,13935,11064,-817691,-41741,-28158,-13251,9628,26392,31377,14641,-759821,17897,-28305,-9366,4071,-5477,-2086,-1401,difficult
1075393,48575,6272,23222,9908,22952,27014,14863,1686651,68746,66671,6751,5827,53979,4877,-5980,-1072040,-44005,1296,-18645,-6228,17309,21585,8562,-993385,-15357,-884,-9489,2551,-12608,-22422,-12108,-1061408,-33129,-2201,-18688,-8662,-5906,-21335,-12824,-1011398,-44273,-6012,-22616,-8659,-20923,-26220,-12624,easy
188829,130573,38984,16445,9926,25256,7723,10091,22876,-115700,-36757,-14183,-8355,-23023,-5049,-9354,-182328,-125404,-35880,-9132,-6405,86835,11580,218,-186304,-122972,-36025,-10784,-2820,7503,22588,3489,285897,-108180,-31499,-4981,316,9904,13138,1573,-183441,-117129,-33857,7257,-2020,61328,39141,4136,difficult
263304,45371,14468,5378,2494,7796,6885,5192,1515373,100671,4398,5173,5166,4830,4388,1095,-250803,8893,13952,23372,9535,16831,11694,4592,-241091,3853,20267,17806,24812,25683,12879,20490,-191176,-8618,-12482,6294,497,-699,144,-1275,114345,4091,11344,19372,32028,15089,3543,9028,easy
212840,74074,7528,11511,13326,35104,66974,26130,-130258,-50498,-4680,-8774,-11899,-32871,-64460,-25190,-120646,19178,2603,8309,12320,-20612,-31891,-16327,-134172,-44337,-2005,-3998,11697,2180,-52588,-6536,474588,21326,67560,-1679,1181,-24677,-52185,-16652,576881,-43193,3040,-8355,-10383,-28598,-65605,-24564,difficult
