delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
757665,39792,27061,20003,12593,7376,6220,4646,550178,119026,21073,22937,15088,23720,12566,7356,-482920,-73695,17678,-667,-5459,-19066,-10067,-3912,897893,-84773,-5703,-5202,468,-13622,-2625,-1508,easy
526125,106790,32495,31495,14454,27400,19043,8664,64627,29067,21273,5595,6049,19035,12103,5451,632823,6665,-910,25631,5257,-13144,-5448,-373,290173,148781,23354,26168,11552,29874,19327,6799,difficult
753472,182225,36849,7555,17689,19094,14038,17173,54624,19956,12470,6635,7042,13413,10817,7922,608361,4070,-4328,-2487,183,-2432,-5613,-1564,789335,320468,53086,4326,21111,13793,12055,20066,easy
84517,3953,1463,4203,3227,3175,4213,1481,38255,38479,9104,6387,6429,18267,22172,13065,126460,-33552,-7822,-4937,-5150,-16942,-21220,-12364,-33936,-35501,-7460,569,-1254,-13243,-14698,-10805,difficult
254472,19025,4255,20221,13945,20887,15034,6241,800379,134800,26481,19006,30969,19723,17944,13877,-353250,-101340,-20124,19362,-6816,17845,8695,-4537,-738565,-130211,-24328,-16933,-27232,-15517,-14516,-10735,easy
320485,81189,13843,12160,11621,32187,37151,16378,833370,48478,31803,17818,6521,13180,8234,3612,-201313,104316,-6948,4370,-1164,32183,43899,14467,-824458,-38894,-28972,-15686,11363,5830,13935,11064,difficult
42681,18894,6478,9155,8070,25303,26596,13090,1075393,48575,6272,23222,9908,22952,27014,14863,-1072040,-44005,1296,-18645,-6228,17309,21585,8562,-993385,-15357,-884,-9489,2551,-12608,-22422,-12108,easy
4513,6385,3032,6487,5314,72425,24807,11945,188829,130573,38984,16445,9926,25256,7723,10091,-182328,-125404,-35880,-9132,-6405,86835,11580,218,-186304,-122972,-36025,-10784,-2820,7503,22588,3489,difficult
17357,51744,31578,25967,19668,29053,19172,17733,263304,45371,14468,5378,2494,7796,6885,5192,-250803,8893,13952,23372,9535,16831,11694,4592,-241091,3853,20267,17806,24812,25683,12879,20490,easy
85431,61495,7827,13667,25335,25888,24735,14699,212840,74074,7528,11511,13326,35104,66974,26130,-120646,19178,2603,8309,12320,-20612,-31891,-16327,-134172,-44337,-2005,-3998,11697,2180,-52588,-6536,difficult
