delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,state
88590,18799,5420,2807,189564,16706,13833,156,259124,39234,7378,15605,-88086,-10752,1977,895,21917,-3061,5523,1532,723221,24645,22875,9330,easy
113496,48849,12546,6795,-45161,1062,-11916,1005,-82022,-36761,-11553,-2228,-63964,-38512,-10542,-3916,-101676,-39080,-10819,2131,-58846,-545,-6621,3714,difficult
144867,41773,11493,10179,-120953,-31959,-7233,-5570,-16219,5651,1549,-4058,-10258,-32041,-9761,-9287,-107295,-32027,-9153,-6284,-105303,-26980,-4910,-2923,easy
114914,24976,8848,7061,-103345,-21480,-8523,1019,718988,54385,1458,-5192,428490,690954,332354,30875,327510,-16202,-2621,-3065,-80599,12087,13591,2685,difficult
270762,54909,5624,7019,-244543,-50374,-2459,-5202,-262947,-46882,1351,-2572,-263487,-43634,-2074,-2828,297209,27153,-2651,25,1526398,106832,16045,3094,easy
184713,57199,10962,8680,863595,-18161,34841,46450,2085866,165791,7105,37951,-177898,-34911,-10670,-3093,-84242,-17545,-10896,-4307,830939,73885,14904,5642,difficult
255310,60871,14602,8893,-188027,-7451,1530,366,1860400,51307,-1127,8923,-246812,-58007,-5162,1180,-196302,-44875,-13972,-8172,-173797,-48112,-13090,-7507,easy
260087,106526,10921,9943,-62123,-95480,12559,-3621,-121067,-99459,-7070,-9304,-242818,-85248,-8723,-5506,-227955,-83342,-9056,-8722,356746,-100852,-5934,-4684,difficult
595713,42138,11775,12407,-91168,105820,20384,41943,1064886,157646,46347,-33,-589710,-30654,-8855,-9906,-592455,-40578,-65,-8080,-421543,-16595,-7551,-2673,easy
1022756,130825,35480,9602,-944284,-107473,-28614,-5381,-906473,-114049,-22824,-6031,-1012145,-124785,-30943,-5161,-924802,-79025,-34078,-8196,-1000951,-127308,-34655,-7498,difficult
144707,50376,13157,21663,169887,40967,-10543,-14367,-80768,-48903,-12929,-19212,51133,-18305,-4817,-21025,-122818,-39251,-6594,-17356,-91517,-22595,-5309,-19930,easy
85288,22912,4556,4781,-57276,-17500,2189,742,-70711,-16362,2011,3046,12459,1439,34250,40197,-68498,-6853,432,-3336,-54124,-2273,-2790,-3790,difficult
56802,30636,3343,3999,43229,-27210,-1083,-2884,-10929,3488,5545,2725,-46858,-26418,-1487,-3042,-35810,-27960,1157,-1430,-17660,-17643,-285,-3219,easy
88418,25096,4118,3372,-78062,-19989,3187,189,-83576,-17833,6381,8296,216508,47975,-198,-1106,-84568,-22222,-3777,-1305,772241,45478,29011,17002,difficult
155026,58226,6110,17806,-150017,-56915,-2092,-10194,-137524,-47108,1896,-14611,58313,13036,-5089,-13850,72461,-39344,-4128,-16449,-138849,-35868,-5206,3752,easy
273619,40523,6060,7145,-260240,-36912,-4081,-3800,-106574,46555,-412,11,-255295,-26575,-4455,-4731,1161988,576692,57316,51365,-119655,-6595,8555,-1810,difficult
460314,66034,35572,15829,1171255,31380,14154,23416,-454833,-59778,-35071,-10612,-458599,-54449,-31716,-13983,-458707,-59041,-31109,-9803,202321,-12073,-32494,-12765,easy
819749,128431,9758,9030,-764561,-94358,-584,2765,-779615,-117206,-5922,-3949,-811580,-90948,-4600,58824,-795561,-102729,4207,1881,-792993,-78232,-5200,4424,difficult
107534,38601,5620,3961,-103247,-21394,-1920,16320,-52444,-16155,18218,9052,-49010,3807,5269,15878,36605,-8481,12069,787,-97211,-18770,12378,3587,easy
110853,10848,6238,2948,-70210,19949,-3641,1658,16802,33017,12126,1930,-106806,-7515,-5507,870,-105743,-1654,-4464,1490,-67735,1487,-950,-521,difficult
67081,31530,13673,11322,757541,189663,20162,33132,630411,27105,-10883,1224,-56004,-18057,-10209,-7958,861255,48549,-5436,63758,2633,-24380,-10928,-10129,easy
344183,63808,10177,5494,-166827,-58853,-9437,-5006,-338243,-63030,-8867,-4294,-342126,-56500,-7084,-4032,168635,-28379,-5911,3547,-318800,-51132,-8364,1629,difficult
122068,118897,10884,24322,48872,-103722,4611,-18217,-52725,-99530,-7697,-2521,-117871,-116443,-7774,-17336,114951,-71275,-3492,-20401,553268,-20556,13224,-16476,easy
49540,12370,4370,4754,778241,11086,9004,5806,-45964,-9750,-3066,1152,35701,35987,-3239,-2396,257634,-5194,-1513,713,36261,14569,-2724,-704,difficult
19462,8984,7094,4139,1519660,101580,-3961,4141,-13100,4855,2229,1397,-13692,-4116,-617,6786,29030,24854,-4010,660,122887,17081,-2624,7149,easy
294582,23712,16803,3836,-152994,9581,-7955,7835,-276634,-21623,-15766,-2135,-291876,-14622,-11792,22941,-104064,1688,-15345,-2079,81555,-951,-9261,2580,difficult
776102,101139,15264,13585,-727382,-99676,-11684,-11910,-730132,-67815,17046,-2151,-745291,-61127,-11468,-3486,96038,-64279,-10973,-12197,-737528,-92293,-13259,-10979,easy
45430,29428,5932,20210,116563,-25305,-2422,-16585,-40648,-16508,-1413,-17137,-42758,-23275,3130,-15066,241236,7289,3017,-13323,-27502,-12570,970,-14279,difficult
125873,18156,5543,5430,69580,12957,13392,-726,-121734,-10787,-3253,-4665,-117869,-10241,251,-4461,2577099,17076,32294,36417,61502,153286,27962,15792,easy
242578,24047,16384,12649,1452288,39060,19772,-3579,-224096,-15633,-11181,-9585,-201569,10275,-16039,-10789,-52159,13297,-14665,-1261,-140020,43393,-12166,-8854,difficult
297614,27383,3960,10141,592730,72567,18933,17325,-86800,-1063,13472,-6479,-202800,8037,2552,-5012,820003,101070,41907,113771,-160436,11059,-2156,-7512,easy
112981,42777,7552,7961,54812,-21393,-2780,-5462,-73935,-35923,-2676,-6171,-109571,-30669,-2284,-5480,-61660,-39536,-6658,-7844,-61660,-39536,-6658,-7844,difficult
50881,40453,6876,3719,179131,-6292,-1481,-1507,888568,350075,7377,39917,-41487,-20318,-2557,11646,451764,57898,-3117,1565,368328,-15964,4305,57312,easy
177640,49113,4212,2144,508425,-23662,12261,8769,-164211,-45884,119,-1257,-173032,-38227,1368,-947,-140017,-8675,17114,3207,-129055,108982,7134,-1004,difficult
87064,29578,9462,14869,-5344,2452,-4556,-14099,540087,17579,9679,-11195,-80413,-15738,-4061,-8353,-15383,-2186,-1732,-11490,-30517,-24416,-2542,-10688,easy
397929,64818,16945,8530,131385,128013,-2289,25986,-170105,-48332,7996,-5120,-393600,-61653,-13184,-6913,-311531,-60123,-12752,-7584,-351688,-52104,-13505,-5870,difficult
180035,32798,16093,23628,546242,51906,-10651,28672,-170992,-14940,-10366,82098,-88061,1714,-9277,-11903,320021,66938,23881,-16695,88893,-23729,-13143,-22538,easy
470623,55444,3314,13261,-465362,-49478,-1730,-6519,-225766,19353,4635,-2571,-459966,-52860,-2099,-11856,-453644,-28555,7597,-5019,-378454,-32961,-1598,-12089,difficult
351742,44694,8673,10388,452122,156784,7009,3594,-332178,-40921,-1121,-7919,-222045,-36666,-833,-4038,-336217,-28392,-4755,-9167,-155934,2346,-5382,-7962,easy
339015,71327,22983,6981,-310631,-16128,-17375,-3073,-324113,-43048,-16076,-5370,-323556,-50515,-8248,567,-248915,-62855,-20215,-956,-328342,-43348,-2146,11500,difficult
634403,81215,38179,7820,-556565,-25105,-31109,-7134,61511,5822,-21235,6156,-608776,-60047,-28152,-5959,-598366,-42064,-31357,-5213,-608564,-43119,-36298,-7002,easy
79963,41414,7344,10735,1533709,268393,14961,27343,-70859,-23018,-651,7127,38937,420,5580,11015,-52727,-8982,25768,4508,58896,16452,917,-3123,difficult
535255,484902,95450,47272,-353084,-474583,-83334,-41677,-531817,-483287,-92471,-45315,-524092,-481719,-93085,-39241,-467228,-455885,-92504,-44281,-329673,-440722,-93499,-39755,easy
327966,23463,8231,6507,1047776,169731,147656,29363,-323146,-11244,-3839,-4992,-319097,-19747,-5807,-4276,-284224,-16527,-7729,-6113,-320735,-18407,-5493,-5368,difficult
146867,22147,15030,10246,272459,211,-9551,-7229,2269651,124744,-1987,-1866,-136006,-21159,-12308,-8683,25747,2444,-10015,-9363,-101474,-8294,-8957,-7015,easy
