delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
753908,102896,39466,25392,18374,27982,-672240,-82772,-654,5778,-2538,16107,-751449,-99440,-31468,-19493,-7314,14660,-708002,-42961,-7233,6639,-10262,7614,-699000,-68428,-2046,-15257,-6675,32231,-745570,-94308,-2521,-1944,-14879,-3006,-79209,43447,9002,-46570,-16668,56479,-25467,-25880,-30814,24235,5187,-475,-25271,26132,-21896,13313,-4776,-2948,3587,-8204,-1447,-7046,24617,-35237,easy
250083,87512,25881,44519,13705,47155,-130805,-78420,-23043,-39182,-4793,-37686,-169687,-42632,-4784,-21928,37851,-8704,252245,12247,-14918,-24957,-4506,-35812,671077,-34346,-20801,-42104,-6988,-41316,1430959,182109,17453,29690,9321,-868,-38882,421932,418832,759882,35788,54879,-46593,216455,18259,-10134,-5883,38254,17254,-3029,-17147,71794,42644,-42357,-2482,16309,28982,-27108,-5504,40448,difficult
23711,28676,13077,5993,5791,19462,-20519,-17504,-5288,1838,-1818,-1814,460815,201132,40925,124242,17277,14275,54587,8268,-8828,3311,12823,26443,6583,16081,-4861,8548,2989,6766,-7157,-13843,-9200,-1383,3715,-4736,481334,-406228,-48004,-13740,218636,-192864,7813,-29924,46213,-49753,3967,-4339,122404,-120931,5237,-9931,19095,-4454,-9834,726,16089,12168,-19677,-11502,easy
1213497,104339,23329,35689,34816,34002,-1164010,-55066,-14828,-31927,-30633,-15285,-843761,13628,1646,-20222,-30312,-11952,-1072687,-39838,-11243,-19060,-1172,42300,-575879,-16522,-15705,-22970,-18573,-25297,-959097,-78004,-11929,-28331,-29383,-27906,320249,-228926,496808,-383218,68694,-53466,23316,-61482,16474,-12889,-4462,3776,11705,1162,-3910,-5361,321,29140,-17401,-10810,3333,54252,-67597,-2609,difficult
481894,92578,14971,27931,20698,22584,89695,-42154,-6586,-16275,296,17670,-162890,76744,-7865,-14608,1465,47304,-387102,37498,-11376,5898,9926,-8300,76920,-36515,1392,51020,33824,-5554,1196487,247009,73258,-7681,22656,7822,-252585,-224212,464022,1119567,118898,-39246,-74013,283524,-1279,-3511,12768,71866,1667,20506,45122,-58701,1169,8461,23898,-11168,29634,-55604,2746,13376,easy
403684,295708,65556,27953,40067,47246,379113,-130403,134442,65580,23377,-11809,326070,-242749,-58627,-23274,-31102,-44306,161953,-242853,-21060,-18566,-30678,-27875,1024606,-191545,-18536,-10637,-22235,-34684,-387766,-288128,-47202,29662,-26761,-19347,-53043,-164117,862653,-1412372,-112346,-104,51308,-96583,-193069,37567,2524,-28666,-88854,4708,7929,40299,-54479,424,8443,-4526,-32497,16431,-6809,15337,difficult
908858,86229,31659,25099,17649,17850,99297,-69996,-27727,-23528,-7327,-11144,-819414,-36416,-26258,-19141,-12268,-11949,-775241,-70475,-30280,-22662,-10515,-12849,-718618,-10047,-28829,-14324,-9429,-11281,-692233,-39540,-13915,10494,-5914,18279,-918711,44173,56623,26385,33580,-34059,60428,-29493,1469,-4022,1451,14914,4387,-3521,8338,24818,-4941,1753,1086,3515,-805,-900,1568,29560,easy
65239,23467,5305,2858,9640,8969,-42947,9874,1685,14934,8905,7605,-22671,-17060,-355,3466,-501,22058,-49034,-11220,10297,22302,-2495,23468,-40316,-17531,56,5079,46994,3279,-46323,-7470,-150,2970,24273,5313,20276,-26363,8718,-6007,-26934,5840,-6311,10061,-2040,10652,-10241,-206,-11468,18836,-17223,-2109,-9406,-1994,49489,-22721,14453,1410,-20189,2034,difficult
398931,175928,15591,24473,22962,21361,-371079,-150407,-12954,-21969,-11292,16050,-99606,-156433,-10301,-23090,-19976,-13811,-373028,-161896,8152,-17109,-5007,14284,-361710,-168778,-3512,-19618,-11307,-510,-387345,-151107,-4718,910,-6510,5115,271473,-273422,11318,-25635,-6026,-5463,-6882,17671,2653,18453,-11664,-1206,-1121,5981,-2509,20528,-8684,14969,-6300,4797,-29861,28095,-14794,5625,easy
91103,30893,6240,3693,6742,12879,-52769,-16950,2230,-2825,-386,-4306,394984,285358,117855,117436,23668,63651,780847,59690,-4377,-2217,-2044,-978,1527886,105854,92408,49441,20978,3880,-24346,911,2003,3041,789,-2613,447753,385863,747039,-1552232,302308,-225668,46164,-104943,115625,-122232,96785,-90405,120261,-119653,51658,-46400,24054,-25712,23022,-20189,67957,-64629,4858,-6493,difficult
