delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
229154,42616,10989,13534,9101,14129,13481,5657,-97620,-26867,11011,-4316,-4637,-11486,-9770,-4126,-207988,-28205,3994,28023,10077,-5889,-9503,-3138,easy
75428,34826,9439,4965,6793,6985,6078,3409,267423,44512,70405,36154,50104,10035,6119,4172,-17368,7260,7307,7745,3981,5303,609,-275,difficult
1325889,148451,31197,86484,32647,14334,10594,19772,-1188068,-89577,-20298,-55382,-29250,-13430,-9412,-19022,-1272091,-128540,-27187,12458,-28544,-1587,-4684,-16980,easy
317199,128494,31536,93605,14736,16170,7952,7082,-290477,-73614,-19297,-33649,872,-4746,-699,-2628,74675,-59912,68127,-33836,690,-3678,4501,-3328,difficult
245487,39639,13965,34487,9090,12914,13016,6024,-158725,-35172,-13416,-33426,-7841,-11673,-12804,-5605,1079569,30252,-3752,-25638,-6655,-10785,-8050,-786,easy
199871,35574,15077,29276,12480,9195,5171,3601,-129796,3025,29458,68482,2873,5493,1628,-509,-179342,-6283,45499,57401,-6469,-5033,-537,537,difficult
631129,379792,42651,50375,58540,34607,13411,7919,-504941,-273933,26428,78323,-4859,1512,-6331,-1215,-193946,-167600,47228,7931,26346,-15238,-8544,1252,easy
734316,74239,22539,64686,17069,11683,9634,7819,-711996,-53093,33993,30821,-4825,-3511,-2781,-1345,-630175,-53381,-18423,-36284,-7507,514,2256,1935,difficult
133534,42241,15415,7343,12809,6803,4042,3649,-111959,-29003,108964,12962,-10011,1022,4838,3830,-106964,-15913,12229,91822,-3665,-105,-937,-327,easy
109272,44601,1618,9699,12321,5484,2159,3832,-96699,-27852,16369,64381,1996,1459,2923,-1369,-97577,-28124,859,45611,-5214,2408,4530,611,difficult
392570,194059,28558,16740,22237,13799,4102,3426,-273256,-152084,-17476,-16026,-19347,-11755,-3403,-2924,-369489,-164053,14011,-8515,-11804,-10735,1326,-1128,easy
356201,78795,9164,15096,3356,9551,4884,3277,-339453,-74110,12980,120427,25349,5526,-1116,16782,-260384,-60803,2456,-214,-328,-7306,-4255,-2204,difficult
1107824,121060,34137,20711,24728,16856,7829,8380,-846758,-101096,-20403,12050,-9565,-8680,-2190,2560,-1030132,-109462,41828,59045,-17293,-4563,2874,-2701,easy
197575,104183,23087,13231,8520,6530,5377,2645,-182827,-89207,29069,213907,8454,6307,-684,3000,-183361,-91421,64,69863,7983,3408,-2732,542,difficult
342534,97259,55554,58912,19811,12440,6576,9069,-264071,-89176,-13080,-28423,-18033,-8552,-4033,-7937,-248839,-74108,47135,-12653,-13905,567,-2730,-5013,easy
294102,20280,13960,22482,7753,9189,3796,4890,-65127,3251,-8650,-19396,-4761,-5921,-2833,-1362,-281884,33720,15611,-2147,5366,-5034,4483,-758,difficult
126984,77335,15893,8555,20492,16679,10688,11111,-115804,-61897,58822,56836,-6836,-7232,-7454,-721,-90887,-49215,18406,108096,-14262,-4783,-7366,-8631,easy
344464,63997,4243,35649,7020,8779,4709,6399,-305031,-8915,83043,-1991,-693,-2837,-1958,-128,-328244,-38079,91720,112334,6439,10312,1551,-1580,difficult
46083,7427,6919,6824,6341,4106,4087,1150,89331,59015,3138,3433,383,-2486,-3285,287,-31895,6770,38912,47666,-804,2558,2031,4091,easy
281329,124362,31327,33063,75300,31460,6131,5816,31760,42248,-11389,34298,-53524,-23122,3402,10933,-249361,-62330,1936,-3026,-73845,-20070,815,9366,difficult
154920,21322,4716,6554,6422,5155,4859,1875,-59104,1999,82168,89429,1789,8886,3261,728,-148046,-8900,24011,96466,-3273,14464,-811,2625,easy
912407,32354,15785,26816,9400,4517,3990,1825,-881894,-11845,15623,211012,11434,2327,-709,6251,-867790,-25387,33609,-11807,1278,2789,1790,1848,difficult
40379,16366,11519,44752,9484,10648,5912,6600,2471,39988,81242,5406,-5454,-4106,4590,2298,-6363,-4921,-4416,2620,-4941,1997,-1400,-5302,easy
345461,60729,17363,55247,14673,9363,8142,4227,-162850,-34457,-11746,-44534,-11991,-3606,-3812,-608,-108347,-15356,-12684,-37628,-11396,-3608,-5231,-2024,difficult
417320,59295,21743,23507,11201,11434,3250,3348,189214,129040,3006,11938,23363,-3101,-690,3736,-268764,2060,-14153,45425,-2420,-3877,920,-221,easy
274311,58590,15161,36671,12888,9482,5156,2808,352618,118044,-5110,-29163,-8892,-6973,-4124,-613,46806,-4400,630,-5754,-2588,-3459,-1241,834,difficult
185165,36140,10421,20109,7925,9668,5225,3120,263111,-16402,1057,-15708,2923,-7292,-3437,-1196,511993,13249,6220,682,-1961,5059,-366,3409,easy
269353,102557,34613,55089,12321,14505,3674,4317,-236185,-85940,11452,-5684,4693,-3767,735,-1601,-230457,-86666,32445,32378,7241,-8118,-2548,-1706,difficult
348894,45254,13312,19738,23731,13557,3059,3936,-257204,5907,-12202,-8822,-16193,-7685,-1359,-2054,-241837,-37051,-12749,-16307,-22863,-13154,-2568,-3577,easy
145422,59949,20865,25423,15525,10928,3790,3183,1295254,-19990,-14458,-16708,-10174,-5849,-1895,-1580,-63079,-29860,-8480,27356,-8724,-4177,2333,3304,difficult
1262233,142882,44319,26053,51487,19994,8449,4910,-786044,-49922,67350,-5428,-22621,-3147,455,914,-425980,61285,114850,28000,-30092,41978,3495,-1219,easy
682096,249002,10719,61537,19675,17839,8580,7912,-266667,-191989,-4464,-14543,42619,20851,-1274,6047,-324351,29328,1904,-53107,-2309,19164,-2989,3121,difficult
177266,32234,6842,19044,8578,7195,4211,2230,-56439,-25813,-5811,-18509,-7770,-6781,-4076,-2075,-154629,-26316,4973,-17318,-5960,170,-1982,2693,easy
334430,50354,13705,22838,8782,10737,5606,6484,-253501,-27967,-6980,-18893,-4880,-7958,-4822,-5307,-264743,-17000,5399,8209,-5239,-8007,-4196,-6125,difficult
