delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
346679,23132,31336,16863,12609,19259,4017,2954,-334415,-10232,-26048,-14637,-8279,-4571,2215,2413,-342057,-10454,-22833,-13116,-6672,1049,459,3445,-134381,2575,-23632,-7465,-1147,4210,4399,2965,-343506,-18958,-26746,-15073,-11886,-7394,-1169,-1045,-287469,34467,-15370,-11170,-10963,-3941,-823,-1478,easy
47085,9281,8277,4037,5535,7583,2238,2308,102691,67463,55831,64618,-2268,14814,917,144,-35293,6876,24276,130914,5614,18543,672,-353,15937,11679,52692,36037,932,2273,-783,1353,106609,78647,21649,510,4057,-2600,870,-1188,1723363,564780,44627,6574,29445,10826,14791,11895,difficult
150691,38372,20154,7620,14789,12584,3805,2067,-134511,-27972,4390,153605,-9529,23326,-1619,533,-142681,-25890,79532,92233,1745,11767,-1319,9,-148773,15007,22688,180690,-8463,29036,-1114,-338,-136714,-7306,1063,72627,-1891,6086,-164,-1352,-135603,-17487,-16474,-1782,-9382,-2505,-839,-783,easy
396588,34893,8139,7642,6137,3368,867,558,52672,-11055,-2969,-4311,-900,-2089,-523,-196,-390699,1064,23595,210206,8439,4940,1348,766,-367506,-4700,66514,151362,5171,8130,8551,1596,180429,-4932,91320,118746,14213,12208,3434,834,-388581,-3064,71981,114026,19250,11242,3347,1945,difficult
219759,39922,6215,9968,7815,12457,4017,6409,-211071,-23441,29994,100013,6667,697,288,-4546,-191658,-26029,51013,78594,-251,3906,1699,-5350,-163776,-9817,10834,166537,-2513,2584,-2503,-3193,-155694,2653,24176,46477,4773,3957,223,-5082,-149835,-26934,15041,10840,-814,-4333,332,-3031,easy
164817,13045,49967,77370,7156,7225,2495,2386,-77291,17015,-42942,124777,2216,26061,4193,1962,-124776,39744,-47058,126381,22487,-1191,-440,2,-146690,1967,-36713,19380,-2747,6993,4741,-126,-114914,17350,-44543,-51299,-4573,-2342,-2015,-1356,-120995,18750,-34871,-70714,-4604,-4783,-1018,-1096,difficult
23889,19719,15250,68685,10445,14671,4179,1394,-19620,759,-14709,74259,68,-4907,-1581,-527,-21460,-14358,111019,55412,3807,7096,-569,1206,575215,3485,30933,16565,9803,-2125,-1006,610,66475,92178,4137,-43422,15740,17935,14539,5633,1254576,160924,20963,-61163,4932,24461,15231,17017,easy
214638,36526,30392,68495,17896,13010,3336,4012,202662,53473,34815,141309,-3430,17729,862,-3093,-207591,-16174,77190,77293,12673,2644,5093,-1105,-186893,-23003,59453,173506,26379,5837,350,-890,-201733,-26328,-11752,-64216,-15956,-10427,-2371,-3635,680051,32922,-2473,-30579,-13330,1510,-293,1263,difficult
129744,54667,31905,37933,13418,17175,2252,1468,293763,-11335,-25373,57462,20324,-1139,-115,-93,-110381,-42201,50528,42857,-5422,-3551,-385,29,-112683,-8898,7085,167687,-57,8937,1602,1491,-124130,-41034,18917,62382,4464,-3768,1181,694,159612,11612,-14694,24357,-2854,14185,2485,1373,easy
83916,20111,27885,36296,5794,7842,2258,1630,-71855,-15649,-10528,-27967,-2533,-4419,-1856,-1113,-75466,-15799,33199,5293,-1102,8852,2499,91,-66704,19667,21294,44515,8016,8059,1036,-260,-69314,5011,796,23471,465,282,430,-1015,1344929,124401,14116,-810,6264,14832,9675,6708,difficult
