delta_c1,delta_c2,delta_c3,delta_c4,delta_c5,delta_c6,delta_c7,delta_c8,theta_c1,theta_c2,theta_c3,theta_c4,theta_c5,theta_c6,theta_c7,theta_c8,lowalpha_c1,lowalpha_c2,lowalpha_c3,lowalpha_c4,lowalpha_c5,lowalpha_c6,lowalpha_c7,lowalpha_c8,highalpha_c1,highalpha_c2,highalpha_c3,highalpha_c4,highalpha_c5,highalpha_c6,highalpha_c7,highalpha_c8,lowbeta_c1,lowbeta_c2,lowbeta_c3,lowbeta_c4,lowbeta_c5,lowbeta_c6,lowbeta_c7,lowbeta_c8,highbeta_c1,highbeta_c2,highbeta_c3,highbeta_c4,highbeta_c5,highbeta_c6,highbeta_c7,highbeta_c8,lowgamma_c1,lowgamma_c2,lowgamma_c3,lowgamma_c4,lowgamma_c5,lowgamma_c6,lowgamma_c7,lowgamma_c8,midgamma_c1,midgamma_c2,midgamma_c3,midgamma_c4,midgamma_c5,midgamma_c6,midgamma_c7,midgamma_c8,state,answer
-463358.4418,-302822.4418,620294.5582,-284867.4418,71620.5582,1210257.558,-320055.4418,-233229.4418,-106589.088,-85106.088,-36355.088,-36365.088,27606.912,87224.912,-99492.088,-77125.088,-21452.15777,-19623.15777,-8903.15777,12060.84223,-20641.15777,-16687.15777,-22389.15777,14496.84223,-17056.03201,5724.96799,-5794.03201,-8624.03201,-11345.03201,16316.96799,-18719.03201,23480.96799,-14561.60134,-7702.60134,-172.60134,-8144.60134,-7711.60134,-1998.60134,-12535.60134,-3776.60134,-16186.72334,-2625.72334,-7562.72334,5040.27666,-9022.72334,-564.72334,-12650.72334,-1610.72334,-11800.10835,-6964.10835,7963.89165,4270.89165,-7157.10835,3266.89165,-9861.10835,-3211.10835,-6417.126424,2849.873576,-2610.126424,-255.126424,-4848.126424,-452.126424,-6639.126424,2697.873576,easy,no
31140.5582,-447575.4418,280362.5582,-213521.4418,-503.4418,308866.5582,881205.5582,-408232.4418,-67579.088,-57870.088,-51509.088,-55542.088,11328.912,-67330.088,226802.912,-76482.088,9187.84223,-20810.15777,-22162.15777,-19794.15777,-19443.15777,-21418.15777,-648.15777,982.84223,-3316.03201,-15284.03201,-15493.03201,-10475.03201,-4048.03201,-17209.03201,61523.96799,-12516.03201,-4930.60134,-4260.60134,-8539.60134,67.39866,-5318.60134,-10799.60134,9415.39866,-10044.60134,22459.27666,-10410.72334,-13188.72334,-2469.72334,-8987.72334,-11909.72334,-123.72334,-11369.72334,8807.89165,-8564.10835,-10391.10835,-1806.10835,-6707.10835,-6653.10835,21441.89165,-5201.10835,5989.873576,-2231.126424,-4331.126424,-956.126424,-2313.126424,-6180.126424,6430.873576,-6924.126424,difficult,yes
-317311.4418,-369879.4418,87871.5582,-457029.4418,-487448.4418,-477349.4418,-353041.4418,1064257.558,33354.912,-105583.088,138994.912,-66438.088,-107294.088,-74124.088,-78625.088,-9612.088,-22129.15777,-22067.15777,2018.84223,-6227.15777,-25259.15777,-19227.15777,-14842.15777,11934.84223,-18745.03201,-19797.03201,13650.96799,-11296.03201,-19520.03201,-16693.03201,-16001.03201,-15565.03201,-5292.60134,-14188.60134,28374.39866,-11908.60134,-13829.60134,-11653.60134,-12859.60134,-5689.60134,-8966.72334,-14730.72334,11428.27666,-15375.72334,-15466.72334,-9788.72334,-15685.72334,7681.27666,-9127.10835,-11476.10835,6064.89165,-11141.10835,-11672.10835,-6729.10835,-11352.10835,5123.89165,-4803.126424,-6431.126424,17355.87358,-7029.126424,-7308.126424,-2696.126424,-7403.126424,3106.873576,difficult,yes
-281412.4418,-104171.4418,-263026.4418,986282.5582,-339391.4418,439957.5582,2141674.558,-440409.4418,22271.912,248862.912,49977.912,-66571.088,-76309.088,204024.912,101666.912,-105587.088,9888.84223,78041.84223,5077.84223,10446.84223,-1443.15777,-16334.15777,270063.8422,-17033.15777,-10758.03201,16025.96799,700.96799,26803.96799,-1359.03201,2324.96799,73103.96799,-8124.03201,-11413.60134,14.39866,-8621.60134,-3833.60134,-12484.60134,3850.39866,48243.39866,-11491.60134,5324.27666,5075.27666,-5241.72334,-4722.72334,-10040.72334,7828.27666,128206.2767,1998.27666,-598.10835,12995.89165,15084.89165,-3027.10835,-10139.10835,22225.89165,21829.89165,-2272.10835,169.873576,9104.873576,3610.873576,5956.873576,-6921.126424,7588.873576,24378.87358,1736.873576,easy,yes
-350636.4418,-394357.4418,-409044.4418,-483446.4418,-340264.4418,-257905.4418,-386149.4418,-298794.4418,-96294.088,-73227.088,29491.912,-96841.088,-32231.088,-73908.088,-104056.088,-27690.088,-20560.15777,-15481.15777,44581.84223,-24469.15777,-10780.15777,-25248.15777,-19697.15777,-16743.15777,-17854.03201,-18526.03201,3034.96799,-7930.03201,-15984.03201,-14058.03201,-15778.03201,-2002.03201,-13321.60134,-13347.60134,17364.39866,-6039.60134,-11080.60134,-5177.60134,-13944.60134,-3935.60134,-16475.72334,-8851.72334,3633.27666,-7924.72334,-9341.72334,-13863.72334,-10980.72334,-7757.72334,-9270.10835,-6859.10835,5728.89165,-7661.10835,-6931.10835,-6145.10835,-9395.10835,-4432.10835,-6728.126424,-5925.126424,2588.873576,-3691.126424,-434.126424,-4004.126424,-5848.126424,738.873576,easy,yes
-384075.4418,-273438.4418,959482.5582,319099.5582,-240958.4418,247393.5582,-319856.4418,-422684.4418,-52937.088,-29940.088,493280.912,80105.912,-96775.088,46455.912,-80021.088,-99837.088,-18263.15777,-5531.15777,102044.8422,42066.84223,-19480.15777,5178.84223,-9711.15777,-23973.15777,-16201.03201,-16866.03201,123336.968,169.96799,-16381.03201,24838.96799,6466.96799,-19107.03201,-10107.60134,-2657.60134,86828.39866,5912.39866,-11067.60134,11972.39866,-9693.60134,-8840.60134,-12175.72334,-13801.72334,39270.27666,674.27666,-10479.72334,11553.27666,-6921.72334,-10092.72334,-9585.10835,-10520.10835,32947.89165,5191.89165,-8604.10835,21074.89165,-9549.10835,-7364.10835,-6758.126424,-5078.126424,23759.87358,1117.873576,-3463.126424,-1387.126424,-5673.126424,-2446.126424,easy,yes
-385439.4418,128833.5582,-215033.4418,-368218.4418,-248507.4418,475518.5582,-363666.4418,-112175.4418,-79077.088,-100910.088,-72983.088,-23349.088,-1636.088,-64185.088,-59613.088,1370.912,-16937.15777,-8443.15777,-19261.15777,-3314.15777,1198.84223,-11107.15777,-24802.15777,-7306.15777,-17420.03201,-7835.03201,-12066.03201,-3343.03201,-7595.03201,-11525.03201,-13896.03201,-3293.03201,-11768.60134,-10930.60134,-8977.60134,4607.39866,-10535.60134,-12443.60134,-13179.60134,-4800.60134,-15199.72334,-9529.72334,-14573.72334,-2694.72334,-11967.72334,-12992.72334,-15292.72334,-8057.72334,-12117.10835,-11001.10835,-11473.10835,830.89165,-9552.10835,-11948.10835,-9991.10835,-783.10835,-7137.126424,-6533.126424,-6821.126424,4007.873576,-5403.126424,-5427.126424,-6606.126424,-2976.126424,difficult,no
-196161.4418,669115.5582,-209614.4418,219443.5582,-480516.4418,-272196.4418,-422753.4418,-482201.4418,-56924.088,-55551.088,62414.912,-97413.088,-78628.088,-55315.088,-106263.088,-96537.088,-1445.15777,10794.84223,4385.84223,-7341.15777,-20021.15777,19426.84223,-24389.15777,-16296.15777,-11978.03201,-9444.03201,-16248.03201,-16842.03201,-15992.03201,-9235.03201,-19390.03201,-15991.03201,-3709.60134,-9743.60134,-9055.60134,-10372.60134,-13552.60134,205.39866,-14602.60134,-7086.60134,1362.27666,-5092.72334,-10860.72334,-7834.72334,-12866.72334,-5725.72334,-16615.72334,-13335.72334,-1555.10835,-4941.10835,-8183.10835,-7455.10835,-8807.10835,173.89165,-11841.10835,-11218.10835,-4782.126424,-1525.126424,-4592.126424,3774.873576,-6718.126424,-4850.126424,-7731.126424,-4945.126424,difficult,yes
336591.5582,-451471.4418,-43022.4418,269900.5582,-478607.4418,-467443.4418,-411335.4418,-278378.4418,-83214.088,-29033.088,-63072.088,77165.912,-100349.088,-93606.088,-87634.088,-101653.088,-16994.15777,-15879.15777,-12523.15777,-17936.15777,-20082.15777,-11027.15777,-24998.15777,-21047.15777,-19001.03201,-2413.03201,-12604.03201,-7900.03201,-7477.03201,-14629.03201,-20546.03201,-17971.03201,-14008.60134,2126.39866,-12386.60134,-4637.60134,-9766.60134,-9559.60134,-13602.60134,-11156.60134,-14635.72334,-6490.72334,-11280.72334,-8389.72334,-13544.72334,-15638.72334,-15097.72334,-15331.72334,-11326.10835,-4742.10835,-6399.10835,-8283.10835,-9577.10835,-10877.10835,-11467.10835,-11937.10835,-7239.126424,-3975.126424,-3767.126424,-6250.126424,-6029.126424,-6793.126424,-7100.126424,-7331.126424,difficult,no
-406007.4418,-402360.4418,25457.5582,-112676.4418,-430715.4418,-224568.4418,-438573.4418,-449847.4418,-96750.088,-109216.088,-6285.088,-21239.088,-74799.088,-79952.088,-95323.088,-94059.088,-22671.15777,-24413.15777,13564.84223,55904.84223,-24507.15777,-20248.15777,-19343.15777,-9204.15777,-20314.03201,-20233.03201,-8844.03201,19660.96799,-6237.03201,-8759.03201,-13195.03201,-17828.03201,-14256.60134,-14755.60134,-7236.60134,12613.39866,-13474.60134,-5769.60134,-12900.60134,-5681.60134,-16245.72334,-16875.72334,-10641.72334,8482.27666,-10990.72334,-2943.72334,-13073.72334,-5310.72334,-12132.10835,-12425.10835,-10668.10835,12987.89165,-10035.10835,-7714.10835,-8003.10835,-6039.10835,-7692.126424,-7861.126424,-5819.126424,-1855.126424,-5985.126424,-3482.126424,-6599.126424,-3176.126424,easy,no
