subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.652,0.357,0.625,0.119,0.722,0.31
subject:02,0.684,0.52,0.667,0.56,0.643,0.54
subject:03,0.667,0.077,0.625,0.192,0.75,0.115
subject:04,0.591,0.26,0.571,0.24,0.538,0.14
subject:05,0.625,0.102,0.64,0.327,0.655,0.388
subject:06,0.7,0.292,0.615,0.167,0.8,0.083
subject:07,0.625,0.306,0.81,0.347,0.889,0.163
subject:08,0.792,0.452,0.7,0.333,0.6,0.143
subject:09,0.667,0.36,0.64,0.32,0.684,0.26
subject:10,0.818,0.581,0.75,0.097,1,0.129
subject:11,0.658,0.581,0.703,0.605,0.724,0.488
subject:12,0.545,0.12,0.632,0.24,0.538,0.14
subject:13,0.667,0.182,0.579,0.25,0.708,0.386
subject:14,0.667,0.357,0.7,0.5,0.75,0.536
subject:15,0.714,0.303,0.684,0.394,0.842,0.485
subject:16,0.72,0.545,0.652,0.455,0.56,0.424
subject:17,0.8,0.545,0.8,0.545,1,0.045
subject:18,0.7,0.378,0.583,0.189,0.833,0.135
subject:19,0.667,0.474,0.727,0.211,1,0.158
subject:20,0.692,0.176,0.857,0.235,0.842,0.314
subject:21,0.649,0.585,0.667,0.195,0.7,0.171
subject:22,0.625,0.306,0.647,0.224,0.652,0.306
subject:23,1,0.064,0.714,0.106,0.667,0.085
subject:24,0.609,0.255,0.556,0.182,0.655,0.345
subject:25,0.5,0.5,0.706,0.273,0.875,0.159
subject:26,0.667,0.189,0.667,0.302,0.625,0.283
subject:27,0.579,0.234,0.526,0.213,0.615,0.34
subject:28,0.565,0.317,0.655,0.463,0.684,0.317
subject:29,0.75,0.387,0.8,0.258,1,0.161
subject:30,0.583,0.452,0.75,0.097,1,0.065
subject:31,0.581,0.36,0.679,0.38,0.741,0.4
subject:32,0.467,0.212,0.455,0.152,0.636,0.212
subject:33,0.667,0.353,0.375,0.088,0.6,0.176
subject:34,1,0.053,1,0.053,0.536,0.395
subject:35,0.647,0.239,0.7,0.152,1,0.087
,0.672571429,0.327828571,0.6702,0.2704,0.744685714,0.253828571
