subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.611,0.262,0.6,0.357,0.675,0.643
subject:02,0.644,0.58,0.645,0.4,0.649,0.48
subject:03,0.667,0.154,0.75,0.462,0.636,0.538
subject:04,0.6,0.42,0.571,0.16,0.6,0.24
subject:05,0.619,0.531,0.565,0.265,0.625,0.408
subject:06,0.559,0.396,0.529,0.188,0.545,0.375
subject:07,0.619,0.265,0.5,0.245,0.656,0.429
subject:08,0.68,0.405,0.677,0.5,0.733,0.262
subject:09,0.486,0.34,0.529,0.36,0.528,0.38
subject:10,0.667,0.645,0.682,0.484,0.647,0.355
subject:11,0.622,0.535,0.676,0.581,0.7,0.163
subject:12,0.625,0.4,0.562,0.18,0.455,0.2
subject:13,0.588,0.227,0.606,0.455,0.583,0.318
subject:14,0.733,0.393,0.75,0.321,0.765,0.464
subject:15,0.667,0.364,0.68,0.515,0.769,0.606
subject:16,0.742,0.697,0.708,0.515,0.706,0.364
subject:17,0.611,0.5,0.5,0.273,0.538,0.318
subject:18,0.594,0.514,0.44,0.297,0.435,0.27
subject:19,0.5,0.158,0.524,0.289,0.5,0.263
subject:20,0.7,0.412,0.639,0.451,0.629,0.431
subject:21,0.641,0.61,0.594,0.463,0.522,0.293
subject:22,0.548,0.347,0.52,0.265,0.545,0.245
subject:23,0.48,0.255,0.583,0.447,0.429,0.128
subject:24,0.478,0.2,0.576,0.345,0.628,0.491
subject:25,0.517,0.341,0.568,0.477,0.621,0.409
subject:26,0.619,0.245,0.7,0.132,0.545,0.113
subject:27,0.516,0.34,0.545,0.128,0.75,0.319
subject:28,0.583,0.171,0.588,0.244,0.667,0.244
subject:29,0.625,0.323,0.667,0.323,0.692,0.29
subject:30,0.696,0.516,0.72,0.581,0.696,0.516
subject:31,0.52,0.26,0.619,0.26,0.674,0.58
subject:32,0.588,0.303,0.462,0.364,0.407,0.333
subject:33,0.478,0.324,0.45,0.265,0.583,0.412
subject:34,0.5,0.342,0.586,0.447,0.7,0.368
subject:35,0.516,0.348,0.615,0.348,0.655,0.413
,0.5954,0.374942857,0.597885714,0.353914286,0.613942857,0.361742857
