subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.571,0.19,0.636,0.167,0.64,0.381
subject:02,0.65,0.52,0.681,0.64,0.644,0.58
subject:03,0.556,0.385,0.6,0.115,0.727,0.308
subject:04,0.588,0.2,0.593,0.32,0.5,0.22
subject:05,0.706,0.245,0.6,0.245,0.688,0.224
subject:06,0.5,0.188,0.562,0.188,0.583,0.292
subject:07,0.633,0.388,0.542,0.265,0.5,0.388
subject:08,0.742,0.548,0.656,0.5,0.655,0.452
subject:09,0.514,0.36,0.541,0.4,0.6,0.42
subject:10,0.731,0.613,0.667,0.71,0.632,0.387
subject:11,0.632,0.558,0.711,0.628,0.667,0.465
subject:12,0.5,0.24,0.625,0.3,0.556,0.3
subject:13,0.6,0.136,0.588,0.227,0.5,0.136
subject:14,0.778,0.25,0.722,0.464,0.682,0.536
subject:15,0.643,0.273,0.714,0.455,0.75,0.455
subject:16,0.769,0.606,0.7,0.424,0.52,0.394
subject:17,0.588,0.455,0.611,0.5,0.583,0.318
subject:18,0.561,0.622,0.421,0.216,0.438,0.189
subject:19,0.667,0.211,0.593,0.421,0.583,0.368
subject:20,0.621,0.353,0.613,0.373,0.706,0.235
subject:21,0.684,0.634,0.639,0.561,0.659,0.659
subject:22,0.609,0.286,0.643,0.367,0.625,0.306
subject:23,0.514,0.383,0.5,0.277,0.528,0.404
subject:24,0.579,0.2,0.6,0.218,0.643,0.327
subject:25,0.5,0.273,0.519,0.318,0.7,0.318
subject:26,0.6,0.283,0.63,0.321,0.556,0.283
subject:27,0.571,0.255,0.565,0.277,0.433,0.277
subject:28,0.412,0.171,0.6,0.293,0.5,0.317
subject:29,0.583,0.452,0.545,0.387,0.579,0.355
subject:30,0.609,0.452,0.714,0.323,0.5,0.194
subject:31,0.609,0.28,0.646,0.62,0.627,0.64
subject:32,0.471,0.242,0.389,0.212,0.5,0.242
subject:33,0.529,0.265,0.263,0.147,0.444,0.235
subject:34,0.536,0.395,0.545,0.474,0.581,0.474
subject:35,0.476,0.217,0.643,0.391,0.567,0.37
,0.5952,0.346542857,0.594771429,0.364114286,0.588457143,0.355685714
