name,first,second,third,forth,fifth,sixth,seventh,eighth
ave_d_delta,309455.512195,317115.365854,246849.609756,197958.04878,277565.414634,234890.170732,115269.390244,186162.439024
ave_d_theta,75179.3170732,53393.0243902,56102.0487805,55558.9756098,80681.7560976,59396.3902439,34613.5121951,50289.5365854
ave_d_lowalpha,12348.7560976,18879.902439,8956.07317073,19253.9512195,16045.6097561,12703.804878,7844.63414634,12236.7317073
ave_d_highalpha,11972.0731707,14993.0731707,11706.4634146,21136.2439024,11003.2682927,11394.9268293,7570.2195122,7077.53658537
ave_d_lowbeta,8874.6097561,13116.8780488,8787.29268293,13903.8780488,11124.8292683,6174.87804878,4186.26829268,5875.6097561
ave_d_highbeta,9652.34146341,14671.4390244,10429.902439,10579.2439024,13643.0,6907.70731707,4106.31707317,7068.34146341
ave_d_lowgamma,7848.58536585,14378.7317073,6494.63414634,8903.73170732,9406.34146341,5053.07317073,3695.90243902,5611.82926829
ave_d_midgamma,4959.87804878,6611.09756098,5034.56097561,5039.65853659,5979.36585366,3656.14634146,2843.56097561,4028.65853659
ave_e_delta,303568.62069,188448.103448,252047.844828,407671.689655,297463.965517,264754.413793,209662.310345,120044.724138
ave_e_theta,62784.7068966,58853.5172414,58875.3965517,82418.9310345,66323.0689655,40980.5862069,48185.1896552,45773.2241379
ave_e_lowalpha,14179.3448276,12277.9137931,16140.1206897,19872.0172414,21090.8448276,14769.8793103,9910.29310345,14696.9655172
ave_e_highalpha,13790.8103448,16211.4655172,13281.0689655,15060.1206897,16918.6551724,13951.137931,8378.03448276,12069.2241379
ave_e_lowbeta,9897.77586207,11211.8275862,11717.2758621,11531.4137931,9746.0,9429.86206897,6982.77586207,9560.17241379
ave_e_highbeta,10620.9827586,10946.0862069,10268.6206897,9327.15517241,9402.05172414,8602.31034483,6458.60344828,9760.94827586
ave_e_lowgamma,8230.67241379,7044.53448276,7852.84482759,6516.82758621,7381.5862069,6331.17241379,4967.51724138,7809.12068966
ave_e_midgamma,4787.24137931,7168.32758621,5636.96551724,5045.43103448,4503.56896552,4423.67241379,3650.75862069,5814.4137931
