delta_0,theta_0,lowalpha_0,highalpha_0,lowbeta_0,highbeta_0,lowgamma_0,midgamma_0,delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,state
1574588,287068,9285,54576,12669,35713,31897,45226,1809850,86733,4345,12560,3855,20351,15447,5726,0
187084,15624,855,1506,1245,524,1046,648,1963393,101750,28822,18086,12532,20792,21145,13128,0
986205,10235,12900,4104,2218,5337,3136,4877,2790611,345941,70831,33082,24248,23743,32920,8004,0
54063,15290,5499,3567,17492,9699,10900,7395,1250602,68043,848,2496,4200,6615,30153,7734,1
776406,48949,19996,7558,5231,5520,5625,2616,1291011,282005,14740,16863,14958,14502,7374,12643,1
486311,224101,2123,37067,49084,51734,39250,22987,61896,53531,2502,4144,3421,3402,2651,2079,0
612498,31399,903,4319,4544,8419,4709,5587,699624,978877,110390,49604,30843,66073,37685,43695,1
739934,42260,33912,11134,9032,13229,15627,8524,231104,130728,13373,17422,15421,18103,16703,9556,1
616792,161594,28143,21177,16302,30976,14427,11214,559310,66898,78934,46526,16481,15218,18774,14388,0
1483,8715,10656,5668,16412,42988,29260,24665,430268,85046,17533,40956,28274,16614,10071,5660,1
52104,37310,13213,13261,9673,5337,9404,3151,451064,20181,16508,25768,16967,18252,21448,7124,0
1760129,228338,54174,37089,29405,27304,19743,4039,262966,12169,3313,11594,7653,3771,2925,7259,1
784551,200320,33932,48314,24570,16054,7451,6447,71192,31872,8406,8523,2114,2554,8980,3234,0
265919,191483,65796,54717,68205,49327,55020,39715,883452,36787,14545,14682,6123,18362,10437,5850,0
1134908,443235,21358,67614,40965,66559,55242,62095,2629744,738491,134375,27757,34359,42208,60181,34757,0
32976,55996,19314,43208,32057,61075,27652,16309,1255862,155676,30572,8651,13044,30450,26088,6674,0
542840,93354,6414,4656,9945,22661,16935,7173,415042,151299,47631,48165,21347,39036,32080,18955,1
342502,36706,535,5769,2613,4852,3337,3426,793376,51114,3764,5762,4491,9178,1563,3653,0
338551,7738,631,2976,5059,4226,4254,1703,198727,42215,3755,2936,1994,8467,9908,3592,1
736201,79858,34449,37367,21870,52340,24442,23341,656509,180116,173985,31540,32358,29126,110132,19200,1
899388,168195,8478,40591,26640,13784,19312,11590,1408978,332136,26215,24964,25201,50136,174623,50513,0
1966329,241280,78627,36080,38364,57637,48039,41908,895264,124386,20153,4062,19261,10992,20178,6130,1
82854,9598,2865,4045,8169,23164,12600,5285,540877,228755,12000,45037,10003,10034,16452,13752,0
656157,68356,19650,40155,12342,12238,25056,10699,674144,157393,18194,6981,6856,22580,14815,13116,1
895868,130784,51289,7821,6216,17202,35440,8964,1336939,69539,17909,6870,23947,9595,21325,8632,1
2626763,66730,74850,38204,43640,63224,63605,16094,1458118,84432,48782,29568,20724,80544,39692,39376,1
1057665,21236,11289,1441,6382,13071,15656,8492,163416,129546,16048,14068,15642,49007,51024,24613,1
2238859,1115869,250640,111606,72834,134670,103631,84618,1718213,348830,53173,6694,17931,39367,49111,43207,1
770985,306117,22472,16530,6877,14619,8295,7001,686631,94273,129458,7055,27117,13914,20657,4238,0
2145151,71796,3462,15928,12382,33067,7002,9530,717533,192330,46632,16135,55078,27769,74833,32923,1
304300,72316,14806,4760,2124,11503,8991,4949,195925,145967,16320,33265,20519,5671,14387,10649,1
2624744,521283,13524,33038,67197,44512,22890,35813,1031593,54638,9912,23539,6941,9213,22826,2229,0
166839,21419,2176,5305,10448,8385,4191,5269,10917,6309,7150,7183,7459,34913,24496,14847,0
2532675,560002,67872,91721,34235,45866,49600,65270,230455,33100,20137,13714,9087,42617,71133,10820,1
1642678,218889,69390,36010,89877,119598,33556,50235,608211,87474,25376,15469,11705,21531,12545,16827,0
29043,38048,19553,14405,46073,37121,21522,33264,164439,100687,11201,8564,3480,17480,9649,8631,0
44059,27523,1342,20445,15307,32237,28228,15926,306803,107310,460,8662,26154,18293,3787,7296,1
1180852,190920,269730,34072,35996,41299,58745,31285,1824656,422452,91894,17263,48944,38283,181060,27897,1
1572672,640166,8929,144144,50832,87058,78632,54448,1050627,109194,8460,10571,7186,12454,9783,5151,0
1302064,54456,13716,29259,5490,7106,7594,7355,76536,11955,2501,2648,2858,3873,3749,3155,0
823681,63311,49055,7025,17409,74020,16918,37208,7903,25853,12980,2262,33444,32475,22633,22445,1
175364,23288,14046,14757,19551,34238,23273,13008,115287,29457,10204,2038,3052,13400,6424,5170,0
42930,4132,7346,20001,20021,38281,29103,9683,6886,11047,7223,18971,7550,32272,45924,15118,1
1026795,913524,239085,68221,28337,84669,124932,111195,664373,27991,1752,3924,900,3684,5173,2212,0
896913,42267,21477,12293,3117,14424,16017,9351,150695,16563,3809,5561,12307,47149,30789,27029,1
313479,210079,3570,15760,39948,22828,42600,61167,187096,33881,16284,19098,7655,12167,12098,8993,1
611578,191944,41673,4442,7267,11819,8864,17332,1070817,502757,21124,54689,8518,41478,19775,15900,0
783615,117880,30911,1870,7952,10381,13349,14669,1714073,361178,20713,10444,14574,23013,11102,16502,0
375590,5451,9876,2194,1460,2973,2379,2711,1016534,765145,87266,33167,36790,33682,37439,35715,1
7516,13502,15337,22801,31871,43676,19804,20275,184210,159718,16595,22453,35220,25997,19450,9045,0
90779,123206,21153,65528,39632,44693,35882,14945,346840,48542,7349,7203,5895,10391,12285,15991,0
589627,46953,61769,2319,16886,14315,15955,20463,469755,32048,10360,12808,2960,5584,2199,1705,0
437625,62047,10793,13281,8481,11478,6748,6586,558697,93302,23698,13087,15166,48721,135055,12599,0
234468,141727,13989,5507,7680,6557,10626,4654,1223728,48087,16207,6497,8768,17996,12918,4413,1
612007,127029,56845,19063,9475,9709,16534,12535,1721916,343799,147814,26661,71433,65848,24087,35634,0
672563,68582,41826,4735,7494,8495,17231,16571,1249803,1152291,59070,73235,70779,91721,124654,156165,1
212629,38342,18163,8359,5769,13881,3621,5734,726507,255950,2842,4948,7223,11236,12101,8814,0
441230,8565,5676,8923,4190,6800,7208,4393,40619,40774,46784,26027,9828,40013,22331,42937,0
8051,5655,11848,9924,45980,17827,21929,24429,777236,44283,9024,2941,15187,14827,12846,8044,1
1294793,56130,26377,11970,6728,12200,7468,5773,480539,167636,3830,70901,17375,74577,37088,41897,1
131135,96941,61151,9765,8647,4245,4630,4283,911095,197477,11016,10198,4935,12639,4944,3913,1
70229,27959,14147,3123,4859,1045,1137,761,295555,34243,22459,5114,5314,7658,8703,5100,0
635651,42361,3447,9132,2691,9156,5145,5237,14987,31363,2103,24695,16325,21532,22372,19438,0
11177,7117,13888,7078,22410,11809,11133,31805,47923,41686,7151,2988,15610,5338,5994,2325,1
101782,136637,4364,41298,22622,48631,19075,24963,995915,38716,4944,5350,5899,6221,9591,5888,1
1141620,1807282,88208,105340,40071,57455,29346,20224,248083,72178,49072,17750,6469,8498,10153,4646,0
126060,6887,5730,14140,7769,11743,3160,5325,7980,17540,3177,2294,21503,21991,15112,12897,0
69570,50326,18690,5022,5372,7973,2066,6854,74322,24136,2842,9505,33216,13903,15581,17312,0
1336434,312981,160620,20404,40939,28816,26988,12989,1215692,233227,49040,22397,40846,27577,15588,10436,0
825176,157247,45010,47006,8871,39536,29730,19308,62588,31893,6302,5356,3409,6090,3671,5245,0
130353,14626,3914,1974,4457,4934,4128,6461,2206666,96453,29432,27026,24080,23249,24188,17859,1
4827,10436,4139,7761,9116,21330,14660,13522,729074,128918,10661,10072,45149,18639,19068,9830,1
12704,12643,7774,7852,43333,15351,19836,18679,552714,19721,11309,12071,18496,17709,34835,11547,1
313366,17352,2368,13809,9271,5845,3083,2475,3024414,174943,33124,63004,28549,57820,25313,12457,1
13447,999,8151,1896,16885,17443,25921,19343,186855,53910,10944,13272,8176,24743,11569,6590,1
196819,3593,10400,12118,5126,6136,5675,8430,7672,10210,9660,14549,15498,56450,23593,9355,0
152278,57600,6669,45206,10527,20298,14263,23314,190192,14425,1896,811,2821,1291,1322,1099,1
331535,58747,23042,10409,6242,7627,5577,2678,3184,11676,4710,3867,5062,30171,30864,11960,1
3660,9661,4143,4530,14321,14690,15350,6598,242040,81480,16925,19669,11582,26571,37903,15356,1
8426,7281,5508,9611,13185,24244,19994,23655,1771,9981,4308,5445,10845,15994,10197,9460,1
2132163,73626,33465,12029,15018,24154,4832,4639,21581,13083,1666,7226,15192,65128,22455,33972,1
1015579,341624,68181,28014,49547,39562,41943,26433,548224,68076,40917,5505,31244,44700,19022,7633,1
1595282,229143,56193,16226,11913,11554,5728,2770,251090,10920,9506,5981,1145,2590,1289,1584,0
969301,209608,37923,49342,22458,7870,16869,10344,1272081,348054,208702,40801,37928,22961,25683,11324,1
338120,14768,3606,1599,1142,2789,2320,3058,20662,4804,21325,7035,9174,41947,17955,22346,0
87771,34248,3137,10798,2662,2588,1160,2518,130371,23549,3620,3552,5108,9415,5069,8074,0
1536404,101232,17344,6141,3137,9890,5398,2981,73844,128501,14002,18035,14481,27099,17031,11107,1
503155,64656,15290,6408,9931,17704,17644,12262,20609,66903,52360,41625,16735,11000,10838,8406,1
177322,12973,3199,1922,3445,2899,2106,2239,11425,4905,8292,3721,16947,8562,8617,3237,1
16238,19292,10960,2817,15509,43733,124375,9840,764173,56201,2049,2521,8090,7695,11750,7342,0
