delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,state
1809850,86733,4345,12560,3855,20351,15447,5726,279623,42737,19702,9552,4223,5004,4525,3658,257256,212071,121382,8704,28665,57822,29081,36883,187307,37562,6651,5173,780,4215,2530,1825,0
1963393,101750,28822,18086,12532,20792,21145,13128,1784406,1525301,27872,113190,47757,52613,50621,64872,1197209,126980,1743,14687,4093,19751,23320,12688,1323767,115785,18612,5718,15328,27665,13146,12975,0
2790611,345941,70831,33082,24248,23743,32920,8004,1272732,171043,22299,21104,30809,48255,13474,8978,2108310,302639,212254,82402,60501,190857,105259,57293,453985,293397,24631,80501,56131,49555,28034,33138,0
1250602,68043,848,2496,4200,6615,30153,7734,362974,742810,119369,24837,8630,70491,62475,37448,1003180,19852,7348,9376,10013,6292,12163,8377,6298,4927,4063,13101,8825,56719,20156,18794,1
1291011,282005,14740,16863,14958,14502,7374,12643,356356,42466,7334,3957,6303,3197,3837,4428,119036,87285,28466,6813,16561,7876,12670,10490,794706,112182,15448,15370,6805,20351,10308,8387,1
61896,53531,2502,4144,3421,3402,2651,2079,952271,12708,8902,5990,4410,19481,7681,10898,1282056,405072,194155,68885,21570,65712,37043,47422,1154053,53431,17638,13137,13500,22276,22183,17310,0
699624,978877,110390,49604,30843,66073,37685,43695,656066,80714,4319,11917,22846,12264,13824,13295,68164,103630,23859,55914,11324,35133,31148,9992,1293589,104177,12026,23281,9175,17341,38577,10909,1
231104,130728,13373,17422,15421,18103,16703,9556,1458367,561780,23642,61168,11897,128055,65416,44227,1208263,67430,62178,5786,12446,24252,19779,11208,1109615,402176,37008,34507,32619,62219,169192,43622,1
559310,66898,78934,46526,16481,15218,18774,14388,2134069,349591,57162,31870,36625,77625,83568,50886,1067591,195658,102354,17799,43754,62336,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
430268,85046,17533,40956,28274,16614,10071,5660,673227,1706168,170035,87642,17504,64871,38999,25711,625769,20315,8102,3957,2518,6426,3546,1371,1317516,17820,14801,8325,2206,2909,1751,2427,1
451064,20181,16508,25768,16967,18252,21448,7124,524044,159945,34923,47062,15487,20552,27952,14054,1663993,546718,73016,69683,34324,88270,82327,129020,1136242,1292544,315067,78663,72248,132322,82378,65010,0
262966,12169,3313,11594,7653,3771,2925,7259,474683,66217,30796,19279,21913,39271,27317,9009,839133,203800,268209,57176,55016,48734,51832,40056,382587,81966,20415,30422,14572,8738,9953,11510,1
71192,31872,8406,8523,2114,2554,8980,3234,47602,33635,8298,1702,1950,14699,6903,3061,191856,33090,14378,3615,5992,11372,14296,1989,998349,542967,71840,140096,35313,97199,49038,92489,0
883452,36787,14545,14682,6123,18362,10437,5850,113977,87229,8319,14576,16424,13705,23941,8340,148318,18837,10570,1659,763,12530,9057,3510,2294070,269643,9732,36211,32713,164231,86897,25657,0
2629744,738491,134375,27757,34359,42208,60181,34757,455877,131504,44463,4497,24546,11309,25386,17956,82632,32766,7153,2397,2554,7205,3258,1320,1803354,119259,29127,6641,4641,15295,15283,6615,0
1255862,155676,30572,8651,13044,30450,26088,6674,527177,62101,35664,30963,13401,45926,4088,9035,583564,106947,35545,22899,15142,42132,19977,21623,660862,273811,23739,25795,18162,20143,7427,11304,0
415042,151299,47631,48165,21347,39036,32080,18955,105705,109086,50851,10516,3893,9075,12638,13802,1615663,138840,12766,31127,16510,53232,44187,40576,521329,75422,7598,5489,1380,44128,7779,11202,1
