delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,state
187307,37562,6651,5173,780,4215,2530,1825,79931,281433,49271,22862,54474,16425,16077,21671,397203,82848,28604,15002,8566,50092,39345,33412,0
1323767,115785,18612,5718,15328,27665,13146,12975,63570,9209,4531,6624,23392,6154,9937,3226,26305,33355,12115,11994,20027,36294,19569,6486,0
453985,293397,24631,80501,56131,49555,28034,33138,1516971,191932,125316,60282,40390,93962,58082,48652,619207,39206,12361,19396,19395,46440,18226,27536,0
6298,4927,4063,13101,8825,56719,20156,18794,557155,139383,1165,3258,2336,11172,11031,8322,257029,9976,39269,4716,9180,10096,44774,8615,1
794706,112182,15448,15370,6805,20351,10308,8387,206314,48231,2126,6184,2160,4217,4096,1915,448257,187993,19655,11120,3872,14113,10146,10115,1
1154053,53431,17638,13137,13500,22276,22183,17310,364983,209638,9174,5479,8627,9773,10417,9108,162474,30103,5635,2394,2148,27581,7810,10195,0
1293589,104177,12026,23281,9175,17341,38577,10909,329106,63085,999,5545,7076,3727,3578,5831,854049,242673,106472,11068,27376,29430,24095,20191,1
1109615,402176,37008,34507,32619,62219,169192,43622,128805,22008,5121,5160,1162,5016,3921,1297,671158,45816,3246,7147,9443,35711,16683,12395,1
81124,45091,1557,1917,3270,14920,3358,4159,1199373,85431,25966,7600,13124,35585,32380,17062,2058093,446773,30352,18826,57700,74984,43133,49116,0
1317516,17820,14801,8325,2206,2909,1751,2427,116910,94444,80112,10581,20397,17899,20743,17708,23559,18231,9488,10538,27651,15817,22644,9921,1
1136242,1292544,315067,78663,72248,132322,82378,65010,286962,104958,23797,25736,17042,23822,26190,10903,149039,47003,6936,4234,1190,3521,3392,1616,0
382587,81966,20415,30422,14572,8738,9953,11510,1677578,414678,146330,97656,38926,157673,117029,70237,2274756,539508,163763,27011,29249,119194,98893,75754,1
998349,542967,71840,140096,35313,97199,49038,92489,1521903,203736,55951,46575,91465,78646,72660,65916,993501,84363,84107,50841,28539,114290,19487,37006,0
2294070,269643,9732,36211,32713,164231,86897,25657,524858,74067,45412,6722,13895,10054,28211,7913,553985,929054,70038,35794,32312,86371,40620,21765,0
1803354,119259,29127,6641,4641,15295,15283,6615,3242523,269657,24043,14254,54061,100945,116580,43849,326757,20456,3853,5015,14380,9910,11484,7575,0
660862,273811,23739,25795,18162,20143,7427,11304,2822957,33804,20668,10994,6813,15662,46153,9000,1090811,89787,106518,73661,52359,47706,69212,81303,0
521329,75422,7598,5489,1380,44128,7779,11202,974643,62410,18664,42533,21607,15813,19035,20108,2002,12433,5735,14217,28254,24444,38941,13634,1
725731,56881,96305,8951,3639,22400,5248,14698,151318,18307,1618,1370,5704,3193,4418,978,615453,70895,11729,7987,9025,19215,11963,7047,0
543300,79642,22188,13762,20962,23686,16446,4974,713479,220661,27448,56892,83746,73596,33967,43682,2442935,601102,11535,30706,29861,50877,79803,88294,1
1088618,392634,13134,12792,26068,140008,59207,28601,120704,15587,1215,2138,5106,14409,8665,2839,63817,12711,9829,8652,8366,19311,4956,7943,1
703670,48467,7188,12056,6093,31285,10375,8549,2241701,692336,70392,39333,65045,96777,76410,47035,497478,4338,3126,3309,7530,6843,4264,1769,0
783780,155582,33479,3794,12322,14129,5894,6941,1074987,41657,7183,10141,20114,21219,35279,12639,499948,57082,28068,28136,47694,41155,42050,23447,1
875883,34385,1375,6759,10997,14282,13558,8337,1820337,532601,166326,11815,113201,42733,34964,26138,707846,61646,8193,28207,8789,18561,12353,8588,0
428554,259655,49306,5684,12425,28867,23929,20557,1145378,123906,10546,6920,10763,22394,25279,7631,587235,199255,24390,8770,9500,28237,20254,5097,1
1694483,135230,31312,26756,12560,14049,33060,11239,1281412,281942,36137,14095,11001,29150,18165,11555,128634,55761,28491,28110,8362,17920,15951,6363,1
1676518,158940,105719,93126,10629,83202,58034,65777,84142,26075,7628,882,2184,3728,5059,1807,1001912,49114,6400,11899,6938,23504,24449,7351,1
9708,12194,6626,21378,8930,28121,18831,10626,95596,11142,2452,5579,2946,6113,5880,4290,4877,4809,7685,17792,17060,16201,18548,5087,1
2469685,30085,17146,35820,38562,12239,19252,6608,761433,189554,22009,21927,17009,10791,17412,18523,190839,168106,37244,34707,77839,42601,54582,26644,1
50643,104097,10630,12482,3248,4710,1909,2841,1286550,230293,13509,31626,58715,65671,47640,27204,664295,30473,11620,11504,4203,9852,10496,4371,0
1633334,280304,7740,50297,38014,64621,35090,30440,1369678,647127,85542,22904,22661,57885,98056,50963,102412,30472,17927,15325,19310,37482,39170,23071,1
125229,102474,20521,6919,21290,29012,32023,17591,1290456,80758,22169,9133,29126,49846,30413,26775,7239,7896,6544,21908,26125,29079,32731,32502,1
384105,72482,37131,3982,2835,7768,18173,7877,528815,70004,9943,3718,15738,7017,7907,4463,65927,9531,902,2098,5080,5030,5745,4394,0
257630,15089,3852,668,2332,3588,5895,1520,1325132,65298,41862,27263,41701,16784,19539,18306,1526344,278203,22346,8369,24465,37603,38735,9500,0
361162,95412,5322,13363,2493,22111,8902,9798,883455,28330,7047,8155,7072,7908,13613,5716,159239,45627,28481,21125,6393,20183,18783,10719,1
1033321,91000,46875,5029,3937,22447,23428,6729,606278,2281,2644,2303,2580,5509,4077,2691,72207,67749,2365,8549,33356,68575,33261,19718,0
119599,166561,17279,12594,14883,11442,7905,8850,200246,97950,36650,3440,4437,10105,3470,2626,1161354,34077,18267,32081,12377,27003,26922,45003,0
1576177,259827,58567,45576,35160,44627,24939,31556,64629,74407,42670,15932,12378,22709,13575,16355,21006,37711,18473,18093,25636,26743,15543,28047,1
2317883,664392,103445,65312,40401,103274,57263,50341,253624,39733,5282,5031,3897,3995,1846,1500,116840,22991,5609,19718,3510,6909,4579,5126,1
389903,66883,2925,4081,8198,4909,16674,5203,718724,144453,50129,116609,24642,53028,81014,30752,67843,68564,10226,16770,19356,28333,17454,48413,0
441026,58480,9680,11988,11364,15433,12216,16254,263269,110817,17519,30728,21088,65826,21712,30358,150547,45684,643,5369,6628,37178,42476,8628,0
865501,700420,32712,13530,35160,80262,73947,38457,1120159,45317,16365,8617,6543,9892,7812,12031,16798,20150,8519,4758,44359,27568,31534,28531,1
488959,120354,10814,7999,4278,11550,18835,18369,1020689,88723,23042,8497,10165,19532,17455,13404,1067448,202664,24477,29528,22291,61646,42631,35079,0
303027,22410,7404,14701,19326,22044,8027,4955,611581,85561,24503,4755,13747,22010,12051,10914,100733,20429,1480,722,990,4646,1718,1368,1
316306,26522,9546,5705,1771,11539,8182,1998,1003707,121112,34224,8068,9994,16705,14619,8585,270813,123909,17715,18773,2733,9583,8284,6640,0
334406,28994,20651,7273,5573,20726,8457,13581,768769,29853,52770,9113,8670,10082,9469,4098,191534,116245,13757,25149,20072,15742,16551,17943,1
610004,43803,51524,19970,36791,12669,13674,7969,245790,21560,1491,3366,2841,3667,658,833,1572596,29266,2688,16067,20800,8507,5889,3216,1
586423,15643,4463,1109,2995,10829,7131,2459,655931,126730,36865,26664,13517,16655,8073,9820,2608738,93208,55474,99540,19833,56321,22587,34717,0
1186306,31845,4736,15229,8226,18874,21670,9904,317883,132386,31756,12047,7536,29738,25938,8918,1516032,423600,11612,4090,6860,30781,54038,86518,0
111573,54238,3933,4161,2348,5596,1992,2259,196932,26711,8152,3369,4065,26112,9665,8017,27613,18385,3535,2246,2259,2223,3924,1136,1
398942,155774,20604,3332,11603,24382,14479,9773,276410,261905,14345,16889,15961,43904,48249,25158,744495,256615,39121,42641,12346,76395,68476,15978,0
1266345,124447,28398,4104,26695,80210,48592,31292,242575,84763,7435,26563,17134,13316,8060,9025,792383,167535,20595,23621,20649,65352,50835,68913,0
1627457,140970,24185,18240,12868,13985,14499,5865,168792,54366,24155,16606,8378,8188,6750,7316,998415,86938,17433,27994,7596,45817,27836,37458,0
180905,198754,3546,3429,10971,18389,31944,5783,124801,44495,6347,18275,1348,12230,8192,7411,516088,47646,8312,28605,8567,20940,14419,7335,0
1870505,169980,18856,24573,40216,85348,26237,27508,1316471,62011,7930,932,10273,8406,8603,5670,697095,20786,18222,6936,8215,7801,5730,19382,1
522160,21515,3741,18037,18516,34839,56224,19814,842330,12615,3242,6669,2221,10760,6222,4165,20645,18415,5821,14639,10480,75918,22885,23330,0
1713407,97724,42165,3758,31015,35294,38631,33302,507807,59876,77654,17082,34171,28792,35106,18950,100805,16483,650,534,1935,2236,2114,2379,1
1695007,47322,34474,41055,28527,22290,43835,35059,51968,5894,3608,1077,911,6393,1770,2034,712253,78858,24981,11308,42136,22970,22197,18739,0
820897,110665,99107,72632,38949,23821,56372,22355,192920,86162,17788,46745,27754,30370,24357,19328,177646,16458,11001,5857,5268,13311,7379,5267,0
190810,202394,64762,27805,23801,66659,80256,22720,1813156,280454,104681,26962,7621,61653,49143,14954,755091,28616,9773,4839,5387,7713,6227,6413,1
153876,65835,3498,8738,17033,7927,7096,7974,215240,26556,3504,1462,1147,5072,3541,4089,289851,59306,4379,10990,3357,58115,23225,6151,1
992647,141244,61180,26690,29505,24207,14182,20618,808188,50526,18120,6294,6682,7724,11337,11954,8813,14729,1995,14715,14367,26291,11259,4129,1
237407,16752,1420,810,2640,7582,2949,3690,525355,150758,21394,12210,27300,24634,10073,12998,137481,64436,27524,26630,9163,23097,21430,18647,0
53892,20919,6741,1748,6525,8116,16041,5635,142325,35096,3957,9037,4422,4531,3358,2789,129033,12414,13752,2289,4200,3797,2170,4115,0
1545763,430844,21620,28345,47235,27341,19757,14499,158976,22219,5568,5301,815,3408,2061,5579,7799,12227,8374,19270,25749,18724,5561,15137,1
472099,157499,182228,10405,52134,28655,45455,48557,790460,67838,20646,13797,26482,33287,19187,26179,628709,228700,44963,28877,46392,42093,18017,26952,1
25695,14687,3670,16942,6237,47497,17531,5510,75046,49534,32480,9390,4603,7037,8769,6105,1035682,224015,72054,3144,11293,24428,31405,17410,0
56424,31692,3872,10065,6626,3298,5619,4056,121074,12330,4946,2202,2429,1146,817,1087,154826,36392,6821,5996,16665,40700,43295,18126,0
306764,11381,6409,7139,1313,6732,4310,7605,1766916,233202,61933,18754,33495,46534,10581,28224,894299,106230,22966,27232,16511,34946,42503,13453,0
257906,38611,6129,4810,3986,4611,3488,6047,72496,11462,1960,5330,3430,4598,4471,4091,16222,21069,13611,4736,30148,31112,24672,28061,0
623453,14386,5132,5482,2490,4986,4960,1554,81396,55517,29262,4710,19699,17145,19722,28091,303602,98455,19050,8516,3741,60009,20448,18857,0
119909,49466,6826,2593,2049,7543,8329,8361,542326,44000,18846,10641,20632,58627,32870,16092,275745,60195,7249,9169,8282,28895,31539,10467,1
527227,93429,24560,9956,15336,11259,6588,5965,242016,17729,4982,2857,2276,1176,525,1117,133233,15941,2458,9923,12502,1939,4202,3446,1
4733,13908,12987,5295,3408,21140,9729,14377,6559,8792,4627,6490,6495,29045,6648,4521,9525,18364,11460,9325,14287,14100,13401,2478,1
40299,17651,4720,3044,2091,9562,4417,2808,48672,12539,6421,2782,3996,5041,6486,3915,64985,51803,2122,1547,9960,4187,6741,4100,1
390970,17405,11039,9948,5611,13300,2325,3010,87040,48825,38222,5741,12970,23136,9489,10745,491037,60518,12201,22780,18132,16909,13265,8656,1
1349,12015,17680,18039,10756,44540,37430,11632,155013,19062,1699,4413,4064,13562,3241,2643,10286,3489,5282,11430,10840,29160,12165,16623,0
110841,8962,2768,1283,2275,4041,2456,3815,25351,13177,18863,8499,15476,14645,7897,5417,129976,76594,18599,3639,9643,31798,37576,14788,1
435525,11160,4656,1152,14035,4663,4361,4524,406261,42080,9515,25879,5667,34129,17575,7369,663727,86074,28564,4570,6100,21360,14750,7710,1
100763,104520,20867,38687,31794,34961,39507,8458,1895072,400129,45081,34997,61970,34637,6370,32440,14488,10329,12383,4607,10027,15275,7184,9574,1
174636,27995,4459,4587,4019,4937,3528,3073,9402,4829,6983,10341,12481,10268,13336,6210,2592,6192,2235,3202,28379,8400,7800,6487,1
256100,213355,20280,20781,25616,31055,30973,17251,48108,9185,1472,993,4632,2619,1029,944,201243,130081,5991,8592,12801,28200,37165,16655,1
46079,25896,10891,16019,16300,22181,37090,19143,674188,209430,33769,9219,29354,35311,32951,19396,28751,19166,2211,8070,20324,50288,54244,14432,1
68193,24397,8270,1152,23989,16610,12848,21080,14316,17802,15045,11914,13617,16254,14245,6720,228932,76635,15045,4730,8375,6606,2179,1767,0
793841,39106,41393,8348,79462,33448,15062,33340,197025,58625,4918,3930,5951,5514,6888,4197,103891,10824,8383,2067,2055,4512,12335,4449,1
65612,8059,3660,11551,7579,2352,4368,4499,25870,43521,8619,6349,4581,3101,5005,4397,214949,47303,23309,42746,19682,22091,10428,12332,0
182249,91681,22072,12238,6343,15778,3970,4066,68129,17877,1541,5074,5348,5059,3372,2976,132931,2956,1774,14010,5393,10032,5585,4190,0
1003522,229328,51888,16201,28132,45867,31678,15961,650191,28694,13941,26744,9879,5245,11053,6548,673751,62312,13910,17113,12845,25925,20878,12773,1
136715,97407,6443,3391,3561,4569,6357,1231,42086,3491,685,2296,354,2225,1639,1444,35968,67349,5184,25834,19949,12954,19804,8561,1
5166,9256,1241,16997,23999,9983,17801,5337,177853,34097,2822,1752,7338,4209,1850,1637,1045065,14032,9841,3944,10488,5870,14845,6785,1
551469,99488,49242,14876,5718,41956,13211,9148,44282,27601,12779,5730,5701,21024,26217,13788,375040,61761,9916,5178,4656,7416,5832,5386,0
1094847,377187,36288,54433,33101,38368,45077,15924,1433175,261335,48701,81519,14422,31532,11812,12020,702499,86379,2626,11687,26606,19258,31420,6957,1
2640395,772823,24441,33169,25257,44096,31128,31786,376529,10002,39587,31142,24059,32774,25750,28788,12021,21379,23838,5914,24302,18464,16061,7813,1
39901,27489,5213,3366,4409,11135,5537,6165,351732,5187,5033,7240,6687,5811,2312,7255,412201,250358,45216,12115,19548,68178,20483,15525,0
6608,12941,9514,3192,39613,38851,24386,26847,3492,7648,2668,7690,19603,59078,28422,25188,18429,8921,16908,21678,16831,40153,30809,17936,0
291596,288798,18321,10555,30479,60877,28513,22636,681767,180316,7096,19218,10173,13902,13062,7100,126852,28461,20858,28786,29758,37853,29658,24470,0
275357,54492,7615,10755,12733,9984,8159,7580,693606,79543,5148,3787,4061,12045,7759,8438,263910,47903,14123,23048,4721,11296,9758,10810,0
3109403,223271,54653,191651,63627,51566,35715,26957,113490,58981,65200,4542,10641,15944,12464,6876,323161,175261,6924,21163,15962,30048,46877,29872,1
896102,103115,17062,33950,6548,18409,7673,14022,418217,82657,30707,15841,6030,13964,6810,4067,12285,7696,4065,8423,13414,25564,41046,30021,0
261784,195588,5660,35144,10112,56042,80699,26255,51463,19722,10805,8589,19081,41893,44641,14384,945638,204273,22308,20827,54300,34410,25148,23802,0
941958,54003,18735,11675,1778,22431,24099,11408,663143,346459,4748,63069,32664,44558,54673,25454,1327513,154072,23815,38012,11907,43768,27988,15602,1
259068,49256,5108,2378,2590,12244,5562,21502,427646,45686,31062,4890,10648,12080,6729,3946,1564697,62640,61544,22077,17781,71499,40936,61285,0
1615463,315030,167320,27438,53286,30666,23155,21823,290793,6451,2030,2398,8178,11097,7443,4289,684216,152057,17069,24230,5440,20989,26348,40271,1
