subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.533,0.19,0.516,0.381,0.538,0.167
subject:02,0.579,0.44,0.714,0.6,0.679,0.38
subject:03,0.462,0.231,0.476,0.385,0.5,0.423
subject:04,0.655,0.38,0.524,0.22,0.571,0.24
subject:05,0.542,0.265,0.621,0.367,0.625,0.204
subject:06,0.533,0.333,0.533,0.167,0.471,0.167
subject:07,0.6,0.306,0.667,0.408,0.667,0.163
subject:08,0.688,0.524,0.633,0.452,0.655,0.452
subject:09,0.588,0.2,0.593,0.32,0.591,0.26
subject:10,0.65,0.419,0.579,0.355,0.5,0.161
subject:11,0.667,0.186,0.667,0.465,0.655,0.442
subject:12,0.576,0.38,0.455,0.2,0.476,0.2
subject:13,0.632,0.273,0.625,0.227,0.667,0.136
subject:14,0.52,0.464,0.5,0.25,0.6,0.214
subject:15,0.625,0.303,0.889,0.242,0.812,0.394
subject:16,0.562,0.273,0.444,0.242,0.5,0.273
subject:17,0.588,0.455,0.647,0.5,0.667,0.636
subject:18,0.552,0.432,0.56,0.378,0.429,0.162
subject:19,0.657,0.605,0.742,0.605,0.667,0.579
subject:20,0.636,0.275,0.571,0.314,0.571,0.157
subject:21,0.675,0.659,0.629,0.537,0.619,0.317
subject:22,0.667,0.49,0.649,0.49,0.643,0.551
subject:23,0.567,0.362,0.692,0.383,0.556,0.213
subject:24,0.643,0.327,0.667,0.145,0.579,0.2
subject:25,0.522,0.273,0.5,0.136,0.5,0.205
subject:26,0.594,0.358,0.607,0.321,0.68,0.321
subject:27,0.571,0.085,0.55,0.234,0.533,0.17
subject:28,0.571,0.488,0.641,0.61,0.629,0.537
subject:29,0.615,0.516,0.556,0.323,0.632,0.387
subject:30,0.696,0.516,0.65,0.419,0.682,0.484
subject:31,0.561,0.46,0.611,0.44,0.592,0.58
subject:32,0.6,0.171,0.471,0.229,0.412,0.2
,0.59771875,0.36371875,0.59934375,0.35453125,0.5905625,0.31171875
