subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.643,0.214,0.538,0.167,0.533,0.381
subject:02,0.654,0.34,0.593,0.32,0.562,0.36
subject:03,0.353,0.231,0.467,0.269,0.438,0.269
subject:04,0.636,0.14,0.444,0.16,0.5,0.22
subject:05,0.44,0.224,0.536,0.306,0.538,0.286
subject:06,0.538,0.146,0.455,0.104,0.462,0.25
subject:07,0.649,0.49,0.667,0.449,0.524,0.224
subject:08,0.625,0.476,0.639,0.548,0.688,0.524
subject:09,0.629,0.44,0.618,0.42,0.65,0.52
subject:10,0.667,0.452,0.692,0.29,0.6,0.194
subject:11,0.613,0.442,0.629,0.512,0.6,0.419
subject:12,0.607,0.34,0.615,0.16,0.471,0.32
subject:13,0.778,0.318,0.714,0.227,0.625,0.227
subject:14,0.524,0.393,0.5,0.214,0.583,0.25
subject:15,0.625,0.152,0.667,0.364,0.68,0.515
subject:16,0.467,0.212,0.389,0.212,0.5,0.212
subject:17,0.6,0.409,0.615,0.364,0.636,0.318
subject:18,0.618,0.568,0.48,0.324,0.5,0.216
subject:19,0.543,0.5,0.68,0.447,0.64,0.421
subject:20,0.714,0.098,0.667,0.196,0.6,0.176
subject:21,0.625,0.488,0.485,0.39,0.559,0.463
subject:22,0.581,0.367,0.607,0.347,0.622,0.469
subject:23,0.679,0.404,0.6,0.383,0.583,0.298
subject:24,0.688,0.2,0.679,0.345,0.75,0.109
subject:25,0.368,0.159,0.5,0.25,0.6,0.273
subject:26,0.625,0.377,0.619,0.245,0.652,0.283
subject:27,0.657,0.489,0.742,0.489,0.524,0.234
subject:28,0.641,0.61,0.622,0.561,0.657,0.561
subject:29,0.692,0.29,0.562,0.29,0.4,0.258
subject:30,0.75,0.677,0.692,0.581,0.696,0.516
subject:31,0.568,0.42,0.634,0.52,0.6,0.54
subject:32,0.529,0.257,0.538,0.2,0.471,0.229
,0.6039375,0.35384375,0.59015625,0.3329375,0.576375,0.32921875
