subject_id,pre5,rec5,pre6,rec6,pre7,rec7
subject:01,0.571,0.095,0.562,0.214,0.562,0.214
subject:02,0.636,0.42,0.7,0.56,0.606,0.4
subject:03,0.625,0.192,0.636,0.269,0.588,0.385
subject:04,0.571,0.24,0.657,0.46,0.571,0.16
subject:05,0.588,0.204,0.409,0.184,0.526,0.204
subject:06,0.571,0.25,0.52,0.271,0.611,0.229
subject:07,0.579,0.224,0.5,0.184,0.5,0.265
subject:08,0.73,0.643,0.694,0.595,0.676,0.548
subject:09,0.514,0.38,0.558,0.48,0.654,0.34
subject:10,0.625,0.161,0.625,0.323,0.562,0.29
subject:11,0.571,0.186,0.562,0.209,0.652,0.349
subject:12,0.556,0.2,0.818,0.18,0.45,0.18
subject:13,0.6,0.409,0.636,0.159,0.812,0.295
subject:14,0.636,0.25,0.625,0.357,0.625,0.357
subject:15,0.583,0.212,0.778,0.424,0.765,0.394
subject:16,0.765,0.394,0.706,0.364,0.722,0.394
subject:17,0.588,0.455,0.6,0.409,0.529,0.409
subject:18,0.579,0.297,0.56,0.378,0.593,0.432
subject:19,0.692,0.237,0.737,0.368,0.667,0.158
subject:20,0.667,0.431,0.667,0.353,0.6,0.294
subject:21,0.708,0.415,0.583,0.341,0.586,0.415
subject:22,0.65,0.265,0.605,0.469,0.615,0.327
subject:23,0.565,0.277,0.5,0.128,0.412,0.149
subject:24,0.562,0.164,0.667,0.255,0.64,0.291
subject:25,0.548,0.386,0.474,0.205,0.414,0.273
subject:26,0.593,0.302,0.611,0.208,0.556,0.189
subject:27,0.476,0.213,0.556,0.213,0.438,0.149
subject:28,0.654,0.415,0.727,0.39,0.643,0.439
subject:29,0.643,0.29,0.571,0.387,0.5,0.258
subject:30,0.552,0.516,0.565,0.419,0.391,0.29
subject:31,0.643,0.36,0.688,0.44,0.655,0.38
subject:32,0.5,0.314,0.5,0.143,0.417,0.143
,0.60440625,0.30615625,0.61240625,0.32309375,0.5793125,0.3
