delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
366625,28355,18930,5950,6021,11311,6569,9156,174637,73859,10193,2509,4958,11081,19435,-1001,-236049,-15101,-16141,-4719,-4148,-10535,-5001,-8292,-216570,-33,-11316,2942,-2759,2200,3619,-3239,easy
783122,198129,25936,19180,26083,58420,28670,23150,-415632,-176898,-16641,1244,-12932,-50883,-24081,-20127,-619563,-149554,-24732,-12448,-18261,-37048,-23797,-19886,-479762,45966,-10161,22153,-4261,-32942,-483,-10921,difficult
777741,648665,73252,42302,32824,60363,35857,37886,-660016,-589532,-63540,-40007,-29875,-55637,-33010,-35964,-109366,-531989,-41454,12784,-2398,68641,86763,2740,2188792,-511141,212109,106435,18377,19194,88469,65701,easy
717752,170851,28342,32070,23094,27907,30914,14144,-488391,-135627,-24325,-29551,-21205,-24413,-27654,-9174,661490,86528,125039,9890,9808,137536,9305,36395,1190212,-79621,-22758,-25927,-17962,-8998,-10940,-7994,difficult
645846,86211,32343,11447,8397,17629,9530,3569,-316731,-61366,-18047,25525,19524,32981,48485,15031,-331116,7706,-21618,26856,25659,43173,9388,8993,-640579,-74168,-27704,507,33876,1846,12131,16111,easy
896403,107211,62605,42015,23275,28384,20383,8657,-172601,-35746,-22680,-23975,25343,-2227,32666,7948,-603767,-99150,-61057,-32480,-16365,-13193,-6423,-7211,-307374,-11330,-47824,-8124,333,22953,-14565,-4482,difficult
263970,154775,5587,5996,14161,52667,12965,12994,299749,369059,109400,13144,26241,28130,27850,12993,-254736,-153766,-4826,-4353,-7882,-35842,-7846,-5641,-98337,-69263,9080,14396,-10620,-40886,-5581,-5653,easy
1300727,98921,15212,37537,23969,33675,23404,24746,-1268988,-91438,-6830,-30127,273,11652,6897,-10015,1015087,13808,-6682,-10011,-6162,-2498,8964,8947,-1287034,-86388,26755,-14127,-13890,20769,5212,-16127,difficult
1092883,280846,27229,20132,13864,34222,47738,13216,-962766,-262230,-26377,-18804,-11996,-29599,-45675,-10986,-944097,-105680,45410,39845,14034,20625,-20572,1821,-163280,14880,39471,4087,7953,41845,-16939,-2906,easy
1482450,110466,21989,19502,6530,37598,20802,15066,-1399727,-99778,-18230,-18320,-3204,-34220,-18869,-14079,-1369963,-83448,-18088,-16767,1645,-26646,-17056,-11466,-1312780,-83774,13080,32235,13334,-9909,10510,-4832,difficult
363823,47162,21724,11306,6884,29120,21418,8387,78510,-24190,-20758,-778,-227,27340,-1953,2369,95609,1930,789,20867,3568,2498,4494,-3843,-353537,-39471,-14422,4811,466,-10943,-7761,3188,easy
