delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
366625,28355,18930,5950,6021,11311,174637,73859,10193,2509,4958,11081,-236049,-15101,-16141,-4719,-4148,-10535,-216570,-33,-11316,2942,-2759,2200,-410686,19479,-88960,15068,-26334,4825,-7228,7661,-9106,1389,-21616,12735,easy
783122,198129,25936,19180,26083,58420,-415632,-176898,-16641,1244,-12932,-50883,-619563,-149554,-24732,-12448,-18261,-37048,-479762,45966,-10161,22153,-4261,-32942,-203931,139801,27344,195520,-8091,14571,-13692,34601,-5329,14000,13835,4106,difficult
777741,648665,73252,42302,32824,60363,-660016,-589532,-63540,-40007,-29875,-55637,-109366,-531989,-41454,12784,-2398,68641,2188792,-511141,212109,106435,18377,19194,550650,2298158,57543,20848,22086,253563,52791,93651,27477,20775,124278,-49447,easy
717752,170851,28342,32070,23094,27907,-488391,-135627,-24325,-29551,-21205,-24413,661490,86528,125039,9890,9808,137536,1190212,-79621,-22758,-25927,-17962,-8998,1149881,528722,222155,-166149,149364,-147797,39441,-35817,31013,-27770,161949,-146534,difficult
645846,86211,32343,11447,8397,17629,-316731,-61366,-18047,25525,19524,32981,-331116,7706,-21618,26856,25659,43173,-640579,-74168,-27704,507,33876,1846,-14385,-309463,69072,-81874,-3571,-6086,1331,-26349,6135,8217,10192,-41327,easy
896403,107211,62605,42015,23275,28384,-172601,-35746,-22680,-23975,25343,-2227,-603767,-99150,-61057,-32480,-16365,-13193,-307374,-11330,-47824,-8124,333,22953,-431166,296393,-63404,87820,-38377,13233,-8505,24356,-41708,16698,-10966,36146,difficult
263970,154775,5587,5996,14161,52667,299749,369059,109400,13144,26241,28130,-254736,-153766,-4826,-4353,-7882,-35842,-98337,-69263,9080,14396,-10620,-40886,-554485,156399,-522825,84503,-114226,13906,-17497,18749,-34123,-2738,-63972,-5044,easy
1300727,98921,15212,37537,23969,33675,-1268988,-91438,-6830,-30127,273,11652,1015087,13808,-6682,-10011,-6162,-2498,-1287034,-86388,26755,-14127,-13890,20769,2284075,-2302121,105246,-100196,148,33437,20116,-4116,-6435,-7728,-14150,23267,difficult
1092883,280846,27229,20132,13864,34222,-962766,-262230,-26377,-18804,-11996,-29599,-944097,-105680,45410,39845,14034,20625,-163280,14880,39471,4087,7953,41845,18669,780817,156550,120560,71787,-5939,58649,-35758,26030,-6081,50224,21220,easy
1482450,110466,21989,19502,6530,37598,-1399727,-99778,-18230,-18320,-3204,-34220,-1369963,-83448,-18088,-16767,1645,-26646,-1312780,-83774,13080,32235,13334,-9909,29764,57183,16330,-326,142,31168,1553,49002,4849,11689,7574,16737,difficult
363823,47162,21724,11306,6884,29120,78510,-24190,-20758,-778,-227,27340,95609,1930,789,20867,3568,2498,-353537,-39471,-14422,4811,466,-10943,17099,-449146,26120,-41401,21547,-15211,21645,-16056,3795,-3102,-24842,-13441,easy
1386689,202459,62635,70056,34981,42759,-1343216,-188764,-56171,-66908,-32411,-40159,-733712,-174842,-44298,44361,20159,-23048,-284626,-32645,23106,-32423,80349,-10529,609504,449086,13922,142197,11873,67404,111269,-76784,52570,60190,17111,12519,difficult
331711,162466,11541,14458,9576,23392,-240101,-144593,-9940,-11387,-6156,-14137,-327179,-159571,-8036,-12541,-6601,-9581,-251886,-127700,-9289,-12639,-9047,-20261,-87078,75293,-14978,31871,1904,-1253,-1154,-98,-445,-2446,4556,-10680,easy
725923,300049,42935,41255,25418,21169,-583525,-249967,-31386,-37938,-22276,-14484,154816,-175725,-22462,-11517,-5095,23756,-260345,-281057,-38162,-11305,7382,-4333,738341,-415161,74242,-105332,8924,-15700,26421,212,17181,12477,38240,-28089,difficult
1438785,628503,75526,111485,53756,106623,-1368890,-606982,-73216,-106116,-50739,-97469,-354192,-580068,-48409,-101616,-48379,-83513,381982,-24933,8198,-44386,-25519,-58152,1014698,736174,26914,555135,24807,56607,4500,57230,2360,22860,13956,25361,easy
534543,593763,18280,5922,10063,32582,-408805,-582985,-3665,2201,2956,-18256,1595874,-494769,21494,19165,18600,12558,-530199,-566827,-16405,13674,-1661,6000,2004679,-2126073,88216,-72058,25159,-37899,16964,-5491,15644,-20261,30814,-6558,difficult
899253,152170,22694,18707,10857,46566,1215212,441188,24031,12529,101436,34826,-881646,-145095,-20863,-12594,-3279,-35726,-882253,-127411,-14345,9392,17353,-25233,-2096858,-607,-586283,17684,-44894,6518,-25123,21986,-104715,20632,-70552,10493,easy
340637,25822,6484,11723,2382,9057,-257036,36726,129,-7211,12623,5062,535541,63658,26567,311,2886,12059,-169174,160355,-3153,-3957,-363,4723,792577,-704715,26932,96697,26438,-29720,7522,-4268,-9737,-3249,6997,-7336,difficult
593557,74691,18203,6984,9097,19154,1754903,479842,21596,43863,22247,20975,-562108,-51716,-10895,-2359,1538,-13145,187112,53217,3240,9442,28916,8084,-2317011,749220,-531558,104933,-32491,14135,-46222,11801,-20709,27378,-34120,21229,easy
208667,86727,19108,31727,14470,17034,-19217,-37582,-745,-29877,-7326,-11553,-187604,-68933,2030,5110,-3179,32248,-14147,-70997,-9191,-23780,-11138,-3450,-168387,173457,-31351,-2064,2775,-11221,34987,-28890,4147,-7959,43801,-35698,difficult
887418,265295,22901,13446,11204,15595,-117372,-101040,33405,-7324,-3421,4459,38452,-85041,-16925,45036,80026,61674,-679190,-255396,-7411,-5862,10874,91976,155824,-717642,15999,-170355,-50330,9514,52360,-50898,83447,-69152,57215,30302,easy
365521,135971,19352,18718,21009,25806,-239646,-86857,-17453,-17741,-19906,-21429,-320572,-114179,-6401,-3888,16141,1150,-280146,-106711,-12673,-15805,-17468,-8568,-80926,40426,-27322,7468,11052,-6272,13853,-11917,36047,-33609,22579,-9718,difficult
145682,41600,5465,3669,2470,5864,767619,363781,82697,46805,36044,45450,442939,12560,8390,8260,6180,7173,-29492,20590,36457,33345,53355,27769,-324680,-472431,-351221,8030,-74307,28067,-38545,25085,-29864,47175,-38277,20596,easy
785537,152672,22624,17703,13743,31398,1295059,350374,269923,9103,47330,117628,1506438,-116701,18450,42420,-4005,113345,470875,-126534,25278,14031,10329,160424,211379,-1035563,-467075,-9833,-251473,6828,33317,-28389,-51335,14334,-4283,47079,difficult
918414,186382,25529,21170,9744,34331,-213433,-137127,-7117,-627,3035,-14171,-858858,-179550,-23012,-20500,-7554,-30064,-885238,-168526,-13131,-19304,-3330,-22235,-645425,-26380,-42423,11024,-15895,9881,-19873,1196,-10589,4224,-15893,7829,easy
852605,130557,28552,19465,21338,36976,-323213,-72329,-21096,-14120,-4615,-31749,-788094,-115117,-25782,-13470,-14982,-30708,-288276,-47686,25465,-4123,20806,-14614,-464881,499818,-42788,67431,-4686,51247,650,9347,-10367,35788,1041,16094,difficult
713162,162300,23003,11892,12398,19869,-600640,-98708,-16943,-8094,-6458,-2704,959512,128104,13448,2148,-5610,45514,-699614,-132760,-16570,4530,18460,40237,1560152,-1659126,226812,-260864,30391,-30018,10242,2382,848,24070,48218,-5277,easy
465007,75232,8626,18616,11067,19187,1983364,159994,96715,14565,49825,20647,-175238,-44031,20402,-11654,1240,-9170,-24605,21358,28532,4273,378,-2890,-2158602,150633,-204025,65389,-76313,8130,-26219,15927,-48585,-862,-29817,6280,difficult
523202,27345,10117,3434,8285,15489,234759,82870,62552,23305,21460,35994,149725,147812,36036,57934,44883,21781,132216,236517,-1682,6761,44336,36106,-85034,-17509,64942,88705,-26516,-37718,34629,-51173,23423,-547,-14213,14325,easy
