delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
385383,48716,19231,6919,7979,5915,4309,1559,-324672,-43512,-16597,-4570,-6879,-4718,-3515,-1138,-122517,-40715,-17155,4539,5507,3082,516,215,-380534,-38972,-17281,-1115,345,-1314,-854,1051,-371231,-24746,-11517,3287,678,182,758,1066,202155,-258017,9303,2797,1743,14226,-558,-126,5764,9109,-5654,4402,12386,-5162,333,7800,-4396,1496,4031,-1370,1612,1353,836,15,easy
434133,76758,18989,20670,15817,23817,7841,9940,-345565,-62051,-13570,-1363,-13370,-20286,-6199,-7418,-391493,-61232,-14848,-15311,-13776,-16472,-6367,-5070,472957,40874,18126,5754,5016,-11259,35587,-1685,221225,-22990,12612,-7757,383,19161,12083,156,-45928,864450,-251732,819,102106,-63864,-1278,32974,-5514,-13948,21065,-13511,-406,18792,-4633,3814,5213,30420,-168,41954,-23504,2348,3385,1841,difficult
127674,59678,5223,4073,3653,8440,1979,1751,-91961,-41165,1657,-2930,2295,-6125,-343,-829,-109455,-48160,-1300,237,6624,27495,1703,3397,-88907,-26199,31181,16800,1771,13805,8036,545,-121962,-45138,721,-1827,1892,-1508,2003,-704,-17494,20548,-33055,-6995,21961,-18939,-2957,32481,-30460,3167,16563,-18627,4329,-4853,121,33620,-13690,-15313,2046,6333,-6033,4226,-2852,-1249,easy
379839,70437,9265,11165,6163,6342,3084,1837,1014519,154667,15902,-563,39950,3950,11541,4151,-150191,-50777,-4112,-5076,-3844,-5212,-2612,-1565,1846298,105842,31314,14226,-342,7539,2602,3587,-321539,-37046,6844,-2,12039,19196,6433,2398,-1164710,1996489,-2167837,-205444,156619,-142888,-20014,35426,-24470,-4513,19302,-14228,-43794,3502,12381,-9162,12751,11657,-14153,5214,3831,-5716,5152,-1189,difficult
523942,121596,23438,18845,36996,20648,9184,4292,555499,77142,19225,3096,-5987,-954,-2043,6223,639092,15262,20961,15884,-2080,-6927,-6965,-2270,352158,-25753,46585,-1006,-33012,-12235,-7399,-2843,1255810,-63467,102167,-10313,-23754,-10431,-3148,4380,83593,-286934,903652,-61880,-41015,-37714,1736,25624,55582,12788,-16890,-9307,3907,-30932,9258,-5973,-5308,1804,-4922,-434,4251,-8493,-573,7223,easy
62962,14061,17916,6294,7530,5577,1949,1149,-35472,26242,-10451,-3678,-4368,-1950,-702,-418,-44646,-7312,2514,4514,-1609,14398,7045,1322,-20630,7473,-16090,-4474,-5312,-3539,-384,-447,-48597,6949,-9471,14309,-1709,-757,971,283,-9174,24016,-27967,-33554,14785,-524,12965,-18604,6619,8192,-8988,18783,2759,-3703,3603,16348,-17937,2782,7747,-7429,1355,1740,-1769,730,difficult
84563,88560,12590,7207,5608,5090,1872,970,217346,164375,8077,30665,5562,6680,3667,2692,158045,-48405,-7996,-2372,1801,-2106,-281,-43,34106,-75621,-8334,-2059,-4526,-3236,-755,-507,733516,-49189,3374,1433,7356,-1744,603,147,-59301,-123939,699410,-212780,-27216,26432,-16073,-338,11708,-33037,313,3492,-3761,-6327,11882,-8786,-1130,1492,-3948,-474,1358,-2735,-464,654,easy
683104,236979,37128,15872,12987,26716,10665,5952,220789,-148176,-551,50566,42100,-7258,7702,1709,505033,-97556,7365,235,25272,16722,9701,3035,-498842,-159436,-35539,-2526,-9636,-21190,-7702,-1446,-613098,-216561,-34781,-11303,-10487,-25912,-9684,-5265,284244,-1003875,-114256,50620,-61880,-57125,7916,-42904,758,-50331,-2761,-8777,-16828,-34908,-851,23980,-37912,-4722,1999,-17403,-1982,1326,-4481,-3819,difficult
574273,65510,27391,19422,13179,7857,2462,1181,702962,26484,21141,8343,4110,7724,2403,-585,722244,36055,-552,-8012,3097,4397,2327,-348,-51125,-63121,-27188,-16461,-12952,-7464,-2300,-1071,297493,181374,-25880,-16564,29968,35017,61,-356,19282,-773369,348618,9571,-99176,244495,-21693,-26636,1308,-16355,-8449,-103,-1013,-16049,42920,-3327,-11861,42481,-76,-4627,2361,237,-723,715,easy
92179,82453,19027,6755,14959,22130,23208,11999,251166,-48251,9197,-897,-6117,11216,2095,-1393,1726116,-26872,-6328,16104,18635,14824,5987,87,-60248,-65297,-12873,-2947,-13950,-19350,-19237,-8952,-86749,-65461,-8219,682,-1701,3855,-13248,-6445,1474950,-1786364,-26501,21379,-38425,-164,-15525,-6545,4654,17001,-19051,3629,24752,-32585,12249,3608,-34174,23205,3892,-25224,5989,1480,-9039,2507,difficult
120861,103397,26823,23569,16103,8657,3970,2143,-31426,-60819,-20900,-21553,-14237,-6200,-3361,-1611,-39249,-58123,-22063,-20779,-12825,-5542,-3087,-1288,634936,-85919,-16977,-20589,-13892,-7173,-3306,-1716,-15574,-48176,-12550,-9479,-8317,-4760,-2958,37,-7823,674185,-650510,2696,-27796,37743,-1163,5086,4427,774,190,11110,1412,-1067,5575,658,-1631,2413,274,-219,348,323,-428,1753,easy
984256,37976,11871,19864,6741,24000,13830,7260,-908612,70093,-4888,-16877,-4241,-10524,-8805,-4204,-823452,-27523,-11439,-18497,-4348,-13084,5949,-5804,-970833,-23355,1000,-17347,16929,37892,9734,6214,-902368,4003,-10663,-19386,-5108,-16383,-5645,-3151,85160,-147381,68465,-97616,4168,27358,-6551,12439,-11663,-1620,1150,-2039,-107,21277,-22037,-2560,50976,-54275,14754,3785,-15379,-1600,12018,-9365,difficult
650534,232711,29137,16790,18942,20443,8264,3751,-267089,-152020,-17633,-7841,-13576,-17907,-7041,-3349,214960,-158479,-25539,-13769,-6280,-10620,-4167,-584,-376981,-169519,-16749,-4384,-13231,-16945,-4483,-2336,357198,7883,-4194,-9917,-10946,-12057,-4155,-2017,482049,-591941,734179,-6459,-11040,177402,-7906,8790,12555,-5928,9385,-5533,7296,-6951,2285,7287,-6325,4888,2874,-316,328,2765,-1752,319,easy
681295,178435,32177,8141,10205,12312,22565,2532,-621221,-168077,-29381,-5038,-7670,-9484,-18007,-1539,-608868,-165711,-22005,-6384,-6802,-9331,-9772,-158,273981,-12245,-1911,15255,3604,25356,15850,4532,-653211,-143407,-24650,3619,-4722,-1618,-11226,6263,12353,882849,-927192,2366,153466,-131162,7376,20094,-22739,-1346,21639,-11636,868,10406,-8326,153,34687,-26974,8235,25622,-27076,1381,4690,1731,difficult
717820,249934,69336,15656,10502,11978,5222,3961,1230787,331467,-38917,3627,-4267,20801,4826,9962,-232706,-2415,-52198,27982,31863,6161,12385,1908,-231569,-221007,-62277,-13033,-8021,-7193,-2087,-2497,748883,-89,-48809,7501,-5143,4147,1054,1744,-1463493,1137,980452,-333882,-218592,220918,-13281,-10079,13468,24355,-41015,20534,36130,-39884,2878,-14640,-13354,11340,7559,-14472,3141,-8054,-4405,4241,easy
395566,30128,42014,14015,3946,8120,7957,4216,-319814,10593,-38531,-3758,-3114,-6515,-7393,-3228,581945,208776,-18768,115192,49837,50568,2561,-1800,-308072,58440,-41626,12129,12984,-1180,-4057,-2724,-316120,-4313,-38372,-6994,9901,1564,-6421,-3294,901759,-890017,-8048,198183,-150336,-62753,19763,-22858,3254,118950,-103063,-19123,52951,-36853,-3083,57083,-51748,2744,9954,-6618,-2364,1428,-924,-570,difficult
512395,207911,50680,32808,11034,15703,6395,4145,231783,-184242,-42697,-13658,-7576,-13741,-3351,-2641,-324342,-103686,-28738,-27596,-7390,-13001,-5022,-3275,-51833,402040,204,24615,6648,-1603,2279,10211,-456382,10874,12891,-23391,-8571,-10917,-3291,-2497,-556125,272509,-404549,80556,505726,-391166,13959,28942,12687,-13938,52211,-48006,186,14038,-15219,740,11398,-9314,-1671,7301,-5570,-634,13486,-12708,easy
184340,54983,7711,23031,7080,17756,6844,3919,-53245,-29514,11853,-19355,1494,-6356,-2383,-2128,289832,-25218,1280,-6331,14080,11876,5914,4930,281316,52616,2071,2261,9781,59508,14996,21439,-121913,-49847,-4982,-10277,-3640,-4865,-4062,-2551,343077,-8516,-403229,4296,77834,-102463,-10573,791,-7053,13024,8592,-12538,12586,-4299,-13421,18232,47632,-64373,8297,9082,-19058,7058,16509,-23990,difficult
599755,172670,48858,45544,20311,15372,11460,5807,-551694,-61640,-32495,-21938,-8978,-10074,-2159,-1286,-565133,-104126,-8178,-9954,2344,-4840,-5967,971,-542336,-142991,-44655,-42546,-19500,-14409,-10659,-4980,1219227,360048,13486,-8864,38250,7015,12004,11017,-13439,22797,1761563,-42486,-38865,503039,24317,-36477,58141,11984,-32592,33682,11322,-21844,57750,5234,-9569,21424,-3808,-4692,22663,2257,-5951,15997,easy
