delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1032709,109639,14103,26462,30818,32029,26734,12041,-1003981,-81185,-732,-22740,-23023,-13974,6116,1121,-521212,-20168,-7501,-12782,-25712,-20500,-18808,-3885,-1025540,-105100,-12003,-26018,-29052,-19097,-23897,-3243,-1022040,-101803,-10001,-24986,-29417,-31150,-25345,-10743,-878957,-80209,-397,-21535,-25284,-24205,-17584,-7244,easy
335886,210349,17986,19614,27683,21184,20750,7503,1403746,338232,171575,7919,638,25002,38030,35029,706716,-77757,1044,3231,4691,13639,24600,4612,274285,-125952,-7253,18658,-12227,-2112,13029,5669,1278955,-78067,-1163,53065,-3458,-4303,39423,17720,-195782,-171144,-14058,-15451,-26763,-14871,-19263,-4107,difficult
471101,89524,36473,11040,17280,18621,12370,20859,-409185,-68256,-35063,-5219,-13586,-12299,-10670,-18540,1585804,343191,-15677,5788,-10204,4344,-3587,-12725,262878,-35444,-28321,24020,-12721,37733,4885,-4295,-177106,79059,-32627,17368,-13149,-10151,-7273,-17119,1012830,-7930,-26217,3614,-3654,5875,14289,-3653,easy
529579,91751,39978,32048,21156,22997,9993,8428,931806,-41495,82672,-397,171,42953,18535,1223,2430831,1726995,199527,115879,49086,64599,106525,50889,-463230,16004,-24374,-24135,-16621,-13119,-5011,-5513,-435166,-54379,-30435,-28057,-17711,-20315,-5891,-5479,105725,-63506,-37901,-25608,-13671,-14928,-7588,-4218,difficult
1643497,220671,202467,74042,35987,47497,41358,27830,-1490977,-205384,-190812,-72394,-33375,-45755,-38518,-25602,-1398866,-148258,-171174,-70434,-28572,-36660,-36884,-22715,-810266,-186962,-190051,-67292,-30901,-41780,-34204,-24048,-1606792,-215612,-200210,-72832,-34912,-45743,-38385,-26315,1015747,472393,-164638,-59344,72,-20901,3104,-9007,easy
1105091,145224,18272,22977,11287,22808,28285,13431,255976,-42870,-4514,7408,-609,-14132,8616,-10365,-121466,46095,-5552,-17294,-3190,-7491,-8450,-8904,-473940,-112368,-6950,-16004,-10425,-20445,-27032,-11817,87252,392240,-5294,3519,19278,34060,19820,19716,-686735,-38759,3503,-19058,-5737,-2818,-2695,-9473,difficult
530386,22811,3493,11461,2120,9854,7241,3327,-528132,-19010,1073,-5691,1741,499,-198,2511,-292133,4990,15446,3256,4463,-2114,2277,2654,-434880,20462,2563,-10146,164,5076,8629,-197,-493017,34083,2710,-9948,-830,5859,-468,4175,-403031,-6068,-1474,-9427,-877,-8320,-6161,-2168,easy
781839,56236,24263,9809,14618,12597,13101,6723,-582219,153246,-4646,2693,4099,3130,1405,-2385,-661525,90765,-12426,4984,-9787,-3046,-6785,3121,521028,45901,-11180,50245,23763,4783,12276,1190,-684858,-8803,-15015,-4521,-10799,-4243,-9366,-3805,-241238,-37462,-22232,-6134,-12838,-10184,-10614,-3876,difficult
148447,45372,20228,4975,5943,6178,5338,3133,36043,58989,4889,18718,4925,13591,165290,27139,-51403,-24545,-18753,-4018,-4971,-1756,-4133,-1285,-84327,-6779,-12447,-1503,-4337,7372,1753,3444,-124977,-106,-15568,-2684,-2258,26225,13140,4172,1732447,78461,-1690,23403,12511,2312,7099,3715,easy
1715396,148472,91825,141148,16412,68724,97221,30380,-1595519,-112252,-84711,-134770,-11218,-64569,-93013,-27883,-1300632,-49336,-86824,-137904,-11003,-66194,-94548,-27976,-1629336,131270,-81855,-117160,-5488,-32334,-82266,-21952,-352035,-21997,-57396,-101503,-6281,-59689,-64527,-22957,-387333,102855,-48183,-120585,-5454,-53801,-71140,-24297,difficult
1286897,156027,74791,41915,23742,36357,37253,24275,-1108481,-52358,-3127,-37288,-14259,-24081,-29236,-19111,-880857,-131984,-72111,-37301,-18955,-27559,-21712,-20237,-490368,30677,-56389,-35029,-19171,-16159,-32250,-13907,-902811,-51618,-50520,-38441,-12166,-11739,-9627,-15424,-617570,-113601,-67684,-41502,-22702,-31993,-33346,-22182,easy
331871,92193,11243,13122,16204,12814,11553,7364,1205543,309340,108833,61710,39564,49645,26294,10319,397754,-28252,-377,-6621,-7433,-8876,-4569,-2728,31156,-43082,-4428,-9824,-11988,6167,-7850,-4416,444261,21706,973,16125,-933,-3252,4668,-308,-53199,-18576,-7687,-3156,-12606,-4655,771,-5616,difficult
413738,123855,19778,22530,39040,33223,41715,26171,58982,-90255,-16003,-15966,-36015,-28171,-36377,-23445,99058,37466,-1584,-11211,-27810,-12961,-24254,-6216,-182010,-118523,-17234,-20433,-37826,-31024,-29374,-24130,484336,-17365,1777,-5800,-25170,-12205,-31152,-20645,600602,23299,28144,-1427,-9916,19573,-28519,-7274,easy
444925,74045,16481,11877,4082,7442,4744,3238,-322652,36174,54477,18272,8521,3128,9840,1640,-225205,137797,-518,16122,21854,15651,10934,10088,358694,137855,-438,8043,19168,10681,11700,2634,-422519,-50302,-13486,-10687,-2254,-2555,-1529,-1892,-170584,278454,25334,12553,13689,18824,-328,7265,difficult
296874,127374,11625,12927,16226,12627,18038,18692,492278,76483,18895,10145,12457,4305,2707,-11497,-159746,-107525,370,-9336,-15404,-8307,-12593,-16597,351245,-36983,28615,-3401,-7244,-1406,-10974,-16394,-159207,-31335,-4113,-581,-12629,-3944,-12858,-12484,827901,-99818,18676,-2387,-10032,-4575,3372,-6019,easy
608005,65882,38261,7191,9070,8864,7929,5541,447906,73761,-563,21086,8553,30222,36618,11647,-155331,-25757,-2945,-1012,-2186,16259,2639,6196,843735,20138,-20780,3226,-4954,8523,-3504,5190,428582,-28546,-3668,29680,52,942,-1954,1267,13836,-16114,-26326,-265,-1190,2110,5258,5727,difficult
1382972,303623,83500,115763,17764,56999,74179,42298,-190495,-114490,-38478,-63213,-8142,-46481,-62177,-24341,-90512,-240888,-50260,-108109,-14794,-50606,-52592,-36020,-14310,-288767,-76195,-112639,-6097,-39717,-68377,-38532,-299200,-202709,-20384,-87179,-2430,-26079,-25346,-17720,-139315,-4889,-10645,-97661,-6877,2278,-36115,-28617,easy
516490,102177,42646,30886,52223,28911,26653,16889,479659,66520,-4504,-13412,-45412,38419,92518,14705,211693,153595,32852,-12209,-32837,49134,68137,29389,686402,91477,17538,-8220,-27699,12955,24116,8853,1295969,7706,59813,43607,-40325,80272,9967,16748,183789,-11468,-23648,-9714,-44638,-15538,-20334,-9350,difficult
1166961,263929,80191,16568,26134,69961,43121,17592,-959975,-198454,-76129,-5265,-21725,-56546,-12997,-14836,-420167,564343,-6486,10326,-4579,-16111,87434,-547,-926854,-169925,-74065,-5022,-21417,-50560,-31968,-5181,-669249,-54859,-56600,4756,-10765,-14615,-5408,14019,-1049184,-249901,-77930,-13241,-25384,-67961,-38641,-16049,easy
644085,195765,30453,13877,16033,18347,19659,8896,-366482,-184183,-28090,-11518,-10012,-15713,-13960,-6374,513273,-106137,-1254,13568,-566,-10759,-3171,-4415,-370111,-172964,-29666,-10108,-12895,-16302,-17564,-6282,1191472,131627,212533,64062,15318,40976,81374,12442,-119264,260476,210018,62057,759,23047,77056,17508,difficult
893613,212493,39762,24083,21618,28757,27264,10284,-746122,-52423,-30166,-11074,-13503,-18253,-15599,-2674,-597524,-184261,-39212,-19111,-17162,-13022,-23158,-4072,62983,-130226,-33619,-9612,-15922,5541,-22102,-3199,-860186,-149220,-39293,-21027,-18133,-27264,-24669,-6918,-718852,-182002,-27160,-20650,-19447,-19828,-23856,-7692,easy
676970,41132,39093,9241,17332,13812,6115,8133,-160880,186596,-11824,1281,38971,18844,13946,11445,-473609,-17002,-28147,2433,-10497,-4929,-2531,-6446,-540710,50522,15118,7857,13519,8092,10533,10571,-491820,-5706,-29822,-2343,-15504,-12129,-5209,-7717,367352,15770,-23331,26677,14935,3785,2934,9216,difficult
820512,303702,64616,24468,13964,24061,26282,12815,-311509,-235537,-54634,-11307,-12203,-16757,-21074,-2259,-721377,-294835,-55764,-20327,-13533,-22048,-24687,-10208,-167231,-279473,-54968,-3501,-9128,-4355,-11982,-7153,-769709,-263390,-63864,-21746,-12110,-21964,-22985,-11180,1296154,-27401,210888,10397,21505,700,21346,25922,easy
1314053,283384,93897,78268,32286,30886,62679,19118,230717,-193329,-34860,-54179,-24422,-7869,-53042,-12063,-1270400,-276160,-91774,-77247,-31547,-30054,-61659,-18602,-623942,-224776,-87963,-67041,-26076,-25859,-59918,-17446,651142,-62139,-26528,-42148,-22935,-11212,-29124,-13672,-482168,-274308,-89209,-72426,-29233,-25955,-56442,-16550,difficult
541526,88506,76757,11875,14787,21842,27694,7897,-338844,-72716,-63186,-8631,-11955,-18404,-24331,-2299,2075126,443109,-7601,27641,42722,17139,45799,13143,410862,-47840,-22941,2560,-9512,17105,-13960,-632,1414929,708906,-57466,57889,51734,53886,2879,13010,396448,1251412,8096,32845,67282,24418,-9800,36039,easy
1242821,54244,24392,12352,8815,21696,16371,8016,-947565,32303,-10150,-730,2732,6492,-8686,2309,-781123,-6078,12986,3714,-5104,-13880,9926,849,567950,75090,96904,1414,23400,92537,59783,18087,-395886,83271,15459,38206,1005,-11628,1486,2891,-373541,56376,6756,40253,39305,13261,51266,21197,difficult
1182046,216438,30824,37620,30114,37288,25456,20993,521175,-6207,-6372,-8959,-18160,-26997,-21225,-5861,152564,131572,67785,8984,-21040,7994,-9928,3018,-382639,-47140,-17378,11659,-8959,12721,-1727,18795,-190206,-95434,-2396,13207,-9382,-23352,-8274,-416,-1065527,-205782,-28994,-30788,-28443,-35086,-21621,-18819,easy
197006,43112,11609,5773,6746,8118,11241,2613,1457128,755784,246354,8045,45227,41406,36706,95523,201238,210363,26726,9463,31119,17489,6122,17062,1543414,641434,47757,115166,58035,183099,29792,49415,-22113,-25073,-4736,-3779,-2563,-1021,-8026,-695,838911,76445,16517,239,7553,9064,-4276,6472,difficult
488251,113384,18248,7253,4888,11446,7946,5904,123380,-96685,-8693,9348,-2944,2186,456,-449,233924,127618,139661,12981,30322,14587,10971,21657,498263,-40560,30133,17013,7551,16313,24990,11875,-366455,-67235,-14699,-2998,2535,-3315,-1502,-2205,-271379,177139,-2732,-3778,598,-1572,1443,5036,easy
451642,124213,32104,14452,13760,28440,17517,17842,-24620,-5097,-22120,-962,-7935,-24862,-14551,-15262,1405670,282694,83074,17462,5920,20426,13188,2502,-383594,-83073,-29343,-13526,-12954,-26140,-14913,-15540,1547549,-1622,140914,92617,30737,7459,25655,10634,-213946,-93250,-18843,-12452,-5603,-24980,-13378,-17113,difficult
1044069,123333,85444,18983,7732,29025,22618,14227,320386,71279,-70356,-14704,-776,-6432,24620,-606,-967941,-113888,-84107,-10098,-7059,-26658,-19201,-13762,-158771,17111,-63417,-6807,101,1660,-3016,-7879,217835,-19416,-34467,-9766,5797,-4727,9426,-924,864590,22232,-57356,-6339,5831,-12886,-5509,-6585,easy
1745321,442179,51831,53594,46936,70610,65213,43359,385088,-267041,15416,-37774,-25214,17705,-20381,-18524,-367284,-66709,151195,18347,34150,1049,-14350,28320,-976950,-69912,-21494,-14061,-22652,-54420,-55289,-39699,-1222532,521498,28161,52483,-8308,23735,5846,193,-1149925,-414235,-38548,-41689,-28004,-52571,-61924,-40113,difficult
1066960,351682,44817,39996,20040,18911,13228,28951,-463284,-282047,677,8144,-5229,-6127,25637,-18717,-806363,-328738,-40085,-37635,-14423,-15510,-11018,-23988,-390186,-216269,-38079,-18515,-7199,28505,14635,-20109,419142,-303951,-27980,-23240,-6313,2199,-2891,-22728,1223594,-121999,352697,-27040,9286,41618,92792,5662,easy
