delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
827718,130436,61822,33182,16539,11569,6423,5251,-816981,-120348,-43295,-32407,-12123,-2692,-2540,-2755,-809390,-119633,-44605,-26482,-11360,453,6799,74,easy
973938,65728,11043,13169,13173,7167,2716,1464,-691310,-55219,-9508,-10914,-7962,-888,-1706,99,-772621,-27520,4222,-10183,-8132,127,4389,4154,difficult
58557,8679,5485,3518,2770,5682,4496,2636,-32280,-169,7750,2418,3575,1299,-1450,-1162,-44399,-7444,6057,-85,3997,6717,3547,-556,easy
56031,21664,11366,14216,4936,18539,11975,5866,688,26145,11926,-8948,1916,-14155,-9724,-2353,781728,42915,867,-5209,6159,-13115,-10734,-1741,difficult
14185,12668,5522,6270,5844,8568,6358,3622,315377,22901,-2486,-859,-2595,-5953,-3380,-2734,-3933,-929,20370,-3110,-535,4308,-2911,4195,easy
56737,12950,4353,8047,5239,7476,6430,4091,-28990,4639,5093,2499,-1230,12103,1324,-167,-43441,5748,6889,-3217,-2952,3225,-1390,1247,difficult
13122,3042,3509,8048,14198,15024,8696,3868,2540,11564,3619,3955,-11085,-2488,-2507,4100,6403,15498,3365,-7236,-13037,3340,-5609,2746,easy
669186,22741,21879,12186,8740,12037,17085,7067,-659060,-15555,-4211,2817,-5195,91,-14069,-2425,-591474,-9735,-19877,-9374,-5432,-8088,-16042,-5778,difficult
290952,43389,14977,8374,3858,13434,7886,11155,-262783,-34389,-13243,3945,-406,-5763,-4041,-2110,-14540,-16378,-9435,-4837,-1100,-10593,-6206,-10608,easy
73604,53974,5756,4918,3929,6319,3181,1472,107302,-39060,-473,1082,-2693,-5052,-2605,-1213,7203,-12703,-3938,5400,3776,-4579,-864,-211,difficult
419559,169381,31329,28653,22729,14532,20550,8454,-312245,-109503,-24773,-26743,-20506,-9675,-17003,-6459,-389159,-153570,-22708,-25405,-14625,1084,-5638,-2228,easy
193762,17243,14572,7346,6989,9043,3866,6676,-99508,1440,-12939,-6183,-5358,-7737,-3482,-6343,219235,59560,27192,6887,33289,13843,4517,2556,difficult
48533,32365,11781,8547,3952,9708,9225,4771,-12540,-1146,-7819,-3988,-837,-4821,-4288,-2468,50930,-20329,-9774,-6383,-1854,-8952,-8285,-4496,easy
30947,16849,8482,15167,7748,19850,5187,3720,385858,81322,1932,11325,7673,-12429,2292,1944,93266,-8971,-6008,-11667,-7234,-19099,-4919,-3474,difficult
415165,78654,22944,8008,23236,9833,13840,6907,-170023,-25780,-17271,-3790,-20933,490,-13125,-4439,-405719,-75716,-16510,-5899,-21011,-6500,-12110,-4831,easy
233638,131759,14833,12835,3071,10585,10834,3888,-159627,-85241,21938,-3180,4949,-4658,-8181,278,-230140,-123385,-10675,-4991,4062,-4995,-5606,-1104,difficult
619203,143274,6448,4863,17905,13926,15783,7633,-565510,-102871,235,20221,-8420,1054,-123,7440,-617370,-141346,5742,-1544,-7920,10068,-7997,4667,easy
57602,18949,2819,2867,3481,2187,1748,601,-34428,52976,15808,7024,862,17584,2275,2719,-54134,-14165,-801,2198,68,3878,752,3055,difficult
45962,32155,9820,11506,8990,10295,5052,4139,-21491,-31042,-7428,-11208,-8757,-9155,-4467,-3937,-37328,-22556,-1980,-1083,12336,8345,8311,1226,easy
223489,40474,18387,12671,8935,11836,7211,5642,1226,8523,-13671,-8308,-7017,-9417,-3375,-4439,-196906,-22141,-17871,-10031,-6539,-6919,-5006,-3564,difficult
514965,23116,6119,7693,5074,15333,7755,3783,-503158,-21232,-2799,-4922,-2290,-13064,-6099,-1755,1170240,96531,174726,19326,5294,-3864,-999,590,easy
26334,21414,13949,10663,5733,13872,4150,2870,-19338,-15259,-13368,18735,3389,-7519,-866,194,44881,36107,-4550,-1931,-151,-3356,14851,-446,difficult
75877,14323,4670,6990,6603,7769,3269,5485,519271,442921,42418,22128,9189,5129,1630,603,42700,6437,772,-2280,-3544,-3857,-1912,-3675,easy
127880,13367,15792,14512,15549,9768,4962,4464,578037,162516,548,39002,-5271,-4627,-1004,719,-113533,-11564,-12467,-11425,-13890,-8261,-4442,-3853,difficult
118932,48513,9389,15624,9208,20879,9516,8833,-28344,-38149,-7648,-11767,-7329,-15543,-7954,-6441,241540,-26645,-7184,-13938,-4537,-15168,-6504,-7604,easy
585357,21776,15026,11883,8872,12232,3858,5648,-451887,10456,-12584,-8348,-7020,-7441,-114,-4059,-562221,-1015,-4553,-3436,-5941,-10120,-1044,-2376,difficult
35352,23320,3223,3648,7151,18233,23772,8108,163584,-5949,15963,735,-1599,-11101,-21608,-5173,-23754,-16155,3230,-36,-5586,-11941,-21866,-7420,easy
708515,141276,9085,7482,8624,9021,3852,2225,511582,-103329,-4722,802,-5343,-6695,-2544,-1842,1388552,-1534,79677,7830,15928,9307,3726,892,difficult
511480,36002,3184,9764,6707,9171,10226,10032,-484462,-23611,6305,-1701,-4205,7699,-1277,-6545,-494519,-26249,6177,3072,17109,8020,-7484,-4949,easy
842577,43409,15901,15213,9550,10112,2877,3124,-538449,-20439,3617,-9156,-8259,-9601,-2438,-2456,-832602,-28887,-13490,-10983,-5636,-8169,-1779,-2173,difficult
760640,96488,27451,20415,13220,19866,43570,14124,-682851,-45025,5043,-4908,-4780,-2906,-34908,-6020,-757977,-94593,-24410,-5408,-9674,-5263,-21077,-8154,easy
698352,70792,20466,13902,25227,15362,6866,1938,-106951,-8116,5289,4262,-9797,-6063,-551,3573,-552969,-42160,-15210,-9275,-17777,-10119,-3955,555,difficult
86432,9943,13481,12036,16834,7896,11103,4186,159349,13485,-11800,-7899,-16475,-5523,-9340,-2987,-67983,45439,-8267,-4997,-8633,15729,5048,-347,easy
20812,8936,1718,3893,4300,6621,5551,5091,-7163,290,5368,-79,-169,-888,-3011,-1968,-19302,-1045,-217,2600,5563,1400,3382,2016,difficult
