delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
550178,119026,21073,22937,15088,23720,12566,7356,-543430,-114700,-12231,-9353,1734,-1585,-4510,-161,-482920,-73695,17678,-667,-5459,-19066,-10067,-3912,897893,-84773,-5703,-5202,468,-13622,-2625,-1508,60510,1380813,41005,-11078,29909,-23381,8686,-4535,-7193,5927,-17481,5444,-5557,7442,-3751,2404,easy
64627,29067,21273,5595,6049,19035,12103,5451,-53597,-9370,-20231,-1038,1541,27916,11891,1527,632823,6665,-910,25631,5257,-13144,-5448,-373,290173,148781,23354,26168,11552,29874,19327,6799,686420,-342650,16035,142116,19321,24264,26669,537,3716,6295,-41060,43018,-17339,24775,-1900,7172,difficult
54624,19956,12470,6635,7042,13413,10817,7922,210974,-5809,2495,9545,858,-3098,9365,-838,608361,4070,-4328,-2487,183,-2432,-5613,-1564,789335,320468,53086,4326,21111,13793,12055,20066,397387,180974,9879,316398,-6823,57414,-12032,6813,-675,20928,666,16225,-14978,17668,-726,21630,easy
38255,38479,9104,6387,6429,18267,22172,13065,123042,-32245,-571,-1563,-3144,-11928,-18727,-10927,126460,-33552,-7822,-4937,-5150,-16942,-21220,-12364,-33936,-35501,-7460,569,-1254,-13243,-14698,-10805,3418,-160396,-1307,-1949,-7251,362,-3374,5506,-2006,3896,-5014,3699,-2493,6522,-1437,1559,difficult
800379,134800,26481,19006,30969,19723,17944,13877,-608882,-127444,-23487,-17667,-29268,-16128,-16597,-11962,-353250,-101340,-20124,19362,-6816,17845,8695,-4537,-738565,-130211,-24328,-16933,-27232,-15517,-14516,-10735,255632,-385315,26104,-28871,3363,-4204,37029,-36295,22452,-20416,33973,-33362,25292,-23211,7425,-6198,easy
833370,48478,31803,17818,6521,13180,8234,3612,-681049,22911,-18728,-15313,13905,-6728,-4508,2111,-201313,104316,-6948,4370,-1164,32183,43899,14467,-824458,-38894,-28972,-15686,11363,5830,13935,11064,479736,-623145,81405,-143210,11780,-22024,19683,-20056,-15069,12527,38911,-26353,48407,-29964,12356,-3403,difficult
1075393,48575,6272,23222,9908,22952,27014,14863,1686651,68746,66671,6751,5827,53979,4877,-5980,-1072040,-44005,1296,-18645,-6228,17309,21585,8562,-993385,-15357,-884,-9489,2551,-12608,-22422,-12108,-2758691,78655,-112751,28648,-65375,-2180,-25396,9156,-12055,8779,-36670,-29917,16708,-44007,14542,-20670,easy
188829,130573,38984,16445,9926,25256,7723,10091,22876,-115700,-36757,-14183,-8355,-23023,-5049,-9354,-182328,-125404,-35880,-9132,-6405,86835,11580,218,-186304,-122972,-36025,-10784,-2820,7503,22588,3489,-205204,-3976,-9704,2432,877,-145,5051,-1652,1950,3585,109858,-79332,16629,11008,9572,3271,difficult
263304,45371,14468,5378,2494,7796,6885,5192,1515373,100671,4398,5173,5166,4830,4388,1095,-250803,8893,13952,23372,9535,16831,11694,4592,-241091,3853,20267,17806,24812,25683,12879,20490,-1766176,9712,-91778,-5040,9554,6315,18199,-5566,4369,15277,12001,8852,7306,1185,3497,15898,easy
212840,74074,7528,11511,13326,35104,66974,26130,-130258,-50498,-4680,-8774,-11899,-32871,-64460,-25190,-120646,19178,2603,8309,12320,-20612,-31891,-16327,-134172,-44337,-2005,-3998,11697,2180,-52588,-6536,9612,-13526,69676,-63515,7283,-4608,17083,-12307,24219,-623,12259,22792,32569,-20697,8863,9791,difficult
