delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
1068797,107251,27953,15858,14488,49697,40472,36708,-946362,-93474,-20273,-12794,-10610,-49177,-39439,-36502,522918,240191,-9472,-5421,19117,-34928,-24195,-34257,189873,-64660,-7977,9973,-756,-33893,-36523,-29975,-1042661,-90289,-25088,-11584,-11920,-47750,-39486,-34676,easy
332684,157723,47219,19667,13569,19918,19080,10217,393285,-134081,-42180,-16558,-9384,-15811,-14626,-8626,-48369,35472,-40925,-4557,7937,-11513,-9596,-8086,-145764,-125388,-45283,-14249,-9977,-12834,-15032,-7499,946631,-145011,-42197,-32,1862,8635,-10858,3239,difficult
121635,53567,16112,6800,5956,10181,6398,3553,-7314,-15356,-10085,647,-872,-5773,-4048,-1308,229716,67405,-964,3023,-1659,1427,-1262,1117,-1974,4223,1397,-3066,-4201,-4988,-4783,60,33950,-37764,-9452,-1492,4171,-3882,5605,-841,easy
1314787,263330,52454,27072,19902,67472,59115,48056,-620329,-173838,-51871,-17373,-13233,-28133,-24070,-5995,-1262970,-234175,-46012,-22939,-13250,-59248,-47131,-43238,-1174271,-229647,-42918,-24894,-13898,-48013,-54533,-34959,-1183299,-203226,-42170,-16378,-12867,-50000,-48679,-43985,difficult
848503,306387,54283,40822,40379,53469,111431,50478,-577883,-300789,-46660,-35963,-39085,-48573,-108405,-49606,-562756,-224470,-36706,-29930,-36062,-35726,-104183,-44373,-225749,-278874,-48105,-35808,-37045,-38895,-103509,-44175,-226279,-218922,-31037,6529,-15605,27122,-84229,-16209,easy
1375797,148442,43127,39444,14500,38638,34190,22107,-549967,-54951,-34383,-19993,-10071,-22976,-25618,-17302,-1234391,-138047,-41677,-33647,-8453,-25702,-24788,-18030,-1360339,-138846,-39394,-38222,-11717,-26053,-26707,-21373,-1342135,-123767,-40073,-27388,-12705,-27319,-29425,-20290,difficult
606203,101964,10339,42873,18866,15227,12253,20302,37737,18095,-7950,-40828,-16153,-7342,-3239,-18818,-571756,-96349,-6320,-40059,-15077,-10701,-9099,-17836,-376694,-90138,1710,-39243,-12968,-8618,-8231,-18539,-529791,-87369,-7177,-40192,-12872,-10768,-6015,-16537,easy
640518,108136,7842,19143,6115,27622,16702,15632,-607674,-101957,-6182,-16783,-4109,-26773,-15827,-14447,429475,-12552,5741,-5137,-1801,-22373,-13582,-13911,58898,3191,7992,948,991,-19151,-10083,-13173,-331466,-105879,-7266,-18245,-5564,-26844,-16424,-15384,difficult
459705,86931,8829,11821,7804,19292,7047,6591,-317481,-66757,3167,-1701,-1370,-14330,-2960,888,113697,-4640,-4021,-6916,-2823,-13376,-4010,-4389,-430821,-81348,-5406,-10543,-6120,-18158,-5829,-5893,715736,30670,9272,2691,7174,31643,7756,5412,easy
128449,74000,13287,15057,5130,16430,20108,14164,155397,-11734,27833,-7272,10668,2547,3291,-6313,79424,-16785,-9660,-12123,-1908,-1352,-6078,-9817,-95517,-25815,-6674,-10111,30,17121,-8249,-11692,-12207,-42507,2349,-7950,1706,-7626,-10916,-10631,difficult
