delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
1068797,107251,27953,15858,14488,49697,40472,36708,-946362,-93474,-20273,-12794,-10610,-49177,-39439,-36502,522918,240191,-9472,-5421,19117,-34928,-24195,-34257,189873,-64660,-7977,9973,-756,-33893,-36523,-29975,-1042661,-90289,-25088,-11584,-11920,-47750,-39486,-34676,-986796,-88055,-27455,-14845,-13071,-49094,-39947,-36616,1469280,-333045,-1232534,55865,333665,-304851,-25629,2234,10801,1495,-17111,-2367,7373,15394,-21557,-3261,29727,-19873,-11164,-1151,14249,1035,-13857,-1344,15244,-12328,-2963,-461,2245,4282,-4701,-1940,easy
332684,157723,47219,19667,13569,19918,19080,10217,393285,-134081,-42180,-16558,-9384,-15811,-14626,-8626,-48369,35472,-40925,-4557,7937,-11513,-9596,-8086,-145764,-125388,-45283,-14249,-9977,-12834,-15032,-7499,946631,-145011,-42197,-32,1862,8635,-10858,3239,-259158,-152236,-44539,-18024,-12411,-18295,-18601,-9770,-441654,-97395,1092395,-1205789,169553,-160860,-19623,-7225,1255,-4358,3086,-2342,12001,-9692,14217,-17992,17321,-17914,11839,-14273,4298,-1321,21469,-26930,5030,-5436,4174,-7743,540,587,10738,-13009,difficult
121635,53567,16112,6800,5956,10181,6398,3553,-7314,-15356,-10085,647,-872,-5773,-4048,-1308,229716,67405,-964,3023,-1659,1427,-1262,1117,-1974,4223,1397,-3066,-4201,-4988,-4783,60,33950,-37764,-9452,-1492,4171,-3882,5605,-841,262684,21770,-837,-4233,-3591,-8346,-4140,-1825,237030,-231690,35924,228734,82761,-63182,-41987,59534,9121,2361,-10849,8615,2376,-6089,1574,-2741,-787,-2542,8372,-7762,7200,-6415,1106,-4464,2786,-3521,10388,-9745,2425,-1057,-901,-984,easy
1314787,263330,52454,27072,19902,67472,59115,48056,-620329,-173838,-51871,-17373,-13233,-28133,-24070,-5995,-1262970,-234175,-46012,-22939,-13250,-59248,-47131,-43238,-1174271,-229647,-42918,-24894,-13898,-48013,-54533,-34959,-1183299,-203226,-42170,-16378,-12867,-50000,-48679,-43985,-1107063,-236277,-44040,-25092,-16551,-66512,-57686,-47481,-642641,88699,-9028,76236,-60337,4528,26421,-33051,5859,3094,748,-1870,-5566,-1955,8516,-8714,-17,-648,1031,-3684,-31115,11235,-1987,-16512,-23061,-7402,5854,-9007,-37243,8279,-9026,-3496,difficult
848503,306387,54283,40822,40379,53469,111431,50478,-577883,-300789,-46660,-35963,-39085,-48573,-108405,-49606,-562756,-224470,-36706,-29930,-36062,-35726,-104183,-44373,-225749,-278874,-48105,-35808,-37045,-38895,-103509,-44175,-226279,-218922,-31037,6529,-15605,27122,-84229,-16209,-772158,-206352,-47623,-37229,-30722,-46481,-103486,-39580,15127,337007,-530,-545879,76319,-54404,59952,12570,9954,-11399,17068,-16586,6033,-5878,42337,-43758,3023,-983,21440,-15117,12847,-3169,66017,-73603,4222,674,19280,-19257,5233,198,27966,-23371,easy
1375797,148442,43127,39444,14500,38638,34190,22107,-549967,-54951,-34383,-19993,-10071,-22976,-25618,-17302,-1234391,-138047,-41677,-33647,-8453,-25702,-24788,-18030,-1360339,-138846,-39394,-38222,-11717,-26053,-26707,-21373,-1342135,-123767,-40073,-27388,-12705,-27319,-29425,-20290,-1279500,-140239,-20092,-35855,-2409,-19559,-17211,-4334,-684424,-125948,18204,62635,-83096,-799,15079,-16472,-7294,2283,-679,19981,-13654,-4575,10834,-8467,1618,-3264,-988,10296,-2726,-351,-1266,7760,830,-1919,-2718,12214,-728,-3343,1083,15956,difficult
606203,101964,10339,42873,18866,15227,12253,20302,37737,18095,-7950,-40828,-16153,-7342,-3239,-18818,-571756,-96349,-6320,-40059,-15077,-10701,-9099,-17836,-376694,-90138,1710,-39243,-12968,-8618,-8231,-18539,-529791,-87369,-7177,-40192,-12872,-10768,-6015,-16537,-591265,-99382,-6639,-41835,-14334,-10389,-4794,-16931,-609493,195062,-153097,-61474,-114444,6211,2769,-12013,1630,8030,-8887,538,769,816,-949,-1643,1076,2109,96,-1462,-3359,2083,-2150,379,-5860,868,2216,1221,982,-703,2002,-394,easy
640518,108136,7842,19143,6115,27622,16702,15632,-607674,-101957,-6182,-16783,-4109,-26773,-15827,-14447,429475,-12552,5741,-5137,-1801,-22373,-13582,-13911,58898,3191,7992,948,991,-19151,-10083,-13173,-331466,-105879,-7266,-18245,-5564,-26844,-16424,-15384,-103135,-397,24871,-14404,976,-9665,-10541,-8599,1037149,-370577,-390364,228331,89405,15743,-109070,105482,11923,2251,-15258,32137,11646,6085,-19193,3841,2308,2792,-6555,6540,4400,3222,-7693,17179,2245,3499,-6341,5883,536,738,-2211,6785,difficult
459705,86931,8829,11821,7804,19292,7047,6591,-317481,-66757,3167,-1701,-1370,-14330,-2960,888,113697,-4640,-4021,-6916,-2823,-13376,-4010,-4389,-430821,-81348,-5406,-10543,-6120,-18158,-5829,-5893,715736,30670,9272,2691,7174,31643,7756,5412,1117463,30719,2478,52381,14241,42961,30572,9218,431178,-544518,1146557,401727,62117,-76708,112018,49,-7188,-1385,14678,-6794,-5215,-3627,13234,49690,-1453,-3297,13294,7067,954,-4782,49801,11318,-1050,-1819,13585,22816,-5277,-1504,11305,3806,easy
128449,74000,13287,15057,5130,16430,20108,14164,155397,-11734,27833,-7272,10668,2547,3291,-6313,79424,-16785,-9660,-12123,-1908,-1352,-6078,-9817,-95517,-25815,-6674,-10111,30,17121,-8249,-11692,-12207,-42507,2349,-7950,1706,-7626,-10916,-10631,-55481,-12613,-11438,-11116,-1464,28400,-10872,-7588,-75973,-174941,83310,-43274,-5051,-9030,-16692,29894,-37493,2986,9023,-13787,-4851,2012,2161,-3166,-12576,1938,1676,-3170,-3899,18473,-24747,36026,-9369,-2171,-2667,44,-3504,-1875,1061,3043,difficult
