delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
11183-57218-41329-470177-80406-2594757-118452-33403,3290-25395-56955-53044-16029-54906-73108-21803,890-7192-12646-2807-11786-61261-68607-21551,865-7945-15412-16999-5196-28581-17152-25093,334-3805-3628-14331-2447-29854-9045-3408,1363-5325-7943-19070-2753-16193-35027-6656,455-5972-2770-6311-1703-18243-23424-7664,400-2075-1492-3037-3466-12885-18819-3284,easy
57218-41329-470177-80406-2594757-118452-33403-84878,25395-56955-53044-16029-54906-73108-21803-39768,7192-12646-2807-11786-61261-68607-21551-16787,7945-15412-16999-5196-28581-17152-25093-14922,3805-3628-14331-2447-29854-9045-3408-22815,5325-7943-19070-2753-16193-35027-6656-18145,5972-2770-6311-1703-18243-23424-7664-8112,2075-1492-3037-3466-12885-18819-3284-1967,easy
41329-470177-80406-2594757-118452-33403-84878-87164,56955-53044-16029-54906-73108-21803-39768-27779,12646-2807-11786-61261-68607-21551-16787-10044,15412-16999-5196-28581-17152-25093-14922-2223,3628-14331-2447-29854-9045-3408-22815-5744,7943-19070-2753-16193-35027-6656-18145-1772,2770-6311-1703-18243-23424-7664-8112-2114,1492-3037-3466-12885-18819-3284-1967-2592,easy
470177-80406-2594757-118452-33403-84878-87164-170807,53044-16029-54906-73108-21803-39768-27779-21173,2807-11786-61261-68607-21551-16787-10044-26664,16999-5196-28581-17152-25093-14922-2223-16154,14331-2447-29854-9045-3408-22815-5744-15864,19070-2753-16193-35027-6656-18145-1772-13394,6311-1703-18243-23424-7664-8112-2114-14906,3037-3466-12885-18819-3284-1967-2592-5262,easy
80406-2594757-118452-33403-84878-87164-170807-125463,16029-54906-73108-21803-39768-27779-21173-75497,11786-61261-68607-21551-16787-10044-26664-17765,5196-28581-17152-25093-14922-2223-16154-10354,2447-29854-9045-3408-22815-5744-15864-2104,2753-16193-35027-6656-18145-1772-13394-5729,1703-18243-23424-7664-8112-2114-14906-3053,3466-12885-18819-3284-1967-2592-5262-2301,easy
2594757-118452-33403-84878-87164-170807-125463-37249,54906-73108-21803-39768-27779-21173-75497-18548,61261-68607-21551-16787-10044-26664-17765-10641,28581-17152-25093-14922-2223-16154-10354-14365,29854-9045-3408-22815-5744-15864-2104-9434,16193-35027-6656-18145-1772-13394-5729-7182,18243-23424-7664-8112-2114-14906-3053-4690,12885-18819-3284-1967-2592-5262-2301-5705,easy
118452-33403-84878-87164-170807-125463-37249-46326,73108-21803-39768-27779-21173-75497-18548-18363,68607-21551-16787-10044-26664-17765-10641-19676,17152-25093-14922-2223-16154-10354-14365-3276,9045-3408-22815-5744-15864-2104-9434-7408,35027-6656-18145-1772-13394-5729-7182-7586,23424-7664-8112-2114-14906-3053-4690-6382,18819-3284-1967-2592-5262-2301-5705-3689,easy
33403-84878-87164-170807-125463-37249-46326-123403,21803-39768-27779-21173-75497-18548-18363-2969,21551-16787-10044-26664-17765-10641-19676-606,25093-14922-2223-16154-10354-14365-3276-4740,3408-22815-5744-15864-2104-9434-7408-1433,6656-18145-1772-13394-5729-7182-7586-3312,7664-8112-2114-14906-3053-4690-6382-1490,3284-1967-2592-5262-2301-5705-3689-1126,easy
84878-87164-170807-125463-37249-46326-123403-43990,39768-27779-21173-75497-18548-18363-2969-15887,16787-10044-26664-17765-10641-19676-606-12579,14922-2223-16154-10354-14365-3276-4740-2582,22815-5744-15864-2104-9434-7408-1433-1702,18145-1772-13394-5729-7182-7586-3312-4120,8112-2114-14906-3053-4690-6382-1490-3469,1967-2592-5262-2301-5705-3689-1126-1476,easy
87164-170807-125463-37249-46326-123403-43990-108135,27779-21173-75497-18548-18363-2969-15887-98482,10044-26664-17765-10641-19676-606-12579-31052,2223-16154-10354-14365-3276-4740-2582-2426,5744-15864-2104-9434-7408-1433-1702-18547,1772-13394-5729-7182-7586-3312-4120-9342,2114-14906-3053-4690-6382-1490-3469-7735,2592-5262-2301-5705-3689-1126-1476-7751,easy
