delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
135777-135777-88743-5947-5806-70089-350411-58828,23557-23557-7730-11681-23854-2830-86313-30838,5304-5304-19309-9955-15365-12283-11831-14216,8188-8188-12481-17205-31689-3906-4844-2538,31048-31048-4949-7853-29997-3032-10510-5649,17742-17742-13427-22665-25992-4477-16424-2839,17890-17890-3238-14728-6760-2087-13595-1172,12959-12959-2148-2870-6876-951-15269-2350,easy
135777-88743-5947-5806-70089-350411-58828-45208,23557-7730-11681-23854-2830-86313-30838-30980,5304-19309-9955-15365-12283-11831-14216-10024,8188-12481-17205-31689-3906-4844-2538-10821,31048-4949-7853-29997-3032-10510-5649-3416,17742-13427-22665-25992-4477-16424-2839-1581,17890-3238-14728-6760-2087-13595-1172-1216,12959-2148-2870-6876-951-15269-2350-1459,easy
88743-5947-5806-70089-350411-58828-45208-739367,7730-11681-23854-2830-86313-30838-30980-59470,19309-9955-15365-12283-11831-14216-10024-47578,12481-17205-31689-3906-4844-2538-10821-7365,4949-7853-29997-3032-10510-5649-3416-15314,13427-22665-25992-4477-16424-2839-1581-28006,3238-14728-6760-2087-13595-1172-1216-5462,2148-2870-6876-951-15269-2350-1459-5015,easy
5947-5806-70089-350411-58828-45208-739367-618954,11681-23854-2830-86313-30838-30980-59470-90155,9955-15365-12283-11831-14216-10024-47578-5598,17205-31689-3906-4844-2538-10821-7365-19466,7853-29997-3032-10510-5649-3416-15314-18723,22665-25992-4477-16424-2839-1581-28006-22378,14728-6760-2087-13595-1172-1216-5462-6490,2870-6876-951-15269-2350-1459-5015-2573,easy
5806-70089-350411-58828-45208-739367-618954-1099974,23854-2830-86313-30838-30980-59470-90155-181329,15365-12283-11831-14216-10024-47578-5598-10525,31689-3906-4844-2538-10821-7365-19466-13270,29997-3032-10510-5649-3416-15314-18723-21528,25992-4477-16424-2839-1581-28006-22378-18206,6760-2087-13595-1172-1216-5462-6490-11004,6876-951-15269-2350-1459-5015-2573-4185,easy
70089-350411-58828-45208-739367-618954-1099974-98001,2830-86313-30838-30980-59470-90155-181329-57236,12283-11831-14216-10024-47578-5598-10525-1834,3906-4844-2538-10821-7365-19466-13270-5022,3032-10510-5649-3416-15314-18723-21528-5295,4477-16424-2839-1581-28006-22378-18206-4924,2087-13595-1172-1216-5462-6490-11004-1044,951-15269-2350-1459-5015-2573-4185-334,easy
350411-58828-45208-739367-618954-1099974-98001-70922,86313-30838-30980-59470-90155-181329-57236-15146,11831-14216-10024-47578-5598-10525-1834-5358,4844-2538-10821-7365-19466-13270-5022-544,10510-5649-3416-15314-18723-21528-5295-1324,16424-2839-1581-28006-22378-18206-4924-1153,13595-1172-1216-5462-6490-11004-1044-504,15269-2350-1459-5015-2573-4185-334-262,easy
58828-45208-739367-618954-1099974-98001-70922-348945,30838-30980-59470-90155-181329-57236-15146-38042,14216-10024-47578-5598-10525-1834-5358-11011,2538-10821-7365-19466-13270-5022-544-14759,5649-3416-15314-18723-21528-5295-1324-9859,2839-1581-28006-22378-18206-4924-1153-10711,1172-1216-5462-6490-11004-1044-504-4420,2350-1459-5015-2573-4185-334-262-2284,easy
45208-739367-618954-1099974-98001-70922-348945-209600,30980-59470-90155-181329-57236-15146-38042-12880,10024-47578-5598-10525-1834-5358-11011-14296,10821-7365-19466-13270-5022-544-14759-4072,3416-15314-18723-21528-5295-1324-9859-5340,1581-28006-22378-18206-4924-1153-10711-4060,1216-5462-6490-11004-1044-504-4420-1814,1459-5015-2573-4185-334-262-2284-2368,easy
739367-618954-1099974-98001-70922-348945-209600-111813,59470-90155-181329-57236-15146-38042-12880-31379,47578-5598-10525-1834-5358-11011-14296-5529,7365-19466-13270-5022-544-14759-4072-2357,15314-18723-21528-5295-1324-9859-5340-4905,28006-22378-18206-4924-1153-10711-4060-2225,5462-6490-11004-1044-504-4420-1814-717,5015-2573-4185-334-262-2284-2368-696,easy
618954-1099974-98001-70922-348945-209600-111813-311591,90155-181329-57236-15146-38042-12880-31379-17504,5598-10525-1834-5358-11011-14296-5529-7798,19466-13270-5022-544-14759-4072-2357-7698,18723-21528-5295-1324-9859-5340-4905-5767,22378-18206-4924-1153-10711-4060-2225-3823,6490-11004-1044-504-4420-1814-717-4036,2573-4185-334-262-2284-2368-696-686,easy
1099974-98001-70922-348945-209600-111813-311591-848669,181329-57236-15146-38042-12880-31379-17504-67790,10525-1834-5358-11011-14296-5529-7798-32771,13270-5022-544-14759-4072-2357-7698-4944,21528-5295-1324-9859-5340-4905-5767-17883,18206-4924-1153-10711-4060-2225-3823-17001,11004-1044-504-4420-1814-717-4036-15091,4185-334-262-2284-2368-696-686-6331,hard
98001-70922-348945-209600-111813-311591-848669-218105,57236-15146-38042-12880-31379-17504-67790-19788,1834-5358-11011-14296-5529-7798-32771-1085,5022-544-14759-4072-2357-7698-4944-993,5295-1324-9859-5340-4905-5767-17883-4607,4924-1153-10711-4060-2225-3823-17001-2803,1044-504-4420-1814-717-4036-15091-3338,334-262-2284-2368-696-686-6331-558,hard
