delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
36695-1149630-231830-72453-1269645-160367-33555-30182,44061-95797-52726-53484-57152-9210-25834-30340,27975-17119-9753-5296-25472-682-508-1705,7961-10660-1057-32260-7335-1261-7552-18752,6279-11860-4449-18247-10474-945-1778-9986,4280-5352-3917-22344-11163-1366-5244-11175,3400-2250-2019-9627-2406-603-1354-8103,302-1466-649-5724-1911-422-1627-3906,easy
1149630-231830-72453-1269645-160367-33555-30182-117351,95797-52726-53484-57152-9210-25834-30340-50973,17119-9753-5296-25472-682-508-1705-9531,10660-1057-32260-7335-1261-7552-18752-2250,11860-4449-18247-10474-945-1778-9986-4254,5352-3917-22344-11163-1366-5244-11175-6731,2250-2019-9627-2406-603-1354-8103-2421,1466-649-5724-1911-422-1627-3906-1029,easy
231830-72453-1269645-160367-33555-30182-117351-29412,52726-53484-57152-9210-25834-30340-50973-16592,9753-5296-25472-682-508-1705-9531-10771,1057-32260-7335-1261-7552-18752-2250-11386,4449-18247-10474-945-1778-9986-4254-7326,3917-22344-11163-1366-5244-11175-6731-7966,2019-9627-2406-603-1354-8103-2421-6177,649-5724-1911-422-1627-3906-1029-5151,easy
72453-1269645-160367-33555-30182-117351-29412-25329,53484-57152-9210-25834-30340-50973-16592-8725,5296-25472-682-508-1705-9531-10771-18565,32260-7335-1261-7552-18752-2250-11386-2645,18247-10474-945-1778-9986-4254-7326-7868,22344-11163-1366-5244-11175-6731-7966-6116,9627-2406-603-1354-8103-2421-6177-3383,5724-1911-422-1627-3906-1029-5151-3566,easy
1269645-160367-33555-30182-117351-29412-25329-109964,57152-9210-25834-30340-50973-16592-8725-25630,25472-682-508-1705-9531-10771-18565-691,7335-1261-7552-18752-2250-11386-2645-6025,10474-945-1778-9986-4254-7326-7868-9700,11163-1366-5244-11175-6731-7966-6116-3599,2406-603-1354-8103-2421-6177-3383-2416,1911-422-1627-3906-1029-5151-3566-1469,easy
160367-33555-30182-117351-29412-25329-109964-7358,9210-25834-30340-50973-16592-8725-25630-25702,682-508-1705-9531-10771-18565-691-3940,1261-7552-18752-2250-11386-2645-6025-21233,945-1778-9986-4254-7326-7868-9700-5563,1366-5244-11175-6731-7966-6116-3599-8124,603-1354-8103-2421-6177-3383-2416-4622,422-1627-3906-1029-5151-3566-1469-3866,easy
33555-30182-117351-29412-25329-109964-7358-15852,25834-30340-50973-16592-8725-25630-25702-34867,508-1705-9531-10771-18565-691-3940-7214,7552-18752-2250-11386-2645-6025-21233-5872,1778-9986-4254-7326-7868-9700-5563-4049,5244-11175-6731-7966-6116-3599-8124-12253,1354-8103-2421-6177-3383-2416-4622-10573,1627-3906-1029-5151-3566-1469-3866-9631,easy
30182-117351-29412-25329-109964-7358-15852-243084,30340-50973-16592-8725-25630-25702-34867-42755,1705-9531-10771-18565-691-3940-7214-12442,18752-2250-11386-2645-6025-21233-5872-13281,9986-4254-7326-7868-9700-5563-4049-35281,11175-6731-7966-6116-3599-8124-12253-10194,8103-2421-6177-3383-2416-4622-10573-17857,3906-1029-5151-3566-1469-3866-9631-9241,easy
117351-29412-25329-109964-7358-15852-243084-31845,50973-16592-8725-25630-25702-34867-42755-7710,9531-10771-18565-691-3940-7214-12442-1914,2250-11386-2645-6025-21233-5872-13281-2528,4254-7326-7868-9700-5563-4049-35281-9781,6731-7966-6116-3599-8124-12253-10194-13749,2421-6177-3383-2416-4622-10573-17857-9880,1029-5151-3566-1469-3866-9631-9241-3529,easy
29412-25329-109964-7358-15852-243084-31845-650809,16592-8725-25630-25702-34867-42755-7710-107793,10771-18565-691-3940-7214-12442-1914-72342,11386-2645-6025-21233-5872-13281-2528-36559,7326-7868-9700-5563-4049-35281-9781-50151,7966-6116-3599-8124-12253-10194-13749-10692,6177-3383-2416-4622-10573-17857-9880-6797,5151-3566-1469-3866-9631-9241-3529-7975,easy
25329-109964-7358-15852-243084-31845-650809-70998,8725-25630-25702-34867-42755-7710-107793-716,18565-691-3940-7214-12442-1914-72342-1046,2645-6025-21233-5872-13281-2528-36559-2598,7868-9700-5563-4049-35281-9781-50151-645,6116-3599-8124-12253-10194-13749-10692-905,3383-2416-4622-10573-17857-9880-6797-631,3566-1469-3866-9631-9241-3529-7975-697,easy
109964-7358-15852-243084-31845-650809-70998-365367,25630-25702-34867-42755-7710-107793-716-154138,691-3940-7214-12442-1914-72342-1046-26612,6025-21233-5872-13281-2528-36559-2598-13185,9700-5563-4049-35281-9781-50151-645-12677,3599-8124-12253-10194-13749-10692-905-15883,2416-4622-10573-17857-9880-6797-631-6462,1469-3866-9631-9241-3529-7975-697-1853,easy
7358-15852-243084-31845-650809-70998-365367-14603,25702-34867-42755-7710-107793-716-154138-35089,3940-7214-12442-1914-72342-1046-26612-1987,21233-5872-13281-2528-36559-2598-13185-11020,5563-4049-35281-9781-50151-645-12677-2482,8124-12253-10194-13749-10692-905-15883-4519,4622-10573-17857-9880-6797-631-6462-1696,3866-9631-9241-3529-7975-697-1853-2188,easy
15852-243084-31845-650809-70998-365367-14603-640320,34867-42755-7710-107793-716-154138-35089-133226,7214-12442-1914-72342-1046-26612-1987-10350,5872-13281-2528-36559-2598-13185-11020-18961,4049-35281-9781-50151-645-12677-2482-5705,12253-10194-13749-10692-905-15883-4519-9626,10573-17857-9880-6797-631-6462-1696-9707,9631-9241-3529-7975-697-1853-2188-4508,easy
243084-31845-650809-70998-365367-14603-640320-798793,42755-7710-107793-716-154138-35089-133226-39495,12442-1914-72342-1046-26612-1987-10350-25764,13281-2528-36559-2598-13185-11020-18961-11584,35281-9781-50151-645-12677-2482-5705-7203,10194-13749-10692-905-15883-4519-9626-10379,17857-9880-6797-631-6462-1696-9707-7413,9241-3529-7975-697-1853-2188-4508-7795,easy
